"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Projected population, by projection scenario, age and sex, as of July 1","17100057","052-0005","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710005701",1,"CURRENT - a cube available to the public and that is current","Annual","2021-01-01","2068-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",2,""
"2","Projection scenario",1,""
"3","Sex",,""
"4","Age group",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories","[61]","13","1","",,
"1","Nunavut","[62]","14","1","",,
"1","Canada","[11124]","1","","",,
"2","Projection scenario LG: low-growth","","2","","",4,
"2","Projection scenario M1: medium-growth","","3","","",5,
"2","Projection scenario M2: medium-growth","","4","","",6,
"2","Projection scenario M3: medium-growth","","5","","",7,
"2","Projection scenario M4: medium-growth","","6","","",8,
"2","Projection scenario HG: high-growth","","7","","",13,
"2","Projection scenario M5: medium-growth","","11","","",9,
"2","Projection scenario FA: fast-aging","","12","","",14,
"2","Projection scenario SA: slow-aging","","13","","",15,
"2","Projection scenario M6: medium-growth","","14","","",16,
"3","Males","","2","1","",,
"3","Females","","3","1","",,
"3","Both sexes","","1","","",,
"4","0 to 14 years","","200","1","",,
"4","15 to 64 years","","201","1","",,
"4","65 years and over","","202","1","",,
"4","Under 1 year","","3","2","",,
"4","1 year","","4","2","",,
"4","2 years","","5","2","",,
"4","3 years","","6","2","",,
"4","4 years","","7","2","",,
"4","5 years","","9","8","",,
"4","6 years","","10","8","",,
"4","7 years","","11","8","",,
"4","8 years","","12","8","",,
"4","9 years","","13","8","",,
"4","10 years","","15","14","",,
"4","11 years","","16","14","",,
"4","12 years","","17","14","",,
"4","13 years","","18","14","",,
"4","14 years","","19","14","",,
"4","15 years","","21","20","",,
"4","16 years","","22","20","",,
"4","17 years","","23","20","",,
"4","18 years","","24","20","",,
"4","19 years","","25","20","",,
"4","20 years","","27","26","",,
"4","21 years","","28","26","",,
"4","22 years","","29","26","",,
"4","23 years","","30","26","",,
"4","24 years","","31","26","",,
"4","25 years","","33","32","",,
"4","26 years","","34","32","",,
"4","27 years","","35","32","",,
"4","28 years","","36","32","",,
"4","29 years","","37","32","",,
"4","30 years","","39","38","",,
"4","31 years","","40","38","",,
"4","32 years","","41","38","",,
"4","33 years","","42","38","",,
"4","34 years","","43","38","",,
"4","35 years","","45","44","",,
"4","36 years","","46","44","",,
"4","37 years","","47","44","",,
"4","38 years","","48","44","",,
"4","39 years","","49","44","",,
"4","40 years","","51","50","",,
"4","41 years","","52","50","",,
"4","42 years","","53","50","",,
"4","43 years","","54","50","",,
