fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,4248,2198,2050,237,392,270,184,154,130,112,90,99,81,72,57,69,66,81,46,46,42,43,32,45,41,41,39,42,49,20,40,27,22,29,22,26,34,30,31,34,28,23,27,22,26,31,41,39,31,22,32,38,30,31,31,25,28,24,29,23,29,28,35,29,14,24,18,30,37,21,26,22,23,28,36,35,24,30,27,39,32,24,25,19,20,21,12,19,13,11,7,5,7,0,22,61,112,31,27,33,27,44,25,29,23,33,22,92,33,29,21,23,26,41,13,24,20,15,69,17,13,14,20,21,20,33,22,13,19,52,18,21,21,27,25,23,12,25,25,23,58,18,27,17,21,18,22,18,20,24,21,42,20,7,16,13,17,24,9,15,16,16,31,11,23,23,14,18,19,33,22,16,14,45,12,10,12,7,15,9,10,6,4,3,30,0,15,176,280,41,30,36,39,37,21,17,19,10,10,178,12,12,20,16,16,8,7,16,7,7,115,12,9,12,14,9,11,1,6,10,8,102,4,5,10,14,14,8,10,7,13,7,72,13,4,8,7,6,7,5,9,4,14,70,9,7,8,5,13,13,12,11,6,7,59,17,13,12,10,12,8,6,10,8,11,54,7,10,9,5,4,4,1,1,1,4,51,0,7
1999,4375,2331,2044,220,343,289,179,144,103,100,82,87,85,59,63,54,60,72,48,48,47,38,50,43,36,39,50,28,41,40,41,29,25,34,30,33,28,36,50,34,31,26,35,31,43,48,40,37,45,38,25,24,44,37,38,25,23,38,51,32,33,45,26,26,23,24,19,31,23,31,32,30,33,27,41,27,29,42,36,32,29,26,29,31,18,26,16,23,17,11,9,4,8,0,19,75,127,21,29,18,32,32,20,30,39,27,34,106,25,27,22,33,14,21,30,29,17,19,62,24,20,17,12,24,34,22,25,13,24,52,19,31,32,26,26,27,32,20,13,31,37,27,26,20,17,25,35,24,22,31,21,49,19,12,16,15,21,13,16,20,19,24,31,18,25,18,16,27,20,25,19,14,18,26,16,13,15,13,11,10,9,7,3,5,38,0,12,145,216,38,34,36,28,40,28,18,8,11,16,183,18,9,17,17,14,20,10,12,12,6,117,10,10,16,16,12,16,12,6,13,11,92,12,12,16,14,11,18,6,5,11,13,66,10,12,5,6,13,16,8,11,14,5,51,7,11,8,4,10,10,15,12,11,9,51,9,16,9,13,15,16,7,10,12,11,61,15,5,11,3,12,7,2,2,1,3,47,0,7
2000,3898,2104,1794,208,304,202,165,135,112,105,70,76,70,52,53,48,48,37,60,54,40,46,29,38,43,31,38,23,19,41,43,37,28,31,21,30,20,22,28,33,29,18,24,26,30,30,40,31,43,30,28,26,31,27,31,18,26,23,30,37,27,22,27,27,31,20,29,26,29,22,28,37,39,42,23,34,28,33,23,45,35,25,35,31,23,13,20,10,10,22,19,18,8,0,19,49,90,22,22,20,28,20,26,30,22,31,20,74,28,21,24,27,16,12,26,29,26,17,56,22,14,18,11,14,21,25,21,13,17,51,17,21,22,29,27,32,18,19,19,23,40,18,27,14,21,18,24,28,18,20,23,36,23,18,13,15,15,21,14,18,13,28,33,27,19,22,15,26,16,33,20,13,23,32,19,13,11,15,9,7,15,17,14,7,28,0,15,159,214,30,31,28,20,17,34,24,18,15,9,128,10,22,7,11,7,7,15,14,11,11,109,9,7,12,9,8,7,8,8,5,7,84,9,9,8,11,4,11,12,9,7,8,72,9,4,4,5,5,6,9,9,2,4,69,4,13,7,14,11,8,8,10,24,11,37,15,4,12,13,7,7,12,15,12,12,44,12,10,2,5,1,3,7,2,4,1,42,0,4
2001,3215,1749,1466,171,269,199,137,124,113,85,69,54,58,53,47,35,26,24,34,33,40,30,34,22,30,24,31,14,30,9,29,26,21,23,18,23,34,22,23,31,34,24,32,13,24,26,24,34,30,26,25,26,26,26,18,33,38,18,13,26,27,26,23,24,16,23,28,16,27,25,21,25,19,25,19,28,28,14,19,20,15,22,18,25,22,14,11,16,9,12,9,8,7,0,13,59,99,17,21,17,15,16,23,17,17,17,24,74,15,21,11,23,8,18,8,23,21,13,55,15,12,14,21,12,13,19,22,14,23,41,10,17,21,14,23,19,22,8,20,17,51,20,13,25,21,12,12,13,22,18,14,37,20,10,18,16,12,16,19,11,16,13,37,18,11,18,17,6,15,15,11,16,12,29,13,14,10,8,13,6,10,7,6,3,28,0,8,112,170,36,26,18,11,8,11,16,23,13,10,125,7,9,13,8,6,12,1,6,5,8,82,8,6,9,13,10,10,12,12,10,9,83,3,7,5,10,11,11,4,17,6,9,62,6,5,8,17,6,1,13,5,8,9,48,4,6,5,12,4,11,6,10,9,6,32,7,8,10,11,8,4,5,4,6,6,25,12,8,4,3,3,3,2,2,2,4,30,0,5
2002,2626,1324,1302,126,258,222,176,127,113,72,69,52,49,46,57,40,29,23,25,32,24,19,25,25,16,20,21,11,15,18,20,23,24,24,20,16,22,20,18,12,21,23,20,18,18,20,18,21,27,16,17,14,22,19,21,17,20,17,24,4,14,21,12,17,12,12,19,17,8,10,14,16,13,10,10,16,9,12,6,5,6,9,14,10,6,5,5,4,3,3,6,6,0,0,10,40,88,13,18,18,14,10,12,26,12,10,18,80,19,13,10,12,9,12,8,17,16,19,63,14,12,12,17,12,6,7,16,11,16,48,8,12,14,12,12,21,13,11,9,13,37,15,15,14,16,12,18,2,12,15,8,33,9,11,9,17,13,7,6,10,10,9,27,8,7,8,8,10,2,3,2,5,11,22,8,5,3,3,3,2,3,5,3,0,16,0,9,86,170,33,39,22,15,13,13,6,12,9,7,142,6,3,10,9,2,3,10,3,7,5,113,10,8,4,5,8,12,5,5,12,4,79,10,6,6,6,9,6,3,6,5,9,76,4,6,3,4,5,6,2,2,6,4,39,8,1,3,2,4,1,4,4,6,4,42,2,3,8,1,2,4,2,4,4,3,30,2,1,2,2,1,1,0,1,3,0,33,0,1
2003,2541,1275,1266,147,243,193,203,124,98,67,62,55,48,50,29,28,28,28,20,31,33,30,25,27,26,30,34,22,19,16,19,19,40,22,20,20,14,14,21,17,14,16,21,21,20,17,18,15,23,14,15,12,16,10,15,13,19,21,16,15,14,9,13,10,10,10,14,15,11,10,11,5,8,15,7,7,6,12,15,11,9,6,8,7,6,7,5,3,8,4,6,2,2,0,2,35,83,21,12,14,8,14,10,25,18,12,14,67,13,18,21,27,11,14,6,14,11,27,77,16,8,10,11,12,18,7,9,12,13,46,15,12,8,14,10,14,9,12,7,15,44,9,10,11,11,15,12,8,13,4,9,27,8,5,7,13,9,9,7,5,3,5,34,12,4,5,4,7,15,10,6,4,3,21,6,3,2,4,3,7,4,4,2,2,18,0,1,112,160,29,17,14,20,14,10,6,15,18,11,126,14,8,9,7,11,5,10,5,8,13,126,6,12,10,3,2,3,10,5,4,8,78,6,8,9,4,5,9,5,3,5,1,54,1,5,2,8,6,4,7,1,5,4,40,2,5,3,1,6,2,3,6,2,3,28,3,3,2,2,5,0,1,3,2,5,34,1,3,5,1,0,1,0,2,0,0,30,0,1
2004,2489,1249,1240,119,284,204,184,145,119,76,69,59,49,24,34,31,42,24,22,18,28,20,8,25,14,18,21,19,15,18,16,16,22,17,24,15,11,19,13,20,9,10,18,22,22,27,13,22,13,21,30,17,22,18,8,14,16,15,24,19,9,9,11,11,17,11,6,14,9,10,11,10,5,6,13,7,11,7,7,9,2,10,5,10,3,5,6,5,7,5,5,4,3,0,4,35,106,9,17,18,18,12,12,13,20,12,4,69,10,7,12,15,14,8,13,6,11,13,69,16,19,11,8,17,9,14,5,7,15,57,17,19,14,11,14,8,14,21,13,13,42,12,5,10,11,11,12,13,3,6,8,30,8,13,10,6,8,5,8,10,7,3,18,1,9,3,5,6,7,8,2,5,4,30,6,2,3,4,5,5,5,5,4,2,21,0,3,84,178,15,17,13,24,12,10,5,8,8,4,135,15,7,6,6,5,7,5,10,5,9,115,1,5,4,3,2,4,6,4,3,3,88,5,3,13,2,8,5,7,9,4,9,77,6,3,4,5,4,12,6,6,3,3,46,3,4,1,0,6,4,2,1,3,2,51,5,4,4,6,1,0,1,0,5,1,29,4,1,2,2,0,2,0,0,0,1,28,0,1
2005,2546,1210,1336,108,220,185,189,146,136,110,92,86,67,57,43,34,25,27,25,26,22,23,27,20,21,19,28,18,18,15,14,18,15,19,10,23,23,18,13,19,18,22,11,24,22,25,18,13,18,19,17,19,11,16,17,10,13,13,19,22,10,16,11,10,12,6,12,7,7,7,5,6,9,9,7,6,5,7,7,3,3,8,9,12,8,4,5,8,4,2,4,2,3,0,6,26,77,20,20,13,13,16,10,18,17,13,14,73,8,11,12,18,11,9,7,9,12,8,72,13,5,15,15,12,9,12,11,11,9,49,16,16,19,9,8,8,13,11,6,10,46,11,12,8,10,10,12,14,7,13,8,44,5,9,5,7,4,5,3,4,5,7,34,5,4,5,3,5,4,2,3,4,7,32,10,8,4,1,5,3,2,4,1,3,25,0,3,82,143,37,23,21,12,11,15,8,5,10,13,112,12,10,7,10,7,9,8,5,6,7,117,6,5,8,8,6,4,7,7,11,2,97,8,6,6,9,5,10,6,6,13,1,90,5,5,2,3,3,7,8,3,3,3,66,5,3,1,5,3,2,4,1,1,2,58,4,3,1,2,2,3,1,0,4,2,54,2,0,0,4,3,1,0,0,1,0,42,0,3
2006,1820,861,959,95,206,145,104,94,98,67,42,42,35,37,23,34,23,27,13,12,23,12,15,12,23,15,14,10,10,5,9,10,11,9,17,11,22,19,16,14,15,9,10,7,19,19,16,7,12,20,8,15,18,12,16,11,12,8,12,13,21,11,13,7,6,11,8,3,7,7,2,4,9,2,4,4,7,6,6,6,1,6,4,2,5,1,0,3,4,5,1,2,3,0,6,24,59,18,8,17,9,10,4,6,19,7,11,52,7,12,11,10,6,8,1,6,8,3,38,5,11,8,10,6,9,8,12,6,7,44,3,13,17,12,4,10,10,6,9,7,34,10,11,7,10,3,9,9,11,10,10,23,7,3,9,5,3,4,7,2,4,5,14,2,2,3,5,4,2,3,1,5,4,8,1,4,0,0,2,1,4,1,2,1,21,0,4,71,147,19,15,17,14,17,9,6,4,5,4,93,5,11,4,4,4,2,4,3,2,8,66,4,6,3,12,13,7,6,3,3,3,50,4,6,2,4,3,2,10,2,6,11,64,2,5,4,2,5,3,4,10,1,3,44,0,3,2,3,0,3,0,0,0,4,28,0,2,1,2,2,4,3,0,1,0,34,1,1,1,0,1,3,1,0,0,2,14,0,2
2007,1509,756,753,65,166,119,97,69,58,41,47,33,30,36,20,27,14,19,17,13,11,13,11,14,8,14,12,13,17,11,6,13,12,8,10,11,12,11,19,12,15,8,9,12,14,12,18,9,14,15,15,15,11,16,9,7,8,9,10,13,9,10,9,7,5,6,6,9,7,5,1,7,7,7,6,4,4,5,4,3,2,2,3,3,3,1,5,4,1,3,4,1,2,0,6,26,53,16,8,9,5,10,12,9,6,7,5,45,6,0,9,7,6,9,7,5,3,8,35,5,8,7,8,8,8,9,12,5,7,31,8,7,10,15,8,7,12,13,7,5,19,6,6,7,5,5,6,10,4,8,7,18,7,3,6,5,7,6,3,1,5,5,20,3,4,2,4,3,3,3,2,1,3,14,3,3,1,4,3,0,2,3,1,2,12,0,5,39,113,20,12,18,9,9,5,4,5,6,6,74,8,8,5,5,7,8,4,1,10,4,62,3,2,4,4,3,11,3,3,3,2,38,4,7,2,3,1,7,3,2,8,6,39,10,3,0,3,4,4,3,5,2,2,23,0,2,0,1,2,1,2,0,2,2,27,4,2,2,0,2,1,0,0,1,0,19,0,0,0,1,1,1,1,1,0,0,18,0,1
