fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,4329,2294,2035,189,362,324,229,142,113,81,76,49,38,52,37,43,30,32,21,28,25,27,21,23,24,33,28,39,27,37,39,29,33,25,34,29,32,33,37,38,30,26,35,42,37,32,43,35,28,32,49,35,43,35,45,31,28,31,46,47,48,36,31,28,36,36,37,34,44,37,37,32,42,31,29,43,37,51,56,53,43,47,34,32,37,26,26,30,18,19,6,10,10,0,24,52,105,24,16,21,15,20,12,14,19,19,15,119,13,19,23,15,16,16,19,23,22,24,77,16,24,25,22,21,25,28,20,19,19,51,23,21,20,21,25,18,20,37,17,33,39,26,36,16,18,23,29,41,29,22,22,28,20,24,21,22,22,22,18,24,19,28,27,17,18,25,20,40,40,33,30,34,21,20,26,32,14,21,25,12,13,6,10,8,15,0,15,137,257,28,21,22,15,12,9,14,6,8,6,205,10,5,10,13,23,11,18,16,7,9,152,9,10,4,10,12,12,10,10,7,16,91,19,16,12,22,10,10,12,12,18,10,74,9,9,15,10,8,17,6,19,14,9,53,8,12,15,15,12,22,19,13,13,14,49,14,11,18,17,11,16,20,13,13,13,29,6,5,12,5,5,6,6,0,0,2,23,0,9
1999,4411,2448,1963,191,343,297,225,183,124,84,52,55,44,46,37,35,31,33,36,32,26,23,21,22,22,21,23,25,21,22,29,23,33,30,37,38,31,26,44,36,36,31,23,33,47,43,34,52,40,32,35,42,45,34,50,50,45,33,48,47,39,42,37,31,30,43,37,48,40,47,50,38,39,58,40,50,39,53,47,46,46,44,42,26,27,36,27,26,23,14,10,19,4,0,12,59,106,20,16,8,10,17,25,23,19,17,13,96,16,19,15,11,12,13,13,20,17,23,82,21,26,26,19,21,36,26,24,17,16,60,22,33,31,25,28,29,18,24,28,29,47,22,37,36,33,25,36,32,26,24,24,29,23,17,33,25,26,31,33,32,22,25,15,41,26,34,25,43,34,35,35,32,35,24,20,21,30,22,20,18,12,9,16,2,21,0,11,132,237,26,21,27,21,16,11,9,7,6,8,201,6,3,6,12,13,8,9,9,6,10,143,9,11,12,12,5,8,10,12,14,7,123,11,14,12,9,24,11,14,11,14,16,77,12,13,14,12,8,12,15,13,18,13,55,8,13,10,12,22,9,14,18,16,14,37,17,14,16,14,10,13,11,11,12,7,31,6,6,6,5,6,5,2,1,3,2,23,0,1
2000,4046,2163,1883,188,393,272,184,181,151,101,78,55,53,53,41,44,35,35,29,20,20,28,25,21,25,21,24,23,28,23,22,20,15,22,24,37,36,30,25,27,38,26,40,40,39,38,25,37,46,32,33,31,31,32,36,31,37,29,27,36,32,26,34,39,26,20,31,22,34,41,33,35,23,38,39,34,38,36,37,32,28,35,30,33,17,20,27,19,23,23,9,10,11,0,18,52,136,22,16,24,19,13,19,13,11,21,15,97,13,18,12,20,14,15,15,13,13,7,74,20,19,25,23,23,16,18,30,21,26,69,25,24,31,19,29,32,29,21,18,21,55,21,25,18,19,20,20,25,25,17,20,28,30,21,11,25,15,25,25,23,22,15,28,24,24,16,25,22,28,26,14,24,22,19,24,13,11,24,10,19,17,7,7,9,19,0,15,136,257,31,25,20,16,22,10,7,9,7,10,175,8,7,9,4,9,13,8,9,7,8,110,2,5,12,13,7,9,9,8,5,14,112,15,15,7,6,8,14,3,12,13,10,96,11,11,13,18,9,7,11,7,9,14,73,9,5,9,6,7,9,16,10,13,8,50,14,15,18,13,14,9,6,14,11,8,36,9,4,9,3,9,4,6,2,3,2,34,0,3
2001,3002,1495,1507,134,374,275,197,121,95,92,57,41,43,44,26,27,21,16,14,16,12,22,13,22,16,14,6,19,17,15,15,21,11,15,15,13,19,18,26,15,25,14,28,22,20,26,29,23,19,25,29,28,36,31,26,37,33,18,22,17,18,22,14,21,26,23,21,21,25,26,20,36,16,16,18,17,12,12,21,20,15,13,16,10,17,14,18,11,12,12,10,10,4,0,10,31,132,16,8,13,10,5,7,12,8,13,12,99,19,10,11,3,9,5,11,11,12,7,67,6,11,6,11,13,18,6,14,8,14,44,13,11,20,17,18,12,17,22,23,20,35,16,17,29,27,13,14,14,15,17,9,29,13,20,17,15,15,16,20,12,22,12,16,10,10,8,7,10,15,13,11,10,10,16,9,11,12,15,6,8,8,8,8,4,11,0,7,103,242,28,18,14,11,11,7,4,4,9,1,176,3,6,3,3,10,12,4,4,9,4,130,9,4,7,8,5,8,9,11,6,14,77,9,9,6,12,5,7,8,7,5,16,60,15,9,8,6,5,8,3,3,5,5,63,8,6,6,6,6,9,6,8,14,4,41,6,8,9,5,2,6,7,4,3,6,25,1,6,2,3,5,4,4,2,2,0,32,0,3
2002,2337,1119,1218,141,254,227,163,118,82,62,63,46,38,19,26,26,15,20,17,15,23,13,8,18,11,15,17,15,19,16,13,10,14,24,10,7,15,25,10,16,24,21,15,17,21,16,13,16,24,25,23,22,21,20,23,22,16,13,21,7,27,25,15,13,7,7,16,9,15,8,8,14,13,9,10,6,10,9,10,10,11,8,2,10,9,8,7,2,4,6,4,3,3,0,8,34,82,6,7,15,4,10,9,7,17,6,3,73,12,5,12,8,9,12,9,8,6,10,67,15,7,4,8,18,10,13,15,11,11,40,9,10,8,9,12,17,20,12,15,10,26,15,15,16,12,10,12,3,20,19,10,17,11,3,3,13,6,10,6,4,10,6,25,9,6,4,8,6,7,6,9,5,2,19,5,6,6,7,2,4,5,2,3,3,10,0,8,107,172,13,19,11,11,10,8,8,6,7,5,154,6,6,3,9,6,7,7,5,4,4,96,9,3,3,7,7,0,3,9,10,4,78,8,11,8,4,4,7,5,11,7,11,56,5,8,6,4,3,9,4,7,6,5,45,2,4,4,3,3,5,2,4,4,7,38,0,4,2,2,3,3,4,2,3,0,27,5,3,2,0,0,0,1,2,0,0,28,0,0
2003,2139,1090,1049,112,221,181,139,100,73,42,44,31,22,19,20,12,9,14,15,11,17,14,13,14,20,10,11,13,14,15,18,21,18,25,13,6,15,27,15,13,24,16,27,22,23,12,21,17,22,29,18,19,16,18,16,17,16,15,18,23,14,15,26,11,24,10,10,13,7,19,17,17,14,7,17,6,23,9,18,9,4,9,11,11,8,9,7,3,3,6,2,6,3,0,5,36,69,7,5,4,4,8,10,5,12,7,5,56,9,17,7,6,8,9,11,8,13,13,48,18,9,4,9,20,10,9,13,11,16,41,16,14,5,11,14,11,21,13,17,11,20,14,10,7,10,15,12,19,10,12,17,16,8,18,8,8,8,7,16,13,14,8,15,3,10,3,16,5,14,7,2,5,9,11,5,6,6,7,3,2,5,0,5,2,5,0,4,76,152,12,15,8,5,6,5,6,5,7,8,125,5,3,3,5,5,5,4,10,8,5,91,7,4,2,6,7,5,4,11,5,11,59,6,9,7,10,3,11,8,5,2,5,53,4,6,10,6,0,6,4,4,3,9,26,3,6,2,2,5,0,3,4,3,6,29,4,7,3,7,4,4,2,2,4,2,20,6,2,3,0,0,1,1,2,1,1,17,0,1
2004,2270,1097,1173,110,257,242,162,132,99,69,37,50,28,31,34,29,18,17,7,12,11,9,13,10,14,13,17,10,8,10,11,16,10,12,11,13,18,11,22,12,17,15,19,16,21,25,20,24,19,22,27,19,18,12,18,17,14,20,25,23,22,11,22,13,11,11,7,13,9,11,6,12,14,5,8,9,13,13,4,4,7,5,7,6,8,11,4,4,3,4,6,3,1,0,7,32,83,10,17,13,3,2,6,7,10,7,11,85,4,7,7,12,5,6,5,7,10,5,53,7,6,11,8,6,16,8,11,12,12,53,11,8,20,14,17,14,19,16,16,10,40,8,11,11,9,10,18,20,15,8,18,21,8,7,5,6,12,8,7,5,8,5,10,3,4,6,9,9,4,4,5,4,5,19,4,6,7,3,4,3,2,4,2,1,11,0,6,78,174,21,17,16,15,15,1,5,1,2,2,157,6,7,6,5,5,2,5,4,6,5,109,5,5,2,10,5,6,4,6,3,7,79,5,13,5,6,7,5,3,11,3,8,59,4,7,6,5,10,7,3,7,3,4,48,5,4,6,1,1,1,4,1,4,9,27,2,4,3,4,4,0,0,2,1,2,31,2,2,4,1,0,0,2,2,1,0,17,0,1
2005,2411,1188,1223,137,233,196,179,114,100,93,61,34,33,31,26,23,26,20,14,15,14,10,12,22,27,9,17,16,11,12,17,14,22,10,11,16,23,22,16,15,14,18,18,16,21,19,23,18,26,24,16,26,19,23,19,21,18,17,23,14,15,26,18,14,14,13,7,14,10,11,10,10,11,11,12,10,17,5,6,20,10,11,10,6,15,9,11,10,7,4,5,6,0,0,9,46,64,13,8,13,10,9,6,11,5,5,6,61,18,18,3,12,10,8,8,8,9,17,53,7,8,10,13,15,12,9,10,11,12,38,9,12,14,15,8,15,20,13,17,16,33,16,14,14,16,10,22,12,15,18,15,28,13,11,7,7,11,9,8,8,8,6,20,9,10,4,9,2,4,16,8,9,10,10,3,11,1,7,7,5,3,5,6,0,16,0,7,91,169,18,18,10,16,11,8,4,9,5,6,135,4,9,6,5,6,3,4,9,5,5,126,3,3,6,10,7,4,6,4,7,6,76,7,9,5,8,10,11,4,3,9,3,67,7,5,7,2,7,1,2,0,8,3,65,1,3,6,0,3,1,3,2,2,5,41,2,2,6,8,3,2,4,2,2,0,24,3,4,8,4,3,2,1,0,0,0,17,0,2
2006,1942,987,955,80,221,176,137,84,96,65,58,33,30,21,27,13,15,6,5,12,5,6,8,16,21,10,11,11,6,10,10,7,17,13,18,9,12,14,18,12,14,9,16,15,11,20,19,21,25,13,19,18,28,19,17,16,25,9,8,17,9,20,21,16,7,16,10,14,8,9,9,9,13,6,12,9,7,9,9,13,4,5,7,4,9,5,6,5,5,1,2,1,3,0,7,31,81,9,17,4,6,1,2,9,5,4,4,61,14,18,8,6,9,4,8,6,5,9,44,10,13,7,8,8,14,8,10,4,13,27,9,9,12,13,10,11,11,12,12,18,29,13,10,10,20,5,7,11,5,13,14,28,9,6,8,7,14,5,7,7,7,9,13,6,10,6,7,6,5,10,3,4,6,9,4,9,3,3,5,1,1,1,1,3,16,0,7,49,140,12,10,9,9,5,3,3,0,2,4,115,2,3,2,5,2,2,2,4,2,8,93,3,5,2,4,6,4,4,4,5,3,57,6,2,8,6,11,14,2,7,6,10,67,6,7,6,5,4,1,6,4,7,7,37,7,1,8,3,0,3,2,2,2,4,45,0,2,3,0,3,4,3,1,1,1,24,0,0,2,3,0,4,0,1,0,0,14,0,0
2007,1717,859,858,74,185,141,116,95,72,65,31,26,28,30,18,12,7,13,10,9,8,5,8,7,5,12,8,9,8,11,11,10,13,7,13,14,11,16,9,9,11,7,13,12,12,13,14,21,11,19,20,21,19,24,14,18,14,18,20,20,7,11,12,12,16,7,6,5,12,14,9,7,13,9,15,8,6,4,7,11,9,9,6,6,6,11,3,5,4,4,3,4,2,0,7,20,54,8,8,7,2,6,6,3,4,3,6,52,4,4,8,4,7,7,6,9,7,7,30,4,8,13,8,7,7,5,8,4,10,24,7,6,8,10,16,8,8,19,14,16,27,14,12,13,9,15,16,15,6,9,9,28,11,10,6,5,4,8,11,6,6,10,10,6,11,5,3,2,4,7,8,5,4,11,1,5,9,3,3,4,4,2,3,2,9,0,6,54,131,22,10,5,5,7,4,6,4,2,2,89,3,1,4,4,2,1,5,2,3,6,86,3,5,1,3,9,2,4,3,3,3,71,5,6,5,4,5,3,11,1,7,3,45,10,2,5,5,3,4,5,1,2,3,37,1,6,1,1,1,4,3,3,1,3,21,3,4,3,3,2,3,4,1,4,2,15,5,1,2,0,2,0,0,1,1,0,19,0,1
