fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,1617,866,751,109,119,72,66,54,42,31,31,29,27,21,21,17,14,15,14,14,8,10,12,6,12,6,8,7,5,8,9,6,14,12,6,10,12,5,14,8,10,7,8,18,14,12,12,12,8,15,16,15,13,15,11,11,6,5,15,17,12,17,16,11,9,10,11,19,18,12,16,16,21,6,15,16,14,32,18,16,19,21,17,13,19,17,18,20,14,8,7,6,5,0,14,27,35,10,5,3,4,2,10,5,5,4,6,26,4,9,3,4,3,2,4,8,5,11,22,9,5,6,8,4,3,7,10,5,6,22,16,12,12,8,11,5,12,14,10,10,15,13,7,8,6,4,15,9,7,10,11,7,5,5,5,8,13,10,8,6,13,16,12,3,11,9,7,22,11,11,16,11,13,15,9,10,13,13,16,10,6,5,2,4,13,0,11,82,84,11,16,14,10,13,4,9,3,6,6,46,2,3,3,4,4,3,4,1,1,3,44,3,1,4,4,1,11,1,0,2,2,32,2,2,0,4,1,3,3,2,5,3,27,2,4,3,0,1,0,8,5,7,5,24,6,4,5,3,6,8,4,10,3,5,19,3,4,7,7,10,7,5,3,10,4,14,4,9,4,5,4,4,2,2,4,1,14,0,3
1999,1554,835,719,90,133,83,49,57,39,35,20,29,36,29,34,23,12,6,10,16,13,10,10,6,7,12,6,11,10,6,6,11,7,13,3,10,3,1,17,22,9,7,12,5,14,12,14,10,15,6,10,14,15,12,13,17,8,12,3,9,13,12,9,12,10,10,14,11,15,11,9,13,14,24,18,14,13,17,21,17,19,17,14,18,17,13,15,11,15,9,7,5,5,0,10,34,45,8,15,5,4,6,8,9,9,4,4,31,3,6,9,2,9,6,3,4,8,4,16,9,3,9,2,1,9,12,6,4,9,17,3,12,10,13,8,14,5,7,9,10,18,8,12,10,4,8,1,7,5,12,5,7,10,5,5,9,6,10,9,5,7,10,7,16,12,8,9,7,15,12,14,12,11,7,12,14,6,14,5,8,6,6,2,4,23,0,8,56,88,21,19,18,8,0,2,7,4,6,6,52,3,1,3,4,2,4,3,2,3,3,33,4,0,1,1,0,8,10,3,3,3,40,2,2,2,1,2,1,1,3,5,5,21,4,1,7,4,4,2,2,8,0,4,28,2,5,5,5,5,5,2,4,6,4,13,8,6,6,4,10,6,5,5,5,3,22,6,3,7,1,6,7,3,1,3,1,13,0,2
2000,1195,642,553,77,117,78,38,40,36,22,19,24,20,24,22,16,9,11,10,11,7,6,8,6,5,11,3,5,4,5,3,4,8,2,7,10,4,8,12,16,12,12,7,9,11,14,10,8,6,3,15,12,10,10,8,9,12,13,6,6,4,9,5,5,11,6,7,11,6,14,12,11,8,7,10,10,9,10,10,22,6,16,8,11,11,9,7,3,8,7,4,6,2,0,9,21,42,14,7,6,3,4,9,9,5,6,2,25,4,2,7,2,3,4,5,2,2,7,12,1,6,8,4,6,9,4,6,11,5,12,6,9,11,10,6,3,2,11,10,8,4,7,6,7,10,7,6,6,2,5,4,10,3,7,5,3,9,2,11,8,5,8,4,5,8,8,7,9,5,10,5,11,4,9,9,6,6,5,2,5,6,4,6,1,12,0,9,56,75,10,15,10,6,7,1,2,2,0,6,53,2,3,4,1,2,0,0,1,2,1,26,1,1,2,0,2,3,12,6,1,2,28,3,2,3,0,2,3,1,4,2,2,32,3,2,2,2,6,0,0,2,4,1,12,2,4,1,4,2,4,3,4,6,0,15,2,2,2,2,1,5,12,1,5,4,15,2,5,3,2,1,3,1,0,0,1,8,0,0
2001,1097,547,550,71,131,71,51,39,23,30,22,21,15,20,18,28,19,15,6,4,6,5,4,3,5,4,8,5,10,6,10,1,5,12,6,9,3,4,9,7,12,3,7,6,6,9,6,10,10,6,5,5,5,9,11,17,11,10,1,4,4,3,6,6,3,9,2,8,11,7,8,3,13,6,7,6,11,8,14,9,17,9,12,11,9,5,4,6,4,1,3,2,3,0,8,22,37,7,8,12,8,6,4,1,5,1,2,20,1,2,1,6,4,8,2,4,1,4,20,6,3,6,2,3,9,5,3,1,6,12,4,6,8,6,9,8,6,4,3,4,8,7,9,15,11,10,0,3,2,2,3,10,6,2,5,1,5,7,3,5,1,5,10,4,5,2,10,4,11,4,10,9,9,6,6,3,4,3,5,3,1,2,2,1,6,0,7,49,94,13,10,16,11,9,2,3,1,4,2,51,2,3,3,2,1,2,4,6,0,1,31,6,3,3,1,1,0,2,9,2,1,27,2,0,1,0,1,2,0,1,2,1,15,2,2,2,0,0,1,1,2,1,3,20,0,1,4,1,3,4,4,3,2,8,12,2,2,4,1,4,3,5,7,0,3,15,5,6,1,1,1,1,0,1,0,2,9,0,1
2002,990,494,496,45,98,67,61,41,26,26,28,21,12,20,17,16,28,12,11,10,5,8,8,6,6,5,10,6,3,5,4,5,3,6,9,7,5,5,7,8,10,6,10,7,14,8,6,11,3,8,8,6,10,2,11,4,11,8,4,9,7,3,6,6,6,9,7,3,5,2,4,3,6,7,6,4,5,7,5,6,5,10,4,9,5,2,3,6,5,6,2,3,4,0,3,13,33,9,3,10,13,6,3,1,3,6,5,17,4,5,2,5,6,2,2,3,3,3,23,5,5,5,3,5,5,5,6,3,6,10,4,12,6,4,7,3,6,5,4,7,4,2,11,2,11,7,4,4,4,3,4,8,5,5,9,6,2,5,1,3,1,3,11,5,3,4,2,5,2,3,3,7,3,7,7,2,2,1,5,2,6,1,3,3,5,0,2,32,65,11,14,6,15,6,8,9,2,2,3,50,2,1,3,5,0,1,3,1,2,0,38,1,4,2,2,0,2,3,4,3,4,31,3,2,2,2,4,0,2,3,2,3,22,0,0,2,0,1,0,5,3,0,2,18,1,1,0,1,1,0,1,1,2,3,17,2,3,0,3,2,3,3,2,3,1,14,2,3,0,2,1,3,0,1,0,1,7,0,1
2003,899,455,444,40,106,54,37,39,27,14,24,14,10,27,7,7,15,17,10,6,11,2,8,6,9,4,1,5,3,5,5,3,5,2,6,5,7,5,11,6,8,8,6,5,9,11,11,4,7,4,6,8,3,6,13,7,4,17,12,7,4,8,6,1,2,7,8,10,3,6,8,4,9,4,9,8,7,4,4,8,7,11,7,5,6,3,4,1,4,3,3,1,0,0,5,5,30,6,4,2,4,7,6,4,6,2,3,17,6,6,3,1,3,3,4,5,1,2,5,2,6,4,4,5,10,4,8,4,5,14,4,6,10,9,3,6,3,5,6,2,7,5,8,5,4,10,7,5,4,8,6,8,1,1,6,6,8,2,4,5,1,6,5,4,7,5,4,2,1,8,4,7,6,4,5,4,1,2,0,3,1,2,1,0,3,0,4,35,76,21,3,5,11,10,4,2,5,0,5,37,0,3,1,0,2,0,1,0,2,3,32,0,0,1,3,0,1,2,0,4,1,25,1,3,1,2,1,1,1,1,2,1,20,1,5,2,0,7,5,2,0,0,0,6,0,1,1,2,2,1,2,3,3,3,19,0,2,3,3,2,3,0,3,4,1,10,0,2,2,2,1,1,2,1,0,0,7,0,1
2004,799,397,402,43,84,69,56,38,33,32,22,23,16,13,9,10,9,8,6,7,3,2,2,2,11,5,6,3,4,3,4,4,4,2,4,5,7,5,4,8,6,6,6,3,7,8,10,8,3,10,8,8,6,1,6,8,4,2,9,4,4,5,1,7,3,2,6,2,8,3,6,2,5,3,0,3,1,1,2,4,7,9,6,0,3,1,3,2,0,1,4,2,1,0,3,12,25,5,1,3,4,5,3,5,1,2,2,22,0,9,5,3,2,3,3,3,2,1,14,1,2,5,4,3,4,5,4,2,6,7,3,4,4,10,7,2,8,6,7,5,12,1,6,7,4,1,6,4,3,3,1,13,7,3,1,3,2,7,2,6,1,4,7,3,0,3,1,1,2,2,4,6,4,8,0,3,1,2,2,0,1,3,2,0,9,0,2,31,59,8,8,7,5,3,3,2,2,0,0,47,2,2,0,3,1,1,0,1,2,3,42,1,2,0,3,2,0,3,2,4,0,31,0,3,4,0,1,1,2,2,1,1,21,0,0,1,0,1,3,0,1,2,0,19,0,0,1,3,0,1,1,0,1,1,15,0,0,0,0,0,0,2,3,3,2,15,0,0,0,1,0,0,0,1,0,1,7,0,1
2005,900,406,494,50,74,77,62,40,52,32,29,28,15,19,8,18,9,13,13,10,6,8,2,6,5,5,3,6,3,3,4,6,6,4,5,3,6,9,3,9,10,3,8,2,3,12,4,9,5,4,4,5,9,7,5,6,12,4,5,10,6,4,5,2,7,7,5,4,3,9,5,3,2,6,1,2,4,2,2,4,2,5,3,3,2,3,1,6,5,1,0,2,2,0,4,18,19,5,2,8,5,5,5,5,5,2,0,23,4,2,4,2,2,1,2,3,3,2,15,3,4,1,5,7,2,6,8,2,7,14,1,2,11,3,9,3,2,1,1,7,7,5,4,4,11,3,2,8,6,3,5,6,2,6,7,3,4,1,9,4,2,1,9,4,0,1,3,2,1,3,2,3,2,9,0,1,2,1,4,5,0,0,2,2,4,0,2,32,55,14,6,10,4,8,8,5,1,6,2,54,2,3,1,1,4,2,1,1,3,4,47,1,1,2,1,2,1,3,2,1,1,26,1,1,1,1,0,2,2,3,4,2,45,2,1,2,1,1,3,2,0,1,0,26,0,1,0,2,0,2,0,1,1,1,20,2,1,1,1,0,1,1,0,2,1,19,3,1,1,0,2,0,1,0,0,0,11,0,2
2006,671,347,324,34,85,50,29,26,35,35,19,19,9,21,13,12,11,6,10,5,5,1,2,6,2,3,1,1,8,1,2,4,2,2,3,6,6,4,7,5,6,4,3,5,3,4,5,7,8,5,2,5,8,9,1,2,6,10,6,5,3,4,3,2,4,4,1,1,2,3,5,2,0,0,3,2,3,1,4,1,2,2,5,3,1,4,2,4,2,0,0,0,1,0,3,9,38,9,2,4,4,3,5,3,4,1,2,18,3,1,1,0,0,6,1,0,2,2,13,0,3,3,1,4,5,5,3,4,0,10,5,2,3,4,4,7,4,2,4,7,11,8,1,1,5,9,4,5,3,4,3,12,1,3,4,1,1,2,2,2,0,0,6,0,2,2,2,1,4,0,2,2,3,10,3,0,4,2,3,2,0,0,0,1,3,0,2,25,47,12,11,8,7,3,5,2,1,0,0,32,3,1,2,1,1,2,0,2,2,0,16,2,0,3,5,0,2,0,3,0,3,16,0,1,1,1,3,1,1,0,1,1,24,1,0,1,1,1,2,0,0,0,0,23,1,1,0,0,0,0,1,3,2,0,13,0,1,0,1,0,0,1,0,0,2,9,0,1,0,0,1,0,0,0,0,0,6,0,1
2007,535,302,233,21,44,26,30,24,19,11,19,17,11,14,9,10,4,6,4,6,0,3,5,5,0,1,1,3,7,4,2,3,5,7,5,3,4,2,6,3,2,5,7,3,5,2,4,5,8,11,11,4,3,8,10,2,3,7,5,8,11,6,3,0,4,4,3,4,1,0,3,2,1,2,1,1,0,3,3,1,2,1,1,1,3,1,2,1,6,0,1,1,0,0,5,4,14,10,5,5,1,4,3,5,0,3,1,7,0,0,1,0,0,6,3,2,2,4,10,5,4,3,4,2,5,2,2,3,6,11,2,4,0,2,4,8,11,9,3,2,2,7,9,2,3,5,3,8,6,3,3,4,0,4,3,2,4,1,0,1,2,1,6,2,1,1,0,2,3,1,1,1,0,8,1,3,1,2,0,6,0,1,1,0,2,0,4,17,30,4,4,5,3,2,1,1,0,0,4,19,5,0,0,1,3,1,1,0,1,1,20,2,1,0,0,0,1,1,0,2,1,13,1,1,2,2,1,0,0,2,1,1,17,1,1,0,0,2,2,0,5,3,0,7,0,0,1,1,0,0,0,2,0,0,13,0,0,0,0,1,0,0,1,0,1,9,0,0,0,0,1,0,0,0,0,0,9,0,1
