fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,1628,943,685,78,104,95,84,60,45,35,26,35,24,26,29,28,28,7,15,16,21,14,16,22,14,6,18,9,14,6,10,9,17,6,9,12,7,18,7,15,9,13,9,5,23,18,13,15,23,10,10,11,12,20,13,9,11,15,12,11,13,6,7,16,7,12,17,17,14,19,18,16,14,13,14,8,16,14,10,11,12,11,14,12,9,18,8,3,7,8,2,5,1,0,9,26,40,8,14,15,15,3,10,11,17,11,15,31,19,14,5,18,7,9,4,8,6,14,41,6,7,10,6,11,6,10,8,11,5,18,3,17,14,11,10,20,8,9,9,9,17,12,12,7,9,11,7,9,10,2,5,15,9,4,6,6,11,9,15,15,8,7,11,11,6,4,9,8,4,8,8,9,9,11,7,5,15,5,3,5,7,1,4,1,9,0,8,52,64,18,15,13,13,4,5,5,4,3,1,64,3,0,1,0,2,5,2,2,3,3,43,0,2,2,1,7,1,5,1,2,4,42,2,6,4,2,5,3,2,1,2,3,28,8,1,2,2,4,5,2,3,4,2,20,7,3,6,11,6,5,4,3,8,7,15,2,8,4,7,6,6,3,4,2,5,24,5,4,3,3,0,2,1,1,1,0,15,0,1
1999,1627,902,725,86,134,113,74,55,52,25,30,35,19,23,20,25,31,17,23,17,10,11,16,9,21,9,4,14,16,12,7,11,5,8,16,13,14,7,9,12,8,11,11,11,11,14,10,15,18,19,9,10,10,10,17,22,18,14,15,13,16,8,9,12,11,4,10,12,9,11,13,18,21,6,11,16,10,19,19,9,14,12,14,6,12,4,8,7,5,6,6,2,6,0,12,32,40,11,9,8,14,12,12,11,7,8,11,42,8,17,8,4,13,7,10,5,6,5,22,5,9,11,12,6,8,11,5,9,8,20,7,7,11,8,11,11,14,5,8,8,30,7,11,17,11,10,10,8,13,6,6,9,9,10,2,9,6,4,10,8,12,14,10,3,6,9,7,15,9,4,8,5,10,15,6,6,3,8,7,5,3,5,2,2,7,0,9,54,94,12,11,17,17,5,11,6,3,3,5,71,1,4,1,0,1,9,2,2,5,0,52,3,7,2,2,1,1,1,3,2,3,35,4,4,3,2,4,7,5,4,2,2,22,3,6,5,7,4,5,5,3,2,3,16,3,1,2,1,6,5,1,5,6,7,20,3,5,7,3,4,10,5,6,7,4,20,0,6,1,0,0,0,3,1,0,4,12,0,3
2000,1210,662,548,63,89,71,56,32,33,25,13,16,9,15,14,7,12,21,15,6,9,16,8,9,6,14,10,11,20,5,8,5,6,8,12,10,12,9,14,6,6,16,8,11,8,6,7,16,11,15,11,6,11,12,9,18,17,9,10,12,9,13,13,6,2,3,17,9,16,16,7,11,11,12,12,9,11,8,8,7,9,10,12,11,7,5,8,4,1,3,7,5,1,0,13,20,31,6,2,2,6,7,8,4,7,12,4,28,7,6,10,7,8,14,3,6,5,4,16,5,8,8,9,7,11,4,5,13,5,6,9,8,3,5,13,6,13,6,4,6,11,10,4,14,12,7,6,10,8,11,7,6,6,0,2,9,4,8,12,4,11,10,4,10,7,9,3,4,4,3,3,4,11,4,8,4,2,6,3,0,2,5,1,0,6,0,10,43,58,9,12,5,6,14,7,2,2,4,4,43,2,0,4,3,3,6,2,2,0,2,40,3,4,2,3,2,3,2,1,3,3,26,2,0,3,2,3,5,2,5,2,5,22,2,5,4,5,2,4,2,1,2,6,19,0,2,1,8,5,8,4,3,0,1,9,2,5,0,8,4,4,4,6,6,1,12,3,3,3,2,1,1,1,2,4,1,3,0,3
2001,1143,659,484,61,107,91,56,35,33,20,19,9,14,19,12,8,13,10,16,11,13,6,9,7,8,8,6,4,7,9,10,2,5,5,7,12,10,5,6,8,9,11,6,10,12,13,6,12,9,15,15,7,8,12,9,10,6,11,8,9,8,4,7,8,9,10,7,7,6,14,15,7,10,11,16,8,8,7,6,7,10,3,8,7,5,6,8,10,8,3,2,7,1,0,11,20,46,10,7,3,6,3,9,7,8,4,5,36,6,5,8,6,3,6,9,9,2,3,26,1,5,7,9,4,4,1,6,7,5,15,10,9,11,5,8,8,14,12,5,6,14,5,4,7,5,8,6,5,4,4,5,5,7,9,5,4,4,6,7,14,2,10,8,8,9,4,7,2,4,4,7,1,6,3,6,1,4,8,8,6,2,2,7,1,5,0,7,41,61,9,5,5,7,7,7,4,5,2,4,55,1,3,0,0,1,1,0,1,0,2,30,4,2,5,1,1,2,7,3,4,1,20,0,3,2,1,4,1,1,3,2,2,19,7,5,3,1,3,2,4,4,0,2,15,1,0,5,3,3,0,7,1,5,0,11,3,7,4,1,5,2,3,3,2,2,6,1,4,2,0,2,2,1,0,0,0,9,0,4
2002,999,504,495,37,85,104,49,40,56,34,23,21,14,14,16,12,11,7,5,9,8,6,7,6,9,5,4,4,4,4,4,6,1,7,7,8,3,11,2,10,6,11,8,12,6,14,7,10,6,5,13,10,8,13,9,2,11,7,4,3,6,5,5,5,4,4,3,4,6,4,14,7,5,2,9,9,3,3,6,6,5,7,8,8,7,6,5,6,3,4,2,3,1,0,6,7,31,6,7,5,8,5,2,3,7,2,5,30,6,5,3,3,2,3,2,2,4,1,14,5,2,6,0,5,0,4,4,5,7,15,8,5,13,7,6,2,5,11,9,4,25,8,5,2,9,4,2,1,5,4,3,14,5,1,2,2,3,3,3,9,5,4,8,2,7,5,1,3,5,4,4,3,3,7,8,5,3,4,6,2,3,2,2,1,6,0,5,30,54,8,9,7,3,2,3,6,1,4,2,74,0,4,2,1,2,1,2,2,2,0,35,2,5,2,3,6,2,6,2,6,1,25,4,1,1,0,4,4,0,2,1,4,31,5,4,0,2,3,2,2,1,1,2,20,0,3,2,1,1,3,1,5,2,1,15,0,2,4,2,0,1,2,1,4,5,14,0,2,3,1,0,1,1,0,1,0,8,0,1
2003,875,445,430,35,93,66,51,45,38,33,20,20,16,14,7,9,6,3,3,6,5,12,1,6,4,7,5,4,11,11,11,3,4,4,7,5,12,4,8,5,7,11,8,6,9,9,11,2,11,11,3,7,8,7,9,7,2,14,3,10,5,3,6,5,0,5,6,5,5,3,2,8,7,8,6,6,1,5,1,3,2,2,3,4,3,2,3,2,3,5,1,1,1,0,4,9,30,3,3,6,2,0,1,4,5,9,1,28,1,4,6,2,3,6,7,6,3,2,21,1,4,2,8,1,7,4,4,3,5,21,4,5,4,11,2,9,11,3,6,6,16,4,4,3,2,6,3,7,3,2,1,7,1,0,5,6,5,4,2,2,5,5,6,7,4,4,1,2,1,3,2,2,3,6,2,2,1,1,1,2,4,1,1,1,10,0,2,26,63,11,4,3,4,3,2,2,0,3,0,38,5,0,1,3,1,5,4,5,0,2,30,3,3,3,4,3,1,1,3,8,3,24,2,4,5,0,0,2,0,0,1,2,22,3,5,4,0,8,0,3,2,1,5,26,4,0,0,0,0,1,1,0,3,2,14,1,2,2,0,3,0,0,0,0,0,14,2,1,1,2,1,1,1,0,0,0,6,0,2
2004,782,390,392,30,91,63,57,39,32,29,23,23,18,10,8,5,7,12,7,2,8,4,6,4,6,8,5,5,4,1,7,6,3,3,3,0,0,3,9,4,5,5,3,6,7,6,4,11,4,7,15,6,8,6,6,6,5,5,7,4,4,2,4,4,4,4,7,3,7,3,4,5,2,2,3,4,4,4,0,1,2,4,2,4,3,7,3,3,3,0,1,3,1,0,4,11,36,2,5,5,4,5,3,2,6,3,3,17,3,4,6,4,4,1,0,6,4,2,20,3,3,0,0,3,5,3,4,3,2,12,3,5,4,2,9,0,5,8,5,8,15,6,5,5,4,2,3,2,3,0,4,14,3,3,3,6,3,7,2,4,2,0,2,1,2,3,4,3,0,1,1,3,1,4,2,2,6,2,1,2,0,1,3,0,5,0,2,19,55,8,3,0,3,7,4,0,2,1,3,46,1,2,2,1,1,3,1,1,2,1,37,0,0,0,0,0,4,1,1,2,1,27,3,2,2,2,2,4,2,7,1,0,17,0,1,1,1,3,4,2,1,2,0,15,1,1,1,1,0,0,1,0,3,2,21,1,1,1,0,1,0,0,1,1,1,19,2,1,1,1,2,1,0,0,0,1,13,0,2
2005,744,355,389,30,80,77,65,44,36,27,18,17,16,15,6,5,5,5,2,2,4,6,6,6,3,5,5,5,4,1,2,5,6,7,0,2,2,7,9,8,5,5,5,13,5,3,7,6,6,2,2,9,6,6,4,5,7,4,5,7,5,7,2,1,3,5,5,3,2,1,3,6,1,2,7,5,3,3,2,0,3,3,0,1,3,1,2,2,0,0,1,1,1,0,5,12,20,4,5,2,3,2,1,1,4,4,3,23,5,3,3,4,2,2,0,1,4,4,23,6,0,2,1,3,5,4,3,4,3,18,7,4,3,5,3,6,2,1,5,5,16,6,3,1,5,3,5,2,5,5,2,9,0,2,4,4,1,2,1,2,4,0,7,0,5,3,3,2,1,0,2,2,0,6,0,2,0,2,1,0,0,1,1,1,8,0,1,18,60,11,1,3,2,3,1,1,0,2,3,54,1,0,2,1,3,2,1,1,1,2,42,1,0,0,1,4,4,4,2,1,2,26,6,1,0,2,3,0,0,1,4,1,20,0,1,4,2,1,0,5,0,2,0,18,1,1,1,1,2,0,0,1,2,1,11,2,2,2,0,1,1,0,1,1,0,11,1,1,1,0,1,0,0,0,0,0,8,0,4
2006,603,294,309,22,52,51,46,40,25,23,23,22,10,16,10,8,6,3,2,3,3,2,3,6,6,1,6,2,3,4,4,6,6,5,6,1,6,4,2,2,4,7,2,2,9,3,4,5,6,5,4,4,5,3,3,6,8,3,7,2,4,4,5,3,3,0,3,0,2,4,2,1,2,1,3,6,2,7,2,1,0,2,1,0,1,1,0,2,2,0,1,2,0,0,4,10,8,8,2,3,2,1,1,1,3,2,3,19,3,5,1,6,1,0,3,1,2,5,18,4,2,1,1,2,1,2,3,3,2,13,2,8,3,4,3,4,4,4,2,4,12,1,1,6,6,2,6,1,4,3,5,9,2,3,0,1,0,2,4,1,0,2,5,1,2,3,2,5,1,1,0,2,1,7,0,1,1,0,1,2,0,1,1,0,3,0,3,12,44,8,8,5,4,2,1,2,0,0,0,32,3,1,0,0,1,3,1,3,4,1,28,1,4,0,5,2,1,0,1,4,0,27,0,1,0,0,2,2,1,0,2,1,13,2,2,0,2,1,1,1,0,1,0,14,1,0,0,2,0,0,0,1,1,0,18,0,1,3,0,2,1,0,0,0,0,15,0,0,0,0,1,0,0,0,1,0,7,0,1
2007,507,246,261,13,45,43,32,31,17,17,7,15,10,13,10,7,5,3,4,7,2,1,1,3,6,1,4,3,5,6,1,5,5,4,5,5,5,0,3,7,1,2,4,2,13,5,5,4,1,9,4,1,4,2,8,5,10,3,4,1,4,2,5,2,1,4,6,1,1,2,1,1,2,1,2,1,3,4,1,1,1,2,7,4,2,0,1,0,2,0,2,0,1,0,1,3,15,10,1,2,1,0,4,3,0,1,0,9,2,4,0,4,2,3,5,1,3,4,14,4,2,2,1,0,3,3,1,1,2,12,1,9,3,5,4,1,7,3,0,4,6,2,6,3,4,2,2,0,3,2,3,5,2,0,0,2,1,1,2,1,1,1,4,1,1,1,2,3,1,1,1,2,3,4,4,2,0,1,0,1,0,2,0,0,3,0,1,10,30,3,9,5,4,3,0,4,2,0,1,34,1,2,1,0,1,2,1,0,2,1,18,0,3,3,4,0,0,4,0,1,2,19,1,4,2,0,0,0,2,1,1,0,11,0,2,2,6,1,2,1,1,0,2,12,0,1,4,4,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,0,4,11,0,0,0,0,0,1,0,0,0,1,7,0,0
