fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,826,472,354,50,49,44,27,28,18,26,12,13,13,5,13,9,6,6,10,8,11,7,10,2,2,7,5,7,4,4,8,6,3,9,2,2,2,4,2,7,4,6,11,8,6,14,9,6,10,7,9,8,4,6,7,13,8,10,9,11,9,5,7,7,9,4,6,4,10,11,12,9,6,15,7,9,17,4,2,11,5,8,5,2,9,2,0,8,4,4,4,0,0,0,4,11,18,2,4,5,4,3,9,5,9,5,9,15,1,1,7,3,5,4,3,6,5,2,9,9,2,2,2,3,2,7,3,2,10,5,7,4,9,8,5,6,6,8,8,4,4,5,7,10,6,5,7,10,4,2,7,10,4,5,2,4,2,7,4,6,8,5,4,10,6,7,14,2,1,3,3,6,4,3,2,8,2,0,5,3,1,3,0,0,0,0,4,39,31,3,9,4,2,3,1,3,2,2,1,29,1,1,0,2,2,0,1,2,1,1,18,0,0,0,0,1,0,0,1,4,1,23,1,2,5,1,1,4,1,1,0,0,14,1,0,3,2,5,2,1,5,3,0,16,3,4,2,2,2,3,7,6,1,1,8,5,1,2,3,2,1,8,2,2,1,10,0,1,0,0,3,1,3,1,0,0,13,0,0
1999,808,439,369,47,69,47,34,30,32,14,11,18,19,11,13,10,8,12,7,7,7,6,11,6,3,6,5,3,3,5,5,3,9,2,6,5,1,3,5,3,13,2,8,5,3,6,6,8,9,6,6,8,4,7,4,5,14,8,7,6,13,5,7,9,4,7,8,9,2,4,3,3,10,5,12,7,6,3,4,8,14,6,5,7,2,7,1,3,4,1,4,1,0,0,3,12,23,3,6,4,4,5,3,4,6,4,10,17,5,2,4,3,2,2,4,5,1,7,13,2,5,3,1,3,2,3,9,2,3,9,4,2,4,5,7,8,5,4,8,3,9,4,4,3,10,7,4,5,13,4,3,6,5,4,5,5,6,2,4,2,2,4,1,4,8,5,2,2,2,7,5,4,5,9,7,2,6,1,0,4,1,3,1,0,6,0,2,35,46,8,7,6,4,7,4,3,1,2,1,30,1,1,2,2,1,1,1,0,2,2,21,0,1,2,0,0,3,0,4,0,5,21,1,1,2,1,1,1,1,2,0,1,23,3,0,2,4,1,3,1,0,1,4,8,4,0,2,3,3,0,0,1,1,6,10,1,4,2,4,1,2,1,9,2,0,9,0,0,1,0,3,0,0,1,0,0,13,0,1
2000,616,351,265,33,42,29,23,15,16,14,8,13,7,12,8,8,6,13,7,5,3,5,6,5,4,6,5,5,4,3,2,4,9,1,1,8,5,5,6,3,3,7,7,3,7,9,6,6,10,3,11,4,6,6,7,6,3,7,6,8,7,5,5,7,5,2,2,5,3,10,4,2,3,4,5,1,12,4,5,8,4,5,5,6,9,7,1,0,0,2,2,1,1,0,0,7,9,3,3,6,2,8,1,4,3,5,3,10,4,4,5,5,2,1,2,2,4,7,9,0,1,7,5,5,1,2,3,7,5,5,1,7,7,4,4,8,1,6,3,4,3,6,5,3,2,7,4,6,6,5,4,4,3,2,1,2,3,2,9,4,2,3,3,3,4,0,7,4,4,7,4,5,5,2,4,6,4,0,0,0,0,1,0,1,6,0,0,26,33,9,5,2,4,5,6,1,0,0,3,19,1,0,1,0,3,3,1,0,0,2,14,1,0,1,0,0,5,1,0,0,2,10,2,0,2,2,2,2,2,5,1,2,13,0,2,3,1,0,2,2,1,0,1,10,4,3,1,0,2,1,1,0,0,0,5,1,1,1,5,0,1,1,0,0,0,11,2,3,3,1,0,0,2,1,1,0,1,0,0
2001,542,312,230,38,54,36,26,19,19,9,9,4,2,6,6,5,7,5,6,3,6,1,4,2,7,4,6,0,4,5,2,6,5,4,4,2,3,3,0,4,2,2,10,4,6,12,4,5,4,4,2,6,5,9,5,7,4,6,7,3,7,4,4,2,4,7,1,4,5,3,5,4,8,7,2,4,2,3,1,2,5,2,3,4,3,4,1,2,0,1,0,3,1,0,1,13,22,4,1,3,3,4,4,1,4,1,3,11,1,7,3,4,0,3,3,1,6,4,9,3,4,2,3,2,0,1,2,2,10,6,4,5,9,4,4,3,3,1,2,2,9,6,3,7,2,4,5,2,6,3,4,7,2,1,4,1,4,3,2,4,2,6,3,4,1,3,1,3,1,1,3,1,1,1,3,2,3,1,1,0,0,0,3,1,0,0,1,25,32,2,5,2,4,1,2,2,2,0,1,25,1,0,1,2,0,1,2,1,0,1,17,1,0,0,0,1,0,3,0,0,0,13,0,1,3,0,1,1,1,1,4,3,10,3,2,0,2,2,2,1,1,1,0,2,0,3,3,0,0,2,1,1,2,2,6,3,1,1,1,0,0,1,2,1,2,3,1,1,1,0,1,0,1,0,0,0,2,0,0
2002,430,210,220,29,60,30,29,13,15,12,9,3,8,5,3,3,2,2,6,4,9,3,2,2,4,4,4,1,2,3,2,3,6,1,3,6,1,1,3,5,3,2,3,4,1,4,9,3,12,3,3,8,2,2,4,3,2,4,2,0,1,4,4,3,3,1,2,0,2,3,0,5,2,1,1,0,1,2,4,2,4,1,1,0,0,2,2,4,0,1,0,0,1,0,1,10,15,0,2,0,0,1,3,4,5,2,2,9,1,2,3,3,1,2,1,2,1,5,5,1,2,5,1,1,2,3,1,0,2,6,3,1,3,8,3,10,1,3,6,2,4,1,2,2,2,3,2,0,0,2,3,3,2,2,0,1,0,1,2,0,5,1,2,1,1,0,1,2,1,2,3,0,1,0,0,0,2,1,4,0,1,0,0,1,5,0,1,19,45,5,1,3,2,1,3,0,4,1,0,21,1,2,1,1,0,0,2,0,2,1,24,0,1,1,0,0,1,2,2,2,1,7,1,0,1,1,0,2,2,0,2,0,11,1,2,1,0,1,0,0,1,2,1,9,1,1,1,1,0,1,1,0,0,1,7,0,0,0,0,0,3,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0
2003,455,214,241,26,53,40,22,21,16,18,12,11,4,5,3,2,6,6,2,4,8,1,0,0,3,2,8,1,2,5,1,3,0,4,5,5,1,3,4,3,3,5,2,4,4,3,6,7,5,6,4,1,6,8,3,4,1,3,4,2,2,2,3,6,0,2,2,5,2,1,3,4,3,3,1,1,1,4,0,2,0,1,3,1,3,2,1,0,3,1,1,0,1,0,0,9,16,0,2,2,2,0,2,3,5,1,0,15,0,1,0,5,1,1,1,1,2,0,6,3,2,3,1,2,2,2,3,3,2,4,4,3,2,5,7,5,2,1,1,2,6,5,1,3,0,3,2,2,0,1,1,8,4,0,2,0,3,2,1,1,3,3,5,3,0,0,1,3,0,2,0,0,1,2,1,3,1,1,0,3,1,0,0,1,1,0,0,17,37,5,1,0,4,6,0,1,3,0,0,25,0,2,2,3,0,1,4,0,1,0,16,1,3,2,0,1,2,1,0,2,0,17,0,1,1,1,0,0,4,3,0,4,10,3,2,1,1,0,2,0,2,1,2,10,2,0,0,2,2,0,0,2,1,0,7,0,1,1,0,1,0,0,0,1,2,9,0,0,1,0,0,0,0,1,0,0,3,0,0
2004,397,206,191,20,30,24,23,12,16,14,9,5,8,6,0,2,5,3,2,7,2,3,3,2,3,3,3,3,3,5,2,4,1,1,3,2,9,4,8,6,2,2,2,2,4,9,10,5,1,1,5,5,2,5,4,4,4,2,5,1,1,1,1,3,4,2,4,2,7,3,4,1,1,2,7,0,2,0,1,1,1,2,1,2,0,1,3,0,5,0,0,0,1,0,3,6,8,0,0,0,4,0,2,6,2,3,2,9,1,2,3,0,0,3,3,0,3,1,2,1,2,0,9,3,7,6,2,2,0,4,2,3,7,2,5,1,1,3,4,2,4,4,4,2,1,2,5,1,0,1,1,7,2,3,2,4,0,5,1,1,0,1,3,2,4,0,0,0,1,1,0,2,1,1,2,0,1,2,0,5,0,0,0,0,2,0,2,14,22,6,0,2,1,3,0,1,0,0,1,15,1,1,0,3,3,0,2,2,1,0,21,0,1,2,0,1,1,0,0,0,2,8,0,1,2,8,0,0,0,2,1,0,12,1,0,2,3,0,0,0,1,0,0,7,1,1,0,0,2,2,2,3,1,0,6,0,3,0,2,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,6,0,1
2005,440,210,230,20,37,39,29,22,18,21,20,8,10,8,1,8,5,8,3,3,4,1,0,2,5,1,2,3,3,2,2,1,2,3,4,0,2,4,2,3,3,2,2,2,3,1,8,8,1,4,0,3,7,2,6,4,1,2,2,2,3,5,6,4,4,3,2,3,2,3,2,3,1,0,2,2,1,2,2,1,6,1,2,4,2,3,0,0,1,0,0,0,0,0,1,7,9,5,1,4,0,5,0,1,3,0,0,14,1,2,1,1,1,2,2,1,0,1,5,2,4,0,2,4,2,1,3,2,2,4,2,1,0,7,4,1,4,0,1,7,4,2,3,3,0,1,2,1,2,3,6,6,1,4,3,2,1,0,3,1,3,1,7,0,1,2,1,2,0,1,6,1,2,5,3,2,3,0,0,1,0,0,0,0,2,0,0,13,28,3,0,4,5,3,3,2,1,1,0,25,1,3,0,1,2,1,0,1,1,1,24,1,0,0,0,0,0,2,0,0,0,18,0,2,1,1,4,0,0,0,2,0,14,0,3,1,1,1,0,1,1,2,0,15,3,0,0,0,2,2,0,1,0,0,13,0,1,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,0,1
2006,317,177,140,18,30,26,21,17,9,9,8,2,12,6,0,5,4,3,3,3,1,0,1,0,1,0,2,2,1,1,3,2,0,2,3,4,0,4,0,2,3,2,0,3,7,3,4,5,5,0,2,3,3,3,2,8,1,3,7,4,0,1,3,5,1,2,2,4,1,0,2,0,1,0,1,2,2,1,3,1,0,0,2,1,1,0,0,2,2,0,0,0,0,0,4,7,14,3,0,3,0,1,2,2,1,0,1,11,0,1,0,1,2,1,1,3,1,0,8,1,2,4,0,2,0,2,3,1,0,8,0,5,2,3,4,3,0,2,3,2,3,1,2,4,1,2,3,4,0,1,3,1,5,0,2,2,4,0,0,2,0,1,1,0,0,1,2,0,2,1,0,0,2,1,1,1,0,0,1,2,0,0,0,0,7,0,4,11,16,3,0,2,4,2,1,1,0,0,0,15,0,0,0,1,0,0,0,0,1,0,13,1,1,0,0,2,0,0,0,1,0,9,3,2,1,1,1,2,0,0,0,1,6,2,0,4,0,1,4,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,7,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0
2007,283,141,142,18,38,26,13,12,9,9,6,4,2,2,7,2,3,0,0,3,3,2,3,0,2,3,1,1,1,0,4,1,1,1,1,4,2,2,1,3,1,2,0,1,3,4,4,4,3,3,2,1,4,3,2,1,8,2,0,7,1,3,0,2,2,3,0,3,1,1,3,2,0,3,2,3,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,6,18,1,2,0,1,0,0,3,1,0,0,12,0,2,2,1,0,1,0,3,0,1,4,1,1,3,2,0,1,1,0,2,0,5,1,1,1,4,2,1,2,2,1,3,2,1,1,1,5,1,0,6,1,2,0,1,2,1,2,0,2,0,0,2,1,0,2,2,1,3,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,12,20,1,5,2,2,0,0,0,2,2,3,14,0,0,1,0,1,0,0,1,1,0,9,0,0,1,0,2,0,2,1,0,0,7,0,2,3,0,2,2,1,0,0,1,7,2,1,0,3,1,0,1,0,1,0,8,0,1,1,0,1,1,1,1,1,0,4,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0
