fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,1427,774,653,86,128,100,74,75,52,41,28,23,23,12,14,19,24,21,6,12,12,8,4,3,8,2,7,5,7,7,10,12,7,7,4,7,4,14,16,11,10,21,18,14,11,22,4,5,14,13,12,11,8,12,7,12,12,12,12,9,13,7,8,14,15,8,5,12,8,11,8,12,12,9,13,7,10,11,11,17,12,8,10,6,10,6,6,4,7,2,3,5,2,0,3,29,27,8,6,10,11,4,3,8,8,5,2,33,1,6,1,5,5,4,5,9,11,5,32,6,1,5,3,12,8,5,8,16,15,27,10,8,20,4,4,11,12,11,9,7,17,9,6,10,10,7,10,7,12,7,6,14,12,14,6,3,8,6,5,8,9,4,10,7,10,5,7,9,6,12,9,7,10,7,3,6,3,5,2,7,2,3,4,1,7,0,2,57,101,4,8,9,13,17,3,4,4,3,2,67,2,2,1,2,0,3,2,1,1,2,42,1,3,2,1,2,8,6,2,5,3,48,4,3,2,0,1,3,1,1,2,1,35,3,1,2,2,5,2,2,1,0,2,27,2,1,2,2,4,2,6,0,3,8,18,2,3,2,3,2,5,5,3,1,0,16,3,4,3,1,2,0,0,0,1,1,16,0,1
1999,1288,699,589,47,96,88,51,52,67,45,34,25,39,23,30,11,17,20,14,10,12,7,2,5,5,11,6,5,7,5,15,11,11,8,7,4,5,10,13,6,11,13,19,9,7,11,15,5,3,12,9,7,12,9,11,21,8,6,15,8,7,13,9,5,11,8,5,10,8,9,5,13,16,9,3,11,11,7,9,7,9,3,10,6,6,10,4,7,3,4,6,2,2,0,5,14,24,6,15,6,10,9,6,6,9,6,2,23,4,4,4,6,4,5,1,10,10,7,17,5,4,4,3,5,9,2,3,10,17,21,7,5,10,14,5,2,10,7,5,11,26,6,7,14,6,6,11,5,6,10,8,19,3,11,6,4,7,4,8,4,13,12,13,6,1,7,7,6,8,5,6,3,5,10,6,3,8,3,7,3,4,2,1,2,15,0,5,33,72,17,15,5,7,11,8,4,3,1,0,65,1,1,7,0,1,2,4,5,1,4,34,3,3,0,2,5,4,4,8,3,2,31,2,2,1,1,0,1,2,2,2,1,41,3,4,7,2,0,4,3,1,3,1,26,2,0,2,1,3,4,1,1,0,4,21,3,2,4,4,1,1,2,3,0,5,15,0,3,2,1,0,0,0,4,1,0,24,0,0
2000,1188,666,522,36,111,72,56,47,39,38,22,23,25,15,20,16,14,20,16,6,6,16,7,5,6,6,8,5,6,8,11,7,10,6,10,6,3,7,13,10,6,7,13,9,12,7,7,16,15,9,12,8,5,11,14,10,11,18,10,11,13,5,5,6,16,13,12,5,3,11,10,9,7,7,9,11,12,14,8,8,2,8,6,6,3,3,4,3,3,4,6,3,4,0,6,11,46,5,13,7,8,11,11,3,4,11,7,23,1,6,4,5,3,2,3,7,4,6,16,4,4,3,2,3,8,8,4,2,10,17,8,11,4,5,14,13,9,9,6,3,16,6,11,7,7,14,6,7,9,3,5,15,5,14,9,9,5,2,8,7,7,5,9,5,7,7,10,10,7,3,1,6,5,10,6,3,3,2,2,2,4,2,2,4,10,0,5,25,65,10,7,9,6,9,5,3,2,5,0,49,4,0,2,3,2,4,5,4,3,4,40,2,6,3,1,4,5,2,2,5,3,30,1,1,3,2,2,2,0,3,2,2,23,5,3,3,4,4,4,4,4,2,0,23,1,2,4,3,0,1,3,3,2,2,13,2,2,4,2,4,1,5,1,2,1,13,0,0,0,2,1,1,0,4,1,0,15,0,1
2001,1014,519,495,39,88,85,79,33,41,37,20,25,25,27,22,12,16,15,14,14,6,2,1,6,5,1,4,9,2,4,5,3,1,6,5,4,3,5,9,4,5,3,6,14,11,2,5,4,9,6,7,5,6,1,7,7,9,10,16,5,6,9,11,5,7,7,7,16,7,6,12,9,5,7,1,4,8,6,6,6,5,3,4,8,4,8,3,3,5,2,1,2,1,0,5,11,28,14,8,6,7,4,6,9,3,2,1,29,5,4,1,2,7,2,3,3,2,1,27,4,2,4,2,3,6,3,2,2,2,12,12,10,2,4,3,8,6,5,4,6,15,1,5,6,9,7,11,3,4,7,8,17,4,7,5,5,5,5,3,7,6,4,6,6,1,3,4,5,3,3,5,2,3,7,5,2,7,3,2,5,2,1,1,1,7,0,4,28,60,13,14,6,9,11,8,5,3,0,0,56,1,1,0,2,2,0,1,2,1,0,52,2,3,0,1,2,3,1,3,1,4,21,2,1,0,1,1,1,0,2,1,0,26,0,2,1,0,3,5,2,2,2,3,20,1,0,2,2,11,2,3,5,3,1,14,1,0,1,4,1,3,3,0,1,1,18,3,2,1,0,1,0,0,0,1,0,18,0,1
2002,817,417,400,31,79,78,68,42,37,39,26,26,20,18,18,23,2,6,11,5,6,3,1,3,5,4,1,2,11,3,4,4,4,3,2,7,4,3,1,4,4,7,7,8,8,6,7,2,3,12,4,2,4,3,3,7,8,8,2,6,4,4,1,3,8,4,7,3,3,2,3,3,1,5,3,3,3,7,0,6,2,1,2,3,2,2,3,1,3,3,2,1,2,0,2,13,24,5,8,10,2,3,4,3,3,3,1,26,2,4,1,1,2,2,2,3,4,4,30,3,2,6,1,2,0,2,3,7,4,14,6,7,6,6,2,0,10,3,1,4,15,2,1,7,8,8,1,5,4,4,1,15,1,7,4,6,3,3,2,2,3,0,10,2,2,2,2,5,0,4,1,1,1,13,1,2,0,3,1,3,3,2,1,1,4,0,2,18,55,13,10,13,0,3,7,2,3,0,0,52,1,1,3,0,0,9,1,1,0,0,38,0,0,1,3,1,1,2,1,0,3,28,2,1,0,1,0,3,2,1,1,0,22,1,2,0,0,0,1,1,0,0,0,24,2,1,0,1,0,0,0,1,0,1,16,3,1,1,1,2,0,2,1,0,1,13,2,0,2,0,0,0,0,0,0,1,16,0,0
2003,834,404,430,26,103,89,60,60,41,38,17,19,15,28,15,7,9,10,12,3,1,4,4,4,6,4,6,5,4,5,5,3,2,3,6,4,6,5,7,2,3,3,4,7,4,6,5,4,4,4,12,4,2,5,5,5,4,7,9,4,6,1,0,7,5,2,3,2,1,5,2,4,5,3,1,8,1,6,3,1,6,5,1,4,4,1,1,1,0,0,1,1,1,0,3,10,29,10,4,1,6,5,6,1,0,3,1,30,1,2,2,6,5,2,4,2,3,1,23,1,4,3,5,3,4,1,2,2,3,24,6,2,5,4,3,3,4,11,4,2,19,4,5,2,4,6,7,3,5,1,0,9,7,4,2,2,1,0,3,2,3,4,7,3,0,5,1,5,2,1,5,4,1,7,4,1,0,1,1,0,0,1,1,0,5,0,3,16,74,18,11,6,3,5,6,2,1,1,3,59,3,4,2,0,0,2,1,3,0,1,37,2,2,1,1,2,3,1,1,1,1,36,1,2,1,1,1,1,0,1,0,0,22,1,0,3,0,1,2,1,1,0,0,29,0,1,0,1,1,1,2,0,1,1,10,0,1,3,0,1,1,0,1,1,0,12,0,3,1,0,0,0,0,0,0,1,10,0,0
2004,772,386,386,13,79,76,63,60,40,34,30,15,21,14,16,7,10,6,4,5,4,2,5,7,2,4,7,5,0,4,2,1,5,1,5,2,3,2,3,4,4,2,7,5,4,7,10,8,1,1,6,11,4,2,2,7,7,3,4,8,9,6,6,1,4,1,2,5,5,4,8,4,1,3,2,4,3,3,4,5,3,1,2,4,2,3,2,3,0,0,1,1,1,0,5,3,23,5,5,1,3,1,2,4,3,1,1,24,5,1,3,7,5,0,2,1,0,3,24,1,2,1,1,1,1,2,3,2,4,24,5,3,2,8,8,1,1,5,9,4,18,2,2,5,4,3,3,7,8,5,4,18,1,2,1,2,5,5,4,6,4,1,8,3,2,2,2,3,3,2,3,1,2,7,2,2,2,2,2,0,0,1,1,1,7,0,3,10,56,9,11,6,7,5,2,1,1,1,4,52,2,1,1,0,0,0,2,1,1,2,39,0,3,1,2,1,2,2,1,0,3,36,0,1,5,2,0,0,0,1,2,0,22,0,0,2,3,0,1,1,1,1,2,16,0,2,0,0,0,0,0,2,0,0,22,0,0,2,1,0,1,3,0,0,0,8,2,0,1,0,1,0,0,0,0,0,14,0,2
2005,765,341,424,15,102,77,79,43,44,38,26,18,23,16,11,12,9,6,7,2,4,4,7,5,3,4,6,5,10,5,1,2,2,3,6,6,8,7,3,5,3,4,3,1,3,3,6,9,11,1,0,2,1,5,2,5,1,4,5,3,2,4,3,4,2,4,0,2,4,1,4,6,1,2,4,0,0,2,1,2,5,3,0,2,1,1,1,1,0,0,1,3,0,0,3,6,32,4,4,3,1,1,4,2,2,3,6,20,3,2,3,3,5,7,3,1,1,1,21,1,3,4,4,3,3,4,2,3,2,21,1,2,2,2,8,11,1,0,1,1,17,5,1,4,0,1,3,2,1,3,1,14,2,1,3,0,1,4,1,3,5,1,12,1,4,0,0,2,1,1,2,3,0,7,2,0,1,1,1,0,0,0,3,0,7,0,3,9,70,12,7,9,8,5,3,0,2,1,1,57,2,1,1,3,0,3,2,0,1,1,58,2,3,2,4,4,0,1,1,1,1,22,0,1,1,4,1,0,0,0,1,0,27,0,1,1,1,3,2,1,1,1,2,24,2,1,1,0,1,0,0,1,1,0,14,1,0,0,0,0,0,1,3,0,0,11,0,1,0,0,0,0,0,1,0,0,16,0,0
2006,633,289,344,26,100,67,63,28,28,27,26,19,21,9,11,12,7,4,5,4,1,4,4,4,2,1,5,3,4,6,0,1,6,1,3,0,3,4,2,3,1,2,2,1,4,4,0,4,10,11,0,3,3,5,3,9,3,6,0,3,0,5,3,3,0,0,1,2,1,3,2,3,2,2,0,0,1,1,3,0,4,0,1,1,1,0,0,1,1,1,0,0,1,0,2,4,34,5,3,4,2,1,1,2,1,3,4,26,2,2,0,2,2,4,5,0,0,4,19,1,3,0,3,1,1,2,1,2,1,11,1,2,3,0,4,10,8,0,1,1,14,5,3,3,2,4,0,2,0,5,3,15,2,0,0,1,2,1,3,2,3,1,11,0,0,0,0,1,1,0,1,0,1,6,0,1,0,0,1,1,1,0,0,0,5,0,2,22,66,4,8,8,5,3,4,2,0,1,0,41,2,0,1,3,1,0,1,0,1,2,44,0,0,0,0,3,1,1,0,0,1,17,0,2,1,0,0,0,3,0,2,2,14,0,0,6,1,2,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,15,2,0,0,1,0,2,0,3,0,0,13,1,0,0,0,0,0,0,0,0,1,16,0,0
2007,473,224,249,18,70,55,32,32,26,26,13,23,19,16,6,5,5,3,3,0,0,0,1,0,1,2,2,2,0,1,5,1,3,2,0,1,1,2,4,1,1,1,1,1,1,3,1,3,5,5,4,2,4,3,2,3,1,2,3,1,1,4,2,4,3,0,1,1,2,3,1,1,1,1,0,0,1,2,1,0,0,3,1,2,1,1,2,0,1,1,1,0,0,0,3,5,27,4,1,1,2,1,0,0,0,0,1,22,0,0,2,1,1,0,1,5,1,2,10,0,0,1,1,2,1,0,1,0,1,6,0,0,1,0,2,3,5,4,2,4,13,2,1,3,1,2,2,1,1,4,2,15,3,1,0,0,1,1,3,0,1,1,9,1,0,0,1,1,0,0,0,3,0,12,1,1,1,2,0,1,1,1,0,0,7,0,3,13,43,12,5,4,3,2,3,0,0,0,0,33,0,1,0,1,1,0,0,0,0,1,22,2,0,0,0,0,3,1,0,1,0,26,1,1,2,1,1,2,0,0,0,0,13,1,1,0,0,0,1,0,0,0,0,11,1,2,0,1,0,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,12,0,0
