fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,13107,6897,6210,952,1513,995,683,583,392,297,227,192,161,159,156,140,114,99,118,105,104,102,107,108,91,115,109,82,80,87,87,90,80,65,50,77,86,94,98,81,83,98,101,99,82,76,86,75,101,88,83,110,114,96,91,77,76,75,98,83,84,94,89,76,79,116,77,78,94,83,92,86,96,117,100,105,108,100,111,81,91,83,61,79,73,58,47,62,32,37,41,18,24,0,64,276,505,69,87,49,55,50,77,63,66,75,76,374,78,54,79,73,52,59,61,70,60,52,242,39,33,61,65,73,68,61,58,68,74,186,64,61,55,54,52,73,69,66,82,93,136,66,69,54,58,54,68,54,66,64,62,94,56,56,85,57,50,69,68,63,58,69,75,70,74,72,73,69,82,54,56,62,47,72,52,60,39,36,47,21,25,33,14,18,64,0,49,676,1008,90,69,91,59,49,41,42,38,27,31,621,30,37,36,36,30,21,26,17,30,28,441,26,17,16,21,21,30,20,25,30,27,397,35,21,21,32,23,28,19,17,28,21,256,30,22,23,18,21,30,29,18,30,27,203,20,23,31,20,28,25,15,29,28,27,152,47,26,33,35,31,29,27,35,21,14,120,27,13,19,11,15,11,12,8,4,6,97,0,15
1999,13950,7092,6858,898,1521,1041,741,691,541,336,281,280,259,199,180,175,150,135,127,122,93,112,102,96,95,96,95,91,82,71,104,94,82,83,90,71,64,77,102,104,107,75,94,100,73,98,88,97,84,95,88,93,115,98,121,100,104,89,99,85,93,63,86,69,82,90,83,85,69,76,77,106,106,99,100,87,115,103,79,93,98,86,87,81,47,53,51,65,54,44,30,25,25,0,59,267,511,81,59,66,75,66,78,76,57,71,72,365,62,62,65,58,48,57,44,77,71,57,237,59,58,53,49,54,65,71,74,46,68,254,81,52,75,69,63,68,67,59,69,82,162,78,81,70,83,72,63,56,70,52,66,118,50,60,61,62,56,46,50,47,71,73,112,66,65,60,71,73,47,68,62,55,52,108,53,37,41,34,50,40,32,27,18,22,92,0,42,631,1010,118,121,109,75,69,49,46,36,41,30,676,34,33,31,37,43,25,27,27,23,25,504,24,32,18,15,23,37,33,33,29,26,437,19,21,23,19,34,16,28,29,24,33,379,20,40,30,21,17,36,29,23,11,20,218,19,22,29,21,29,23,26,30,35,33,169,33,35,27,44,30,32,25,36,31,35,172,28,10,12,17,15,14,12,3,7,3,167,0,17
2000,12136,6295,5841,806,1375,911,648,536,348,273,189,170,156,140,137,129,90,88,98,91,78,56,89,69,85,76,74,81,82,68,71,75,78,90,64,73,53,70,81,83,102,90,87,94,87,116,98,80,80,86,79,110,90,78,90,102,102,105,97,78,106,75,65,98,82,71,89,97,74,63,91,95,85,85,86,102,111,96,104,93,89,96,90,68,54,61,56,55,56,44,37,40,20,0,70,235,462,49,47,49,32,35,61,51,44,39,67,308,44,47,45,49,53,54,50,52,50,56,244,64,40,55,36,47,57,59,61,57,70,198,70,70,75,75,63,48,64,53,78,69,117,53,64,65,79,73,80,51,66,55,46,99,73,57,55,61,71,48,39,63,66,49,62,58,65,66,79,59,75,52,60,63,63,70,47,45,28,44,38,39,30,30,34,15,59,0,52,571,913,91,90,80,58,53,37,40,34,17,22,603,25,38,31,25,28,28,18,19,25,22,404,26,24,18,17,23,24,24,41,33,17,338,24,17,41,23,17,32,22,26,32,21,231,25,26,37,23,32,17,27,40,20,19,174,25,25,16,28,26,26,24,28,29,36,127,27,21,36,32,37,29,41,29,33,27,100,21,9,33,12,17,17,14,7,6,5,97,0,18
2001,11203,5655,5548,744,1342,1037,741,542,399,281,219,187,152,135,126,119,101,69,67,70,84,60,61,54,61,63,72,61,72,57,47,70,62,76,56,61,59,55,61,89,84,66,79,72,76,69,82,83,62,88,63,90,84,63,73,75,94,75,56,59,80,75,71,75,88,67,68,70,63,61,57,50,67,65,65,47,63,72,78,91,77,83,74,61,45,55,48,45,38,43,52,29,15,0,60,242,449,45,56,45,54,30,39,45,54,30,40,361,34,31,42,53,40,45,39,29,41,43,257,54,43,46,40,36,42,64,71,42,62,192,50,57,51,57,61,45,63,46,66,61,153,55,52,49,63,51,41,37,58,51,52,92,59,59,53,47,47,46,43,34,30,39,94,46,38,26,40,55,46,71,62,43,47,65,39,34,39,33,36,26,37,35,22,13,53,0,51,502,893,90,70,74,47,39,28,25,30,30,21,676,20,30,21,19,21,27,18,18,29,19,484,22,13,15,19,19,19,25,13,24,17,350,22,19,18,25,22,17,25,17,24,23,246,8,21,26,31,24,15,22,22,24,19,189,16,29,14,21,23,17,18,23,20,28,125,19,27,21,23,17,32,20,15,40,27,122,22,11,16,15,9,12,6,17,7,2,99,0,9
2002,8613,4258,4355,562,1026,756,607,454,342,263,195,180,130,110,120,67,84,64,46,56,56,53,45,49,50,52,45,47,44,59,48,51,56,53,42,60,45,52,48,46,63,68,77,61,47,78,52,51,67,58,67,58,57,64,55,57,48,73,63,49,56,52,44,44,50,54,45,37,30,61,47,34,51,50,38,41,43,53,45,54,32,45,50,41,28,33,25,16,20,17,21,20,16,0,44,147,337,44,37,25,43,26,27,34,36,36,30,270,29,39,29,30,32,29,38,33,34,38,199,35,27,44,34,45,33,31,46,45,55,153,43,29,65,38,33,44,39,43,45,45,123,50,42,49,35,47,51,31,45,40,33,98,34,36,39,31,28,20,43,31,20,30,61,30,28,28,33,38,37,44,29,32,30,64,33,21,25,21,14,15,10,14,15,15,40,0,31,415,689,66,83,42,41,38,19,22,20,17,15,486,20,11,23,15,15,15,21,15,17,18,408,18,15,16,11,7,15,15,17,23,22,301,18,18,13,14,18,23,19,24,13,12,219,14,13,8,13,26,12,18,11,12,11,165,10,14,15,14,9,10,18,16,14,21,134,20,10,13,10,15,8,10,3,13,20,116,8,7,8,4,2,5,7,7,5,1,90,0,13
2003,8217,4187,4030,481,1046,774,565,477,334,241,173,162,142,112,68,79,65,52,57,52,44,42,55,54,54,52,64,64,62,40,42,59,49,60,64,52,63,44,59,48,53,63,70,72,62,88,72,44,61,57,68,69,40,59,49,47,70,63,52,50,40,44,43,41,41,46,37,39,32,28,30,24,35,25,37,27,31,40,40,39,46,31,26,26,39,21,24,22,9,13,11,9,15,0,46,148,358,25,27,34,29,30,29,36,24,31,40,261,35,40,37,37,43,43,22,28,37,36,207,43,43,38,47,35,41,33,33,45,61,180,52,50,70,64,38,48,41,48,59,27,117,42,35,31,56,43,40,41,28,34,37,82,32,26,31,27,22,27,19,25,20,22,61,19,25,18,22,31,31,30,27,22,24,69,21,31,19,16,15,5,11,8,7,12,59,0,34,333,688,87,41,45,36,22,28,16,20,11,15,513,19,14,15,27,21,19,18,14,22,13,358,17,21,14,16,9,18,15,20,18,9,297,20,12,18,8,6,13,16,20,10,13,217,17,14,16,14,20,12,9,12,10,6,159,9,15,15,10,17,5,9,5,4,13,112,6,12,9,9,9,9,9,19,9,2,93,5,8,2,8,7,4,2,3,2,3,83,0,12
2004,8135,3958,4177,520,1107,817,554,485,348,258,181,162,153,121,96,58,73,48,55,65,49,27,46,27,48,38,34,36,56,34,44,47,34,43,59,52,52,60,24,42,52,61,67,48,60,72,56,57,39,63,38,62,67,52,49,61,51,47,73,59,51,29,43,38,41,41,42,38,23,24,22,35,33,35,32,46,23,44,25,30,42,26,35,22,34,31,29,22,16,19,17,7,15,0,38,145,382,41,31,21,31,19,27,42,34,18,35,282,15,30,27,22,24,39,20,25,36,17,200,26,34,32,32,47,18,32,40,40,50,156,34,40,54,43,41,30,48,29,43,47,129,38,36,46,42,36,57,44,34,20,31,85,30,22,34,38,31,18,16,16,25,21,63,29,21,32,15,34,17,25,35,19,31,50,16,25,26,26,20,10,16,15,5,11,57,0,32,375,725,80,65,37,42,29,28,23,15,9,11,535,12,18,11,12,12,17,14,19,11,17,354,17,25,20,20,13,6,10,12,21,17,329,14,20,18,13,16,9,15,9,19,20,219,14,13,15,9,11,16,15,17,9,12,173,8,19,7,4,7,5,8,6,10,12,118,6,11,14,8,10,8,5,7,7,4,112,6,9,5,3,2,6,3,2,2,4,96,0,6
2005,8880,4263,4617,504,1123,900,634,592,444,342,266,192,172,160,119,79,73,46,42,72,64,37,42,38,47,45,38,42,41,53,49,39,55,44,35,50,64,57,60,37,56,52,55,52,55,53,63,72,57,49,67,73,36,56,42,39,45,50,47,64,52,46,40,39,36,32,38,34,31,36,28,29,33,39,36,51,40,39,26,35,31,33,37,34,34,25,23,26,25,18,9,7,17,0,41,146,352,56,44,33,31,21,19,39,40,25,25,348,25,33,29,25,27,28,39,37,18,44,214,26,26,37,47,45,50,27,35,39,42,203,34,37,36,43,52,45,36,48,52,28,164,35,30,30,33,35,35,55,39,31,27,118,29,23,24,30,29,23,24,21,25,25,93,28,23,41,33,33,22,24,23,31,30,61,26,30,17,15,19,21,16,6,5,11,51,0,33,358,771,104,75,46,42,25,23,33,24,12,17,552,13,14,16,13,15,13,14,12,21,11,420,18,9,13,17,12,10,10,21,13,13,389,18,18,17,20,20,12,13,19,21,8,280,21,12,9,12,15,12,9,13,15,13,224,10,13,8,8,5,8,12,7,4,8,173,11,13,10,7,6,4,11,8,2,7,131,8,4,8,8,7,4,2,3,2,6,121,0,8
2006,7061,3496,3565,439,902,699,474,435,298,239,172,144,119,112,75,65,49,36,45,39,37,45,42,24,31,51,35,37,32,39,45,44,48,52,28,38,37,59,36,49,33,55,42,49,52,47,61,49,50,52,43,48,39,48,47,43,36,33,26,47,52,54,42,37,31,32,29,40,30,26,30,31,29,29,32,33,31,34,18,23,37,44,22,18,32,34,17,25,11,21,15,12,13,0,46,133,302,40,22,23,23,14,23,23,23,28,32,251,13,22,35,21,18,16,25,35,29,28,175,39,18,27,21,45,21,30,27,35,31,177,34,32,30,42,33,38,39,31,36,25,114,31,28,40,25,19,21,33,41,44,34,86,28,28,23,19,32,20,19,26,21,21,49,21,24,22,23,30,14,21,28,40,18,54,12,21,27,17,19,10,16,12,12,10,39,0,39,306,600,72,53,42,26,22,22,16,14,17,10,448,11,9,16,14,19,16,14,10,15,20,299,13,10,11,16,14,15,19,6,20,11,258,15,20,17,19,16,12,13,12,12,14,184,17,19,3,11,14,5,14,11,10,8,153,9,3,9,10,8,10,7,4,10,8,123,8,8,11,8,4,4,2,9,4,4,90,6,11,7,0,6,1,5,3,0,3,80,0,7
2007,5813,2912,2901,315,704,530,398,291,241,174,169,122,113,94,75,60,54,32,36,34,40,28,34,21,30,37,37,20,31,36,32,30,30,42,34,26,41,29,36,50,33,32,48,39,40,45,46,54,41,51,35,36,44,42,34,45,29,42,32,35,28,44,44,44,29,29,34,27,32,27,23,31,17,23,29,24,28,26,25,27,23,29,28,20,22,28,28,26,13,20,10,13,9,0,44,90,212,36,30,24,19,12,17,25,26,17,17,174,11,18,26,18,10,19,27,24,24,23,134,25,23,17,27,22,21,36,22,23,34,93,33,28,34,35,41,30,42,23,24,34,88,34,25,34,18,33,28,26,26,30,33,76,36,19,19,24,22,23,19,18,24,10,69,18,24,17,22,24,18,23,18,23,21,46,16,15,21,27,20,8,13,9,13,9,35,0,38,225,492,58,45,36,35,20,19,9,14,11,17,356,10,12,11,19,10,12,9,8,6,7,264,17,11,9,14,7,15,14,11,9,14,198,6,12,11,11,13,11,9,12,12,10,153,8,9,11,11,9,4,9,2,14,11,98,8,10,10,10,5,9,8,5,7,7,100,5,5,7,6,2,7,4,5,6,7,76,4,7,7,1,6,5,7,1,0,0,78,0,6
