fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,25531,15018,10513,1247,1793,1274,762,653,582,472,347,323,277,245,212,220,214,184,164,224,204,191,200,193,213,172,209,186,195,185,209,202,209,189,209,240,233,230,248,208,238,240,201,235,233,221,245,246,244,186,236,228,237,244,246,238,233,251,245,235,240,216,200,218,222,206,240,212,257,264,253,293,267,267,275,279,294,308,274,314,262,257,210,203,224,181,170,152,141,126,100,99,77,0,230,372,635,107,103,82,97,81,95,149,153,148,144,464,160,168,123,163,142,147,139,161,160,160,289,145,162,188,182,177,176,163,162,176,139,267,167,152,148,182,174,175,122,187,180,161,208,170,156,177,156,167,159,153,155,151,132,196,136,138,136,150,133,178,166,162,177,183,140,160,155,175,182,214,178,204,180,188,153,137,138,168,137,127,103,106,97,69,79,57,128,0,177,875,1158,138,109,138,117,103,69,75,51,43,56,810,33,45,49,46,44,48,46,48,42,49,473,44,47,52,51,53,72,45,76,64,62,386,68,81,73,63,72,69,64,49,48,76,374,74,90,61,77,84,86,82,85,65,68,276,82,84,70,90,79,79,98,91,116,84,207,107,120,104,112,94,96,110,82,69,57,186,65,56,44,43,49,35,29,31,20,20,149,0,53
1999,25829,15307,10522,1164,1798,1198,785,574,539,373,327,275,270,227,221,175,203,209,161,207,207,173,207,181,183,184,214,203,208,200,196,211,191,236,234,233,233,218,261,259,241,237,237,216,280,249,265,227,261,228,262,259,233,250,261,267,250,240,250,232,257,243,232,220,237,218,227,237,233,280,281,299,315,277,280,309,319,277,314,307,303,264,271,241,226,182,159,172,150,116,93,72,88,0,247,353,633,90,96,77,84,118,100,130,136,129,165,429,140,137,143,161,150,158,151,145,167,148,269,184,184,175,175,171,184,198,179,170,179,217,146,206,169,183,164,181,167,174,177,168,203,170,178,183,177,171,183,151,162,150,146,144,145,158,141,147,160,144,179,167,182,204,128,181,182,187,195,185,197,198,213,198,190,111,170,171,138,126,137,112,91,64,62,60,109,0,197,811,1165,137,125,98,119,91,61,77,71,44,42,769,41,46,41,53,53,50,49,51,44,43,516,52,50,58,58,47,77,61,62,67,58,357,70,74,80,82,63,80,61,88,82,65,336,80,83,84,73,69,67,81,95,93,86,229,75,79,77,80,77,89,101,114,117,111,199,96,98,122,124,92,117,109,90,66,81,164,71,55,44,33,35,38,25,29,10,28,161,0,50
2000,24991,14903,10088,941,1463,1038,679,534,415,342,284,260,258,232,195,173,150,158,181,178,174,166,163,174,200,219,180,178,226,207,187,202,215,172,248,185,190,224,247,247,248,226,267,226,238,232,268,237,250,277,244,250,241,254,271,273,260,262,250,237,270,253,270,241,225,263,213,255,219,286,305,319,309,292,301,316,338,328,323,324,336,313,292,218,227,205,201,132,178,162,118,89,101,0,273,306,491,109,71,61,59,82,86,98,112,100,111,380,133,147,156,136,139,173,160,139,142,171,267,140,183,134,151,159,164,174,184,168,188,190,166,175,152,157,172,175,190,159,178,165,157,179,157,193,172,180,166,148,185,167,183,139,156,143,159,141,167,148,198,202,203,195,115,187,199,185,208,206,214,214,212,214,194,119,170,170,145,155,99,132,111,85,73,71,111,0,223,635,972,123,124,112,91,76,95,80,62,66,52,658,41,53,63,44,39,53,47,48,60,44,412,32,65,51,39,65,83,73,64,58,79,344,60,63,80,111,65,75,87,85,72,76,258,75,114,80,88,82,84,89,85,86,87,203,85,82,104,72,88,71,88,103,116,114,169,105,102,131,130,122,109,110,124,99,98,141,48,57,60,46,33,46,51,33,16,30,147,0,50
2001,11901,6675,5226,571,1188,808,473,381,328,234,184,159,160,134,146,97,97,82,86,77,89,58,68,64,48,75,67,82,79,73,75,62,74,72,70,69,75,70,85,83,84,99,92,98,94,106,135,96,96,96,96,108,100,87,123,105,102,108,90,107,110,109,106,96,92,95,104,91,102,98,96,90,132,112,139,123,106,103,106,142,112,126,104,94,93,68,70,71,58,69,50,33,29,0,107,166,414,65,63,40,39,48,51,52,49,39,44,295,48,36,54,54,61,61,60,51,50,62,176,54,50,46,48,56,54,65,62,74,70,125,69,61,78,85,52,66,69,70,77,68,110,65,92,71,81,76,54,76,75,70,70,91,73,62,68,73,72,78,67,70,50,93,81,72,94,78,67,68,74,88,68,83,75,64,72,58,54,59,49,53,48,39,25,25,82,0,85,405,774,69,83,57,58,34,35,25,40,19,24,513,16,12,21,13,21,18,13,24,12,12,297,18,20,23,27,14,31,18,22,25,22,256,29,33,28,50,44,30,27,26,31,32,218,22,31,34,21,32,36,31,35,39,36,143,23,30,27,31,19,24,31,26,40,39,103,40,45,45,39,35,32,54,44,43,29,95,22,35,14,11,22,5,21,11,8,4,78,0,22
2002,6614,3242,3372,375,853,635,405,287,252,241,173,123,107,105,116,93,71,57,46,43,43,24,23,27,24,31,28,31,31,19,14,32,16,25,27,19,26,27,14,15,30,45,43,29,29,24,35,33,36,38,39,60,34,38,39,52,47,44,30,38,29,55,57,44,50,40,49,41,40,41,49,40,44,41,46,59,36,44,57,39,60,41,49,49,41,39,30,22,22,17,19,24,11,0,48,105,302,41,46,37,36,29,28,17,25,15,19,205,13,15,18,18,25,20,16,9,19,9,148,18,16,12,15,20,11,9,19,27,35,102,25,23,21,21,19,21,28,26,46,25,83,27,34,41,33,30,19,32,20,42,44,77,33,36,32,34,28,29,28,32,34,27,63,24,34,37,22,27,46,25,40,25,36,38,30,32,24,22,18,18,16,14,19,9,37,0,37,270,551,64,70,56,35,28,18,26,18,9,4,430,14,9,13,10,6,11,3,5,13,7,257,7,11,7,11,7,3,6,11,18,8,185,4,6,3,14,14,15,10,13,14,9,169,11,5,11,14,14,11,6,9,13,13,164,11,14,8,15,13,11,13,17,6,17,110,17,12,22,14,17,11,14,20,16,13,85,19,9,15,8,4,4,1,5,5,2,70,0,11
2003,6268,3156,3112,316,801,566,388,294,244,188,145,126,110,99,82,64,71,75,57,45,31,29,26,27,23,34,21,29,23,32,21,25,24,20,17,23,31,30,21,21,25,32,28,30,53,27,45,46,40,40,40,35,42,48,42,52,44,48,42,36,34,29,43,47,44,35,28,41,43,52,33,41,38,43,38,46,53,30,45,41,39,50,47,58,45,40,36,36,22,19,22,11,18,0,47,113,288,41,35,26,30,36,21,24,17,15,17,217,21,14,16,17,19,16,22,13,12,16,154,13,12,10,15,19,16,14,15,26,17,100,21,38,19,33,32,27,28,21,24,28,93,37,25,37,30,33,27,22,31,22,32,82,29,32,24,22,27,23,33,20,25,28,50,28,25,37,35,15,24,29,29,37,38,47,34,33,31,25,24,20,18,17,7,14,46,0,31,203,513,58,47,38,41,39,36,21,14,14,9,349,6,9,18,4,10,7,10,8,13,8,234,7,5,13,16,11,5,7,10,6,11,194,9,15,8,12,14,13,12,19,11,14,151,11,17,15,14,15,15,14,3,7,11,106,18,12,11,6,14,20,19,13,16,10,95,15,13,9,18,15,21,12,10,13,9,79,24,12,9,11,12,2,1,5,4,4,64,0,16
2004,6299,3182,3117,230,776,551,352,303,218,155,140,135,88,104,82,59,66,70,47,47,30,25,25,38,17,23,30,19,17,21,33,34,26,17,17,15,35,29,17,29,23,36,31,37,47,49,29,34,44,41,33,44,59,40,35,52,42,40,43,54,53,46,36,61,51,48,54,42,36,49,49,41,45,53,62,47,65,57,52,50,40,57,52,49,52,37,38,32,27,27,30,31,21,0,76,64,259,47,33,24,21,34,20,32,20,13,20,211,24,9,17,14,13,14,12,27,21,14,114,11,10,9,20,16,10,18,18,20,22,117,25,35,26,19,26,33,32,24,31,40,80,26,26,40,26,30,33,40,34,34,23,55,44,35,36,35,26,28,27,28,31,29,60,27,44,35,42,33,30,31,27,30,34,43,31,32,25,31,22,25,20,21,22,14,36,0,62,166,517,57,49,35,45,36,27,15,10,12,5,340,14,8,6,16,6,3,9,6,13,12,238,6,7,6,15,13,7,11,5,16,9,186,12,12,23,10,8,11,9,9,13,19,138,14,9,12,16,10,10,14,19,12,13,100,17,16,12,19,16,8,22,21,10,16,80,26,18,12,23,24,22,19,13,27,18,92,18,20,12,7,10,2,7,9,9,7,52,0,14
2005,7126,3620,3506,269,836,706,424,337,251,199,179,131,129,128,86,70,60,56,56,40,31,26,26,28,30,29,20,26,20,32,26,26,27,18,24,19,24,34,24,22,39,41,29,39,50,53,50,36,38,42,38,35,45,51,54,60,46,53,50,45,49,58,48,55,57,57,48,49,56,53,50,59,65,50,67,66,66,59,58,59,56,48,57,60,50,58,52,42,58,35,27,20,11,0,60,75,298,50,38,30,30,32,33,22,18,15,12,260,18,22,15,11,15,15,19,19,22,18,151,12,14,9,12,25,13,15,30,26,22,128,25,42,38,31,23,21,29,23,25,33,102,32,34,40,29,47,33,27,37,37,30,74,35,39,39,40,36,40,38,33,37,38,65,32,51,45,46,32,36,45,34,29,43,51,36,32,41,37,33,44,30,22,12,8,40,0,45,194,538,78,48,40,30,24,23,18,13,11,14,446,10,8,14,9,11,5,13,7,4,9,273,6,10,10,12,9,11,7,9,15,7,209,14,8,15,19,13,17,13,15,10,12,149,19,20,20,17,6,17,18,12,21,18,125,20,18,18,8,13,16,15,17,22,27,114,18,16,21,20,27,22,14,22,19,14,80,24,18,17,15,9,14,5,5,8,3,89,0,15
2006,5012,2415,2597,200,647,594,322,268,244,194,121,101,97,96,87,67,54,39,40,48,28,20,14,22,20,22,25,20,23,27,17,18,24,22,19,19,22,19,30,32,24,21,32,20,24,21,42,31,20,24,26,28,32,28,23,29,28,35,31,30,25,31,28,33,28,22,28,18,22,24,20,29,24,26,26,25,32,34,26,21,23,30,24,29,19,18,34,12,11,15,18,12,11,0,23,39,231,23,33,28,28,20,19,27,17,12,8,225,12,16,12,17,13,14,20,10,10,18,122,11,9,15,13,15,18,24,17,20,25,92,10,16,11,34,20,14,17,19,18,23,98,21,18,17,21,24,23,22,19,25,17,70,25,21,16,22,15,14,17,11,24,15,49,21,15,14,17,21,16,18,18,19,18,39,16,15,13,26,9,8,10,15,9,8,34,0,17,161,416,73,54,39,26,19,21,21,11,8,6,369,10,4,10,8,7,9,7,7,8,6,200,11,10,4,9,4,12,8,7,1,7,176,10,8,10,8,11,6,7,7,10,9,146,7,5,12,7,11,8,8,6,6,11,124,8,7,6,6,3,8,7,9,5,9,72,5,11,11,15,13,10,3,5,11,6,62,13,4,5,8,3,3,5,3,3,3,63,0,6
2007,3881,1803,2078,152,501,357,280,226,202,162,132,97,72,90,64,57,54,50,29,31,36,19,10,19,25,17,13,20,19,16,22,15,25,18,16,21,23,12,17,20,29,22,27,21,23,23,26,19,26,25,25,29,24,24,22,28,22,28,15,20,15,22,21,22,20,17,11,21,18,11,18,12,11,11,12,14,13,9,16,18,19,7,20,10,10,15,13,8,8,9,11,6,4,0,12,39,180,35,22,21,32,20,12,16,20,13,3,119,10,14,11,6,16,7,7,15,9,14,97,8,9,10,16,8,12,13,17,15,20,90,16,15,19,18,16,15,18,13,22,17,68,11,18,22,14,16,8,13,11,15,17,51,15,15,14,6,16,12,4,13,10,7,44,7,9,11,8,6,13,9,17,5,15,43,7,6,11,10,6,4,6,10,5,3,36,0,11,113,321,55,42,36,22,30,17,15,16,6,7,238,9,11,6,7,4,12,9,7,6,11,183,10,7,11,7,4,5,7,12,7,7,136,5,8,4,8,3,11,7,12,7,7,134,13,4,6,8,12,7,7,4,7,4,111,7,5,3,5,5,6,7,5,2,4,88,4,3,3,5,3,3,9,2,2,5,54,3,4,4,3,2,4,3,1,1,1,36,0,1
