fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,130.05446643886012,153.50547438083098,91.16379587675128,197.06468247639424,415.6266684776557,408.08594983932045,246.77576876121475,143.74324372501624,83.18780153573537,110.32154132134592,105.6405887484055,0.6598754619638745,31.097089787015474,0.6829745507578031,0,0,0,0.7564891725407611,0.77856658138799,0,0.8521599023144949,39.07793719832987,0,0,0,0.9033955011405911,0,0,0.8401113689912821,0,0.7315127533018664,0.6986709193748988,33.27663195199945,0,0.7744154562502578,0.733565258221344,0.7031808984133595,0,32.41788015968979,33.07584042623313,11.897521787605022,0,93.79206727282853,35.848547620108796,0.8205984244509951,40.57688902895222,0,0,76.16067998313657,0.9873212161257063,0,0,127.68206939359702,18.366738458706692,0,66.11541348357785,26.80491782219365,0,144.83854753186003,0,2.0361577728199927,2.211866819205474,0,0,0,3.309400734558064,0,62.051163356348845,3.844744971030692,3.6616618771720875,0,4.554750139896988,5.4241215358939225,5.658931991993226,6.31504004903592,6.602087323992097,0,0,0,0,0,209.9301040654045,213.92877271426937,17.665044461492368,0,0,0,0,32.68033225376088,31.88325097927891,0,0,0,0,0,69.86935932447624,123.12933731827458,0,0,0,0,1.550668197094229,0,0,1.8437422992248733,1.738315545412813,0,241.83066342626157,0,0,1.8308309385860437,0,0,1.6505218309980243,0,0,0,67.37123697991396,116.97287045236087,0,1.5902838079688995,1.4973806301837744,1.467130516442688,0,65.46933452445495,65.89864163609072,24.153248532256217,0,193.43910153027542,22.94435253830264,78.00421357958992,1.6505218309980243,86.13893871003286,0,0,163.3005171717329,0,0,0,176.7077845914154,1.3936175801177348,40.473011054050964,0,55.60029983910465,65.29802655522757,0,329.09798414731495,0,4.446303707994678,4.719181552889658,0,61.97045950362076,0,0,7.066017784596948,0,0,8.273501836395159,8.221467233650536,0,9.978727405728511,13.338911123984031,108.04722973511242,12.942705843073615,13.906524363302504,15.025440116671668,0,0,0,0,0,394.0793181578647,0,1.3616805105733703,36.31148028195654,0,0,0,0,0,0,0,0,0,0,0,0,182.07318822002196,495.5952291891889,1.3098329560625603,0,0,0,0,1.4333479058667056,0,0,28.39762469658443,0,355.8564720751416,0,0,0,0,0,0,0,1.468778977697118,1.3462546757471012,0,214.8025304550912,0,0,0,0,0,0,0,0,0,0,165.77651396576073,0,0,0,0,0,0,1.780944536989694,0,0,2.0018580247326727,107.72276357975176,0,0,2.573254508170148,0,0,0,0,0,0,0,59.52345221818657,0,0,0,0,103.51392228109809,0,0,0,0,0,20.837218121519744,0,0,0,0,0,0,0,0,0,387.2848471551428,0,0,0,0,0,0,108.9344408458696,68.80069948160187,0,0,0,61.46509388075739,0,0
1999,152.7136787461884,175.91045806579803,112.26934553152046,206.0221680435031,401.8152785973632,189.06095772159014,149.889400591933,323.7590090475186,31.29074057966944,180.82365615156806,30.921670306165645,52.52076174532553,11.525151942020667,0.6822616336902064,31.835932997372232,12.68352407396854,0.7534370548417496,34.773504669563444,0,36.36746507661219,101.9840326422275,39.85278063253338,14.856164771824261,0,15.752118607993186,15.523511496197848,0.898428378110265,0,0,0,131.74899643066328,0,0.7081328765712002,0.7327428756448628,0.7684969371842653,132.46588939794017,0.7444267028191546,12.254512348607904,31.819133032729823,0,0.7319223349106581,58.32793540171923,0.7499789386978976,0,0,0.84281965838197,0,105.0422239730896,14.758555279236719,248.53467890962278,0,0.9888148942136425,85.5445475486264,1.058472299716952,18.955714037973237,1.134733758811142,392.7811459164619,27.765786322618396,0,148.8451463570844,2.074941730397516,0,39.616439391531365,0,2.817270021875938,3.075795976824554,3.449111583510384,0,0,0,3.9138122459593876,0,0,98.51982953946617,6.166100425237903,6.602087323992097,0,0,8.119337205903326,0,0,0,0,0,0,20.110973694622082,0,0,0,0,0,0,0,0,0,1.6218527173082327,26.30271795667246,0,1.4476337653936162,0,1.5488309125005164,26.709299803802953,0,1.729118108664597,219.82915630930347,85.28607793072563,30.15103508053461,69.38694717724167,0,33.17949946085419,1.8437422992248738,0,0,0,0,1.5433450887254256,0,1.4687789776971185,118.38838373616284,0,1.497380630183775,198.44183691467913,1.502544011667167,1.4787480657810355,24.1014175268222,0,1.4573169343929047,117.61206646576174,0,177.26597532972434,0,0,1.6889060596258854,0,220.73256380098553,1.8308309385860442,432.1156679622599,0,0,99.82989585599834,23.229080801446003,2.196997126303253,41.67443624303949,2.475782746497037,275.9360020927487,3.9492848645028262,0,339.4796240257792,4.841530704260872,0,0,65.611814033757355,0,0,7.2221728737593125,7.469790229431059,0,0,0,9.015264070003003,0,0,63.00653824140335,244.1578384238944,14.524592112782617,0,0,0,16.138435680869573,0,0,0,0,61.52781336430918,0,0,42.16817065001405,0,0,0,0,0,0,0,23.92174774760201,0,0,323.8372615560124,632.4902189677019,1.3504269526347474,22.666519813318153,25.238787792132904,0,1.4638446698213161,0,24.90301677937726,0,0,0,169.08160710883467,0,0,1.7712917210710508,1.8206313233292972,0,0,0,197.46908281215622,0,0,62.67906143141685,1.4412494929993775,0,1.552509845784365,0,1.3774639516864442,1.3574385152133288,0,0,0,1.434921284468096,279.3257654457238,0,0,0,0,0,1.6178382303842023,1.7736951019680265,0,1.8835926371043739,1.9987970797407268,1.3616805105733703,0,0,0,220.9754431543573,2.734755837134802,0,0,0,0,74.13373311880623,163.42268922385335,0,5.008480038890557,0,0,0,0,0,0,0,0,0,0,0,12.4496503823851,0,0,0,0,0,0,0,1.2228375024793596,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,84.5115247226859,85.42070579921703,69.49545328253409,232.42133695603488,35.93400303755841,240.73183024695987,342.75095977194405,0.6990445401873987,56.87898563222621,0,0,11.729776049607459,80.00733444623607,0.6826179060837783,0,12.044247257371735,0,0,0.7653473595728545,13.330873077150319,13.663334023721585,14.298231148948622,0.8814654687460792,0,0,15.953495124288557,0.9077870070489136,0.8922957611948364,0,0.9304009182565377,0,13.580726200119884,0.7461263071634906,0,0,36.41138713588345,0,0.7556146185840668,0.7222172873759312,0,0,0.7482617573843364,0,0,0,0.8154792826889804,0.8594433202829951,42.55275730206281,0.8594433202829951,0,44.46700375886653,1.023659585082565,17.199480195251365,1.06104974849873,1.081235144872155,19.65224946194076,1.1527454057763984,0,0,76.42237908367935,0,0,0,2.4162907396496034,0,0,0,0,3.4766310908256264,67.65819618975387,0,0,4.7022060796778264,5.126326628040924,6.05191338032609,0,0,126.90689906778694,0,8.832522230746187,0,0,0,15.025440116671671,0,0,0,0,0,25.631633140204613,0,0,0,0,0,186.06786555972224,1.596109023382705,0,0,0,0,0,0,27.426765732598643,0,30.855111449173467,0,26.210643098014334,0,0,1.9598400152180444,1.8385559636433693,1.7383155454128132,0,0,0,0,1.5008189324344838,124.41045181060346,0,0,1.5342878992376003,0,1.5235586132289456,0,0,0,1.4854696478982221,0,0,0,0,1.764120499528253,1.7155030054467657,90.53642206760212,0,0,94.95631038901261,2.2538160175007507,36.11337803054386,1.4412494929993775,2.204406897386906,2.246070945275662,42.9493711950254,2.5042400194452785,0,0,182.16693987016015,0,0,0,0,5.249852570885282,0,0,0,0,7.343894888485592,171.46962698471975,0,0,0,0,11.269080087503754,0,0,0,0,0,17.429510535339137,0,0,0,1.3876998833868743,27.81304872660501,0,0,0,0,0,43.57377633834785,0,0,0,23.398459515623216,0,0,119.43955695468591,26.149617153665062,1.3111467303414601,0,22.991321530192717,0,0,1.4888534056383091,0,24.986119171299535,0,1.6505218309980243,330.32163546231646,0,0,1.764120499528253,0,0,0,1.780944536989694,0,27.49390591799056,0,365.67841291798004,0,0,27.938459123132198,0,0,1.389174591020654,0,0,0,0,1.3745670769194906,0,0,0,0,0,1.6505218309980243,0,0,0,0,61.21548943860204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.773243558056615,0,0,10.212603829300278,0,0,222.40119935641863,0,0,0,0,0,1.3434874513365216,0,0,0,0,0,0,0,0,0,0,57.208023811217274,0,0
2001,71.1916346918369,75.55039945966335,54.2035923274965,133.4339714154647,227.654380488533,238.6336446259812,13.10532154900717,120.84863820418809,0,0.6986709193748988,0,12.188020149212312,0,0,0.6931141517234546,12.188020149212312,0,0,0,0,0,0.8034500861404027,37.89896737713576,0,40.522350199612234,0,0.9244789887909727,0.9040202559823205,0,71.93518771134492,0,0,0.7908126377195617,12.887275464715023,0,0,0.8089191151921011,0.8000081335069984,0,12.48611513896514,0.713934074358512,0,13.082423491554037,0,0,0,0,0,15.631538716073964,0,0.870894930146859,0.9740784576381784,46.9239354840646,0,88.42649204286936,18.955714037973237,54.07825748611929,54.66659754943155,0,1.6258871768040246,0,1.8808824318711301,2.1606831242155957,0,0,0,2.9845052286539624,3.458236217329194,0,0,0,4.342901296180848,0,0,0,0,0,0,0,0,0,0,14.056056883338014,0,0,0,0,0,0,0,29.709392957964443,0,0,0,0,0,1.4540748500004845,0,0,0,0,0,0,0,0,1.7383155454128132,81.2631497264461,70.60568746724005,0,29.751683622514285,0,1.9223724855153461,0,0,1.7314083313250799,0,0,0,0,26.119210622091025,0,0,1.5922208162611882,1.6238674411806648,0,25.818989810342853,1.4589434041857539,0,26.426495452939157,121.18810902722072,0,0,0,0,0,1.9252036673791388,0,1.835973722121398,2.0651078833340217,101.85347482605238,0,0,187.48264950552615,0,43.28038754334929,116.85514941283529,0,3.9021292243296584,0,4.230463722169694,5.086433035604807,1.43807842700818,0,0,0,0,8.379572372759203,0,0,0,9.903130985988149,0,0,0,0,0,0,0,0,0,0,0,25.63163314020462,1.4804227521522486,0,0,0,0,0,0,0,48.41530704260872,0,0,0,0,0,261.45415401455017,380.62880107042787,0,1.317755332812939,23.870904500529523,0,0,0,0,0,0,0,252.70885935893085,0,1.7833742021151917,0,0,1.8005692701796634,0,81.37281659517274,0,0,1.6059131328629432,26.364461426054326,0,0,0,0,0,0,0,0,0,0,24.283806632430576,0,0,0,0,0,1.724555791755192,0,0,0,0,0,0,0,36.171531618354734,2.1933108895141533,0,0,0,0,0,0,0,0,0,0,5.292361498584759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3616805105733703,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,56.73187974076108,58.52785716189454,43.645820316727736,95.06476199098493,171.0018710411626,33.932052389996066,129.03332218150356,0.7657957177214033,33.72329815269743,32.05595805264381,12.024904247857753,11.96724620937575,0.7054577928496683,0.6898223167020767,0,0,12.294757052544217,0,0,0.774415456250258,0.7753340985471149,0,0.800498034384835,13.960547628961018,0,14.501304799869779,0,0,0,0.8527157796154178,0,15.136469767519062,0,0,0.743157072285637,0,0,37.060391577764605,13.67165011259786,0.7644522164622428,0.7222172873759312,12.207891921194719,12.939240285137263,35.282186715636634,0.7418917651251051,0.7680454113692337,0,0,0,0.9084178527800107,0,0,0,1.022058866419418,1.0164955599925627,0,1.1172763163678936,0,0,0,0,29.362772725487954,1.9510646121648292,0,0,0,2.8920648012177774,0,0,0,0,0,0,0,5.106301914650138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12412595596275,0,0,0,1.5469979765093913,27.66320336822449,0,0,0,0,0,0,0,1.6000162670139964,0,1.736007025432185,1.4687789776971187,29.91014798268746,0,28.578271164119954,0,0,0,0,0,31.592856729955393,0,1.5342878992376003,0,1.5253363945746037,0,0,73.80325226073806,1.6158384303466444,0,1.5008189324344838,25.041829581937883,25.381379813557384,1.518250046632329,26.488822093158355,1.4922526143269812,0,0,0,0,1.9139286825042978,0,0,0,1.4922526143269812,2.234552632735787,2.15356390469594,0,2.36814001838847,0,0,0,0,70.41542675548051,4.300043717600117,0,0,0,0,6.0240243785734355,0,0,0,0,0,0,24.765734437704833,0,11.367072088264655,0,0,0,0,0,0,0,0,1.4040959077877933,0,0,0,0,0,0,0,0,0,0,0,0,0,126.60593037196706,194.60721204676258,1.3490333231686638,0,0,24.101417526822193,0,0,1.539709411249041,0,0,0,25.324150095826703,0,0,0,0,0,0,1.7980925586663488,0,0,0,190.46663306704426,0,0,0,0,0,1.5674020265592752,1.4956673800348232,0,0,0,0,1.518250046632329,0,1.465485751289726,0,0,0,0,0,0,0,24.629957384866543,0,0,0,0,0,0,0,0,0,0,63.40405583283176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3818322306029973,0,0,0,0,0,0,0,0,87.1475526766957,0,1.3476425671653975,0,0
2003,71.22631981034209,77.95658237951406,52.27143539539043,13.029304602667219,95.57222513328553,97.2448832677848,232.68470391009265,202.62886174631595,35.53167772364348,90.88255587970637,57.18121191082465,0,11.98640402081018,0,0,11.327544697427275,0,0,0,0,0,0.7617793066144728,0,0.7922504788790518,36.63259847935783,0,13.900074959776164,0.8749754284808804,39.20497860664694,38.926570107826336,0.8305039962836311,14.32558745854482,0.8685802592361697,0,0,0,0,0.7657957177214032,13.730147393030732,13.763799715072478,0,59.129143305589004,0,0,0,0.7298790006423425,0,0,0,0.846640731962717,41.815018791278085,0.8510503191083563,40.0380193207324,0,0,47.29196635060626,19.019916287043422,1.138687534974247,1.1981790010544777,0,0,0,0,0,0,2.558147338846253,0,0,0,0,0,4.1237012307584715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.124125955962747,0,0,0,0,0,1.5042730611627564,1.5415251063094757,0,0,1.386228303446909,0,0,0,0,0,1.5864238958136352,0,1.6059131328629426,0,29.210040487644058,0,27.39331845731498,1.7593718575375978,80.93591556647382,28.909293610036396,0,28.397624696584423,1.8130558809298687,25.46771103741302,0,0,0,0,0,27.460294786061464,27.7657863226184,0,123.8377915030748,0,0,0,0,1.4770771640117915,0,0,0,0,87.38732912612029,1.7546487116113225,84.21404622489246,70.85459118334077,0,0,37.12813410743518,40.99000207116475,2.4073909579197696,2.6355106656258775,0,0,0,0,69.4668860564781,0,0,0,0,0,0,0,0,8.48839798798984,0,1.404095907787793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4672204229348,0,0,0,1.404095907787793,0,0,1.5289044329244856,128.4189031219236,0,0,1.25693585591388,0,0,0,0,0,0,0,127.65722516746378,1.468778977697118,1.4905510720073378,0,0,0,0,1.693281463925434,1.7429510535339139,0,0,317.602569091174,0,0,0,0,1.4905510720073378,0,0,0,0,0,405.73505885599184,0,0,0,0,0,0,1.654700367279032,0,0,0,0,0,0,1.9510646121648287,0,0,0,0,0,0,0,24.820465342539535,0,0,4.7191815528896575,0,0,0,0,0,0,0,63.40405583283175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386228303446909,0,0
2004,68.31739038365616,75.00102932023553,49.7993563513014,90.17054928635669,63.191450860934815,95.85649707002938,64.32459104373699,124.70038762902277,13.36259436942194,130.80512302339878,0.7504094662172417,118.30376947310633,12.135343670987725,0.7031808984133593,0,0.6960667146700933,0.6595425278256484,0,0,0,0,13.20547979717712,0.7640054296612713,0,0,206.022168043503,0,0,14.426795847783094,0,0.8200836199187169,0.8129435884020118,37.756579271773944,0,0,0.7595661186231464,0,0,0,0,0,0,0.7162812548769507,0.7054577928496681,0,12.999144175346224,0,0,0.7804258448659313,0,0,152.04620476349268,0,0,0,0,47.14406340658561,1.1172763163678932,19.89594431797899,0,0,0,0,0,2.039334306006919,0,0,0,0,3.268033225376088,0,0,0,0,0,0,450.2721373061588,0,6.669455561992015,0,0,9.2057273954256,10.98498563151626,0,0,0,0,0,0,0,0,0,0,0,0,26.14961715366505,1.5289044329244856,1.4025893671142011,0,1.4255324865326446,0,0,0,0,0,1.5636522609454964,0,70.44072090773713,0,0,354.54243806258734,0,0,28.798104019228564,0,1.6238674411806646,1.5469979765093906,27.90375296273078,1.5980602569076223,0,0,0,0,0,0,0,0,0,1.5147315065474332,25.700825097252036,0,0,26.333553499411813,0,0,1.5902838079688992,0,0,315.24975692689634,0,1.5636522609454964,0,0,0,37.3131580315586,2.44796496282853,2.457167838628637,0,0,0,0,26.80491782219365,0,4.357377633834784,0,0,0,0,0,0,0,0,1.5342878992376,0,0,0,528.9233078686226,0,0,0,0,0,0,65.46933452445494,0,0,0,0,0,0,0,0,0,0,1.4556940870272106,0,0,64.97549256144718,71.10525601064033,0,0,0,1.2642294875729545,0,0,0,0,1.511229237168133,1.4540748500004839,27.227298345452457,0,0,1.48378353025021,0,0,0,0,0,0,1.6505218309980243,70.52310771581637,0,0,1.5451693737002778,0,0,0,0,0,0,0,121.87433841016079,1.3818322306029969,0,0,0,0,0,0,0,0,0,1.5469979765093906,0,0,0,1.930891122821913,0,2.189637001927027,0,0,0,0,128.5723307242198,0,0,0,0,0,0,5.6103574684568045,0,0,0,0,0,0,0,10.457706321203482,0,11.776696307661577,0,0,16.547003672790318,21.786888169173924,64.76611933085177,0,0,0,0,0,0,0,0,0,0,1.3716823611232267,0,0
2005,70.20286017608844,76.0348754655711,52.36273982267429,33.89390505734851,60.22106369119865,166.13925859449446,130.33823977643843,13.267880174245883,161.26685940627178,0.78938000612949,13.663334023721584,0.7653473595728545,189.58121352159446,12.294757052544215,0.7104420055165409,0,0,0,0,0.7112150653702042,0.6986709193748986,0,0.774415456250258,0.76985470562452,0.7804258448659316,0.8000081335069982,131.4328620661026,0,0,0,0,0,0,37.568384484126476,0.8703151066247905,0,0,0.742734823949111,0,0.7922504788790516,0.8049342919645537,14.234804268059746,0,0.714714756779899,0.7050772870282822,0.7491193639830573,0,12.389697261444173,13.067202521814007,13.307180767179078,0.8119337205903324,0.838494733900215,41.960512941560886,14.700602837040762,0,0.9541702847813398,0,1.038294908777153,19.600803782721012,0,1.2497258988053874,0,1.6910909316305758,0,0,0,0,0,49.25991476973307,3.149911542531169,0,0,0,0,0,0,0,5.809836845113046,0,0,0,0,0,11.77669630766158,0,0,0,0,0,0,0,0,0,0,0,1.4939580458862116,26.119210622091025,1.4720870384576974,0,0,0,0,0,0,0,0,1.5749557712655844,1.5655248983837546,1.6178382303842023,1.625887176804024,0,271.49762213654645,0,0,0,0,0,0,70.11308964770116,74.90342496524596,0,0,0,1.5415251063094757,0,0,1.625887176804024,28.254743566035575,0,1.5922208162611877,1.5164887356733587,0,0,0,25.52559219886168,28.290328885388263,1.5902838079688995,0,0,87.13476459107369,1.5217849710715197,1.7931595200966188,0,1.9686947140819808,0,2.2118668192054742,2.528458975145909,0,2.86042295437732,0,3.867494941273477,1.5941625489639455,0,0,0,0,0,104.96505203270225,6.345695583254539,0,0,0,1.5961090233827049,0,0,0,0,11.992782478444362,0,0,0,0,0,0,23.76751436637155,0,0,0,0,0,0,0,0,0,119.17501751514062,0,0,24.84792160951137,24.231414385111414,1.3921334293401866,1.4317779738778043,0,0,0,0,1.367377918567401,1.344869640072464,0,0,256.8564842487608,0,0,1.4973806301837744,0,0,0,0,0,0,0,73.44367490502192,0,1.6526084578387297,0,0,0,0,1.550668197094229,0,0,0,1.4990978098055452,0,1.3847598412610544,1.5042730611627564,0,0,0,1.5094841687649365,1.518250046632329,1.6198429865556818,0,248.9756603002193,1.6360616898002946,0,0,0,0,2.0782405248814553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5845009577581033,0,0,0,0,0,0,0,0,0,0,1.4922526143269808,0,0,0,0,0,0,0,0,0,0,117.74074487546169,0,0
2006,34.1108660061331,39.386035875647416,20.833373824664925,12.755548628619128,90.22103671596835,34.10478342591799,13.466739289567315,13.507228583883514,13.029304602667219,0,0,66.55228250845516,36.27993808485139,0.7385385820058957,12.472249380898544,0,0,0,0.6605423396414529,0,0,0.7062200378986686,0,0.7841711398622888,0,0,0.8059268126698123,36.6548675361842,0,0,0.7936935580755528,0,13.663334023721584,0,0,0,0,0,0.7508404883115654,0,0.823700875961207,0,0,0,0,0.7154971484129367,0,0,0,0,13.275721710991894,14.100766563087435,0.8460927444339389,0.913496359294504,0,0,0,0,0,1.1486935765821051,0,0,0,0,0,0,0,0,2.8920648012177774,0,0,0,0,0,0,0,0,0,0,0,0,0,10.055486847311041,10.293018032680592,0,0,0,0,0,0,0,0,0,0,0,1.5506681970942293,25.097788977651717,1.482101235998226,0,0,0,0,1.3745670769194906,0,0,1.4573169343929047,0,1.537897988412277,0,0,0,1.699887243368577,28.04309754681434,0,0,1.5845009577581035,0,27.161452400239767,1.6258871768040242,0,0,0,0,0,1.5580611324796612,0,1.6737686173501094,0,0,0,0,0,0,0,0,0,0,27.697313360047207,30.070309417668383,0,27.09592416766983,1.8808824318711301,0,0,0,0,0,2.5531509573250695,0,0,0,0,0,0,0,0,0,6.439474335716431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4114547908512,28.078151418747858,21.786888169173924,0,0,0,0,0,0,0,0,0,1.596109023382705,0,0,1.4239796189002565,67.67368922224803,0,24.362821187633713,0,0,0,0,0,0,0,0,24.468977271239964,1.554355874138449,0,0,0,1.548830912500516,0,0,0,0,0,1.5129783450815224,0,0,0,0,0,0,0,0,0,0,27.66320336822449,0,0,1.4071187192146777,0,0,0,0,0,0,1.6158384303466444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.49390591799056,0,0,0,0,0,0,0,0,0,0,26.64593254448195,0,0
2007,45.923291349295155,40.54669308951066,41.00892966833794,60.42394206410554,62.241203479567375,34.29878105632707,12.887275464715017,36.36746507661218,13.688312696525461,35.364960174207035,36.477469508180874,13.934566460917045,135.49695798651388,13.539795741409451,12.66921665820546,0.7254235794397531,0,0,0,11.338980885915337,0,0,0,0,13.260047895512564,0,0.7689489942061384,0,0,0,0.7348022991289686,0.7753340985471145,0,0,0,0,0.8802783098656128,0,0,12.93179109671749,0.7730415672090095,0.8289240901397812,0.8216299749531334,0,0.8094199939011982,12.486115138965134,0,0,0,0,0,35.63667677129019,37.99449092440012,0,0,0,0,0,0,0,0,0,0,0,1.7499508569617606,1.8621271939464887,0,0,2.593677162996895,0,0,0,0,4.110733616825268,0,0,0,0,0,0,0,0,0,0,11.172763163678933,0,0,0,0,0,0,0,0,0,0,1.530694719145709,1.5845009577581028,0,0,1.4871596019913937,0,0,0,23.42285832637985,0,0,0,25.67145272571232,0,1.561784098148668,0,1.5787600122589796,0,0,0,0,0,0,1.56928366164518,0,0,0,1.8594783643676176,0,0,27.030711353788544,1.644293446730107,1.6802227379825643,1.6759144745518397,0,0,1.6505218309980243,26.614361534358153,0,0,0,0,0,27.52759943014495,80.93591556647382,1.552509845784365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.376650195855781,0,0,0,0,0,9.271016242201668,0,0,0,0,0,0,0,0,0,1.6319766418856867,0,23.343094466972055,0,0,0,0,0,0,0,0,28.254743566035568,0,0,65.04558478643257,66.70050563829977,26.614361534358153,25.295631908781843,0,0,0,0,0,0,0,0,1.4804227521522482,0,1.5253363945746035,0,0,0,0,0,1.5200154536632968,1.582582675726919,0,1.436498121044434,0,0,0,0,0,0,0,0,0,0,70.3585263675881,0,0,0,0,0,0,0,0,1.4922526143269805,0,1.6360616898002942,0,0,0,0,0,0,0,0,0,0,68.05559491763317,0,3.0685757984752007,3.172847791627269,0,0,0,0,0,0,0,71.95376741888185,0,0,0,0,0,0,0,0,0,0,1.6118536253396238,0,0,0,0,0,0,0,0,0,0,130.91854113889536,0,0
