fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
1998,153.57389853952242,190.904462922111,119.18718249316139,457.6659038901603,760.8695652173915,747.0651013874067,515.4639175257734,358.79036391594065,258.1311306143521,302.1148036253777,289.29604628736746,50.47955577990915,154.7189272821042,52.24660397074191,0,0,0,57.87037037037038,59.55926146515784,0,65.18904823989571,194.4264419961115,0,0,0,69.10850034554251,0,0,64.26735218508998,0,55.959709009513155,53.4473543559594,165.56291390728478,0,59.241706161137444,56.116722783389456,53.792361484669186,0,161.2903225806452,164.56390565002744,105.93220338983053,0,291.03608847497094,178.35909631391203,62.77463904582549,201.88425302826383,0,0,283.0856334041048,75.52870090634443,0,0,396.19651347068157,163.53229762878172,0,328.9473684210527,238.66348448687353,0,538.3580080753702,0,155.76323987538942,169.2047377326565,0,0,0,253.16455696202533,0,552.4861878453039,294.1176470588236,280.1120448179272,0,348.432055749129,414.93775933609965,432.900432900433,483.0917874396136,505.0505050505051,0,0,0,0,0,1869.158878504673,1904.7619047619053,1351.3513513513517,0,0,0,0,2500.0000000000005,2439.024390243903,0,0,0,NA,0,347.6245654692932,457.6659038901603,0,0,0,0,118.62396204033216,0,0,141.04372355430186,132.97872340425533,0,662.2516556291391,0,0,140.0560224089636,0,0,126.26262626262627,0,0,0,335.195530726257,434.78260869565224,0,121.65450121654504,114.5475372279496,112.23344556677891,0,325.7328990228014,327.8688524590164,215.05376344086025,0,600.2400960384155,204.29009193054142,388.09831824062104,126.26262626262627,428.57142857142867,0,0,606.980273141123,0,0,0,656.8144499178982,106.60980810234544,360.36036036036046,0,495.0495049504951,581.3953488372093,0,1223.2415902140674,0,340.1360544217688,361.0108303249098,0,308.32476875642345,0,0,540.5405405405406,0,0,632.9113924050633,628.9308176100631,0,763.3587786259542,1020.4081632653063,401.6064257028113,990.0990099009902,1063.8297872340427,1149.425287356322,0,0,0,0,0,3508.7719298245624,0,104.16666666666669,2777.7777777777783,0,0,0,0,0,0,0,0,0,0,NA,0,564.9717514124295,1035.1966873706006,100.20040080160322,0,0,0,0,109.64912280701758,0,0,252.8445006321113,0,826.4462809917355,0,0,0,0,0,0,0,112.35955056179776,102.98661174047376,0,588.2352941176472,0,0,0,0,0,0,0,0,0,0,514.40329218107,0,0,0,0,0,0,136.23978201634878,0,0,153.13935681470142,400.4004004004005,0,0,196.85039370078744,0,0,0,0,0,0,0,296.1500493583416,0,0,0,0,921.6589861751154,0,0,0,0,0,185.52875695732843,0,0,0,0,0,0,0,0,0,3448.275862068966,0,0,0,0,0,0,8333.333333333334,5263.157894736843,0,0,0,305.81039755351685,NA,0
1999,178.12973952342665,215.7451668852321,143.23555381143927,478.4688995215312,755.3747821034284,439.0779363336994,374.13148049171576,627.2869837950865,155.6824078879087,419.94750656167986,153.8461538461539,195.21717911176188,102.61672652642382,52.19206680584553,158.39493136219647,112.93054771315644,57.63688760806919,173.01038062283743,0,180.9408926417371,316.4556962025317,198.28155981493725,132.2751322751323,0,140.25245441795235,138.21700069108505,68.72852233676979,0,0,0,360.7937462417319,0,54.17118093174433,56.05381165919284,58.788947677836575,362.7569528415962,56.9476082004556,109.11074740861979,158.31134564643804,0,55.991041433370675,216.80216802168027,57.372346528973054,0,0,64.47453255963896,0,325.9452411994786,131.40604467805522,577.2005772005774,0,75.64296520423603,317.96502384737687,80.97165991902837,168.77637130801693,86.80555555555557,912.2006841505133,247.21878862793574,0,553.2503457814663,158.73015873015876,0,352.73368606701945,0,215.51724137931038,235.2941176470589,263.8522427440634,0,0,0,299.4011976047905,0,0,877.1929824561406,471.69811320754735,505.0505050505052,0,0,621.1180124223605,0,0,0,0,0,0,1538.4615384615388,0,0,0,0,0,0,0,NA,0,124.06947890818863,234.19203747072604,0,110.74197120708753,0,118.48341232227493,237.8121284185494,0,132.2751322751323,682.1282401091407,424.3281471004245,268.45637583892625,345.22439585730734,0,295.42097488921723,141.04372355430186,0,0,0,0,118.06375442739083,0,112.35955056179779,440.0440044004402,0,114.54753722794965,615.7635467980298,114.94252873563221,113.1221719457014,214.59227467811166,0,111.48272017837239,437.15846994535525,0,550.0550055005501,0,0,129.19896640826877,0,684.9315068493153,140.05602240896363,1078.5824345146384,0,0,496.6887417218544,206.8252326783868,168.06722689075636,371.05751391465685,189.39393939393943,1025.6410256410259,302.1148036253777,0,1261.8296529968457,370.3703703703705,0,0,326.44178454842233,0,0,552.486187845304,571.4285714285716,0,0,0,689.6551724137934,0,0,313.4796238244515,2173.9130434782614,1111.1111111111115,0,0,0,1234.5679012345684,0,0,0,0,306.1224489795919,0,0,3225.8064516129043,0,0,0,0,0,0,0,212.99254526091593,NA,0,808.3140877598156,1268.7427912341411,103.30578512396698,201.81634712411713,224.71910112359558,0,111.98208286674135,0,221.72949002217302,0,0,0,524.6589716684157,0,0,135.50135501355018,139.27576601671313,0,0,0,612.7450980392159,0,0,311.850311850312,110.25358324145537,0,118.76484560570074,0,105.37407797681774,103.8421599169263,0,0,0,109.76948408342486,697.2111553784863,0,0,0,0,0,123.76237623762381,135.685210312076,0,144.09221902017296,152.90519877675845,104.16666666666669,0,0,0,821.3552361396306,209.20502092050216,0,0,0,0,660.0660066006603,507.0993914807303,0,383.14176245210746,0,0,0,0,0,0,0,0,0,0,0,952.3809523809526,0,0,0,0,0,0,0,93.54536950420956,0,0,0,0,0,0,0,0,0,0,0,NA,0
2000,103.64905648873582,113.71533261734794,94.26181218333926,509.33786078098495,178.78426698450545,527.5498241500587,664.0841173215275,53.47593582887703,211.41649048625797,0,0,104.43864229765015,248.26216484607755,52.219321148825074,0,107.23860589812335,0,0,58.54800936768152,118.6943620178042,121.65450121654506,127.30744748567794,67.43088334457184,0,0,142.0454545454546,69.44444444444447,68.25938566552904,0,71.17437722419932,0,120.91898428053209,57.07762557077628,0,0,181.15942028985512,0,57.8034682080925,55.2486187845304,0,0,57.2409845449342,0,0,0,62.38303181534625,65.74621959237346,211.71489061397324,65.74621959237346,0,221.23893805309743,78.30853563038374,153.13935681470142,81.16883116883119,82.71298593879243,174.9781277340333,88.18342151675489,0,0,380.22813688212943,0,0,0,184.8428835489834,0,0,0,0,265.9574468085107,602.409638554217,0,0,359.7122302158275,392.1568627450982,462.9629629629631,0,0,1129.943502824859,0,675.675675675676,0,0,0,1149.425287356322,0,0,0,0,0,1960.7843137254906,0,0,0,NA,0,577.3672055427254,122.10012210012215,0,0,0,0,0,0,244.2002442002443,0,274.7252747252748,0,233.3722287047842,0,0,149.92503748125944,140.6469760900141,132.97872340425536,0,0,0,0,114.81056257175665,462.42774566474,0,0,117.37089201877937,0,116.55011655011657,0,0,0,113.63636363636367,0,0,0,0,134.95276653171393,131.23359580052497,450.4504504504506,0,0,472.44094488188995,172.41379310344834,321.54340836012864,110.25358324145537,168.6340640809444,171.82130584192444,382.40917782026776,191.57088122605367,0,0,906.3444108761332,0,0,0,0,401.6064257028113,0,0,0,0,561.7977528089889,1526.717557251909,0,0,0,0,862.0689655172417,0,0,0,0,0,1333.3333333333337,0,0,0,106.15711252653932,2127.659574468086,0,0,0,0,0,3333.333333333335,0,0,0,208.33333333333343,NA,0,443.9511653718093,232.8288707799768,100.30090270812441,0,204.70829068577282,0,0,113.8952164009112,0,222.46941045606232,0,126.26262626262627,824.4994110718495,0,0,134.95276653171393,0,0,0,136.2397820163488,0,244.79804161566713,0,849.2569002123146,0,0,248.7562189054727,0,0,106.26992561105212,0,0,0,0,105.1524710830705,0,0,0,0,0,126.26262626262627,0,0,0,0,304.5685279187818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.1409395973157,0,0,781.2500000000003,0,0,1980.1980198019805,0,0,0,0,0,102.77492291880786,0,0,0,0,0,0,0,0,0,0,284.62998102466804,NA,0
2001,88.76694641704327,102.13014298220021,76.23441104030651,365.4080389768576,498.8913525498893,522.9517722254504,116.68611435239212,330.9431880860453,0,53.4473543559594,0,108.51871947911019,0,0,53.02226935312833,108.51871947911019,0,0,0,0,0,61.46281499692687,188.5606536769328,0,201.61290322580652,0,70.72135785007075,69.15629322268329,0,267.3796791443851,0,0,60.4960677555959,114.74469305794611,0,0,61.881188118811906,61.19951040391678,0,111.17287381878826,54.61496450027309,0,116.48223645894004,0,0,0,0,0,139.1788448155881,0,66.62225183211194,74.5156482861401,233.46303501945533,0,328.6770747740346,168.77637130801693,269.05829596412565,271.985494106981,0,124.37810945273638,0,143.88489208633098,165.28925619834718,0,0,0,228.3105022831051,264.5502645502646,0,0,0,332.2259136212625,0,0,0,0,0,0,0,0,0,0,1075.2688172043013,0,0,0,0,0,0,0,2272.7272727272734,0,0,NA,0,0,111.23470522803119,0,0,0,0,0,0,0,0,132.97872340425536,404.31266846361194,351.2880562060891,0,264.9006622516557,0,147.0588235294118,0,0,132.45033112582786,0,0,0,0,232.55813953488376,0,0,121.80267965895253,124.22360248447208,0,229.88505747126442,111.60714285714289,0,235.2941176470589,450.45045045045055,0,0,0,0,0,147.27540500736382,0,140.44943820224722,157.97788309636658,506.75675675675694,0,0,696.8641114982581,0,385.3564547206166,581.3953488372094,0,298.50746268656724,0,323.6245954692557,389.10505836575885,110.01100110011005,0,0,0,0,641.0256410256412,0,0,0,757.575757575758,0,0,0,0,0,0,0,0,0,0,0,1960.7843137254908,113.25028312570787,0,0,0,0,0,0,0,3703.703703703705,0,0,0,NA,0,715.9904534606208,883.9779005524866,0,100.80645161290326,212.53985122210418,0,0,0,0,0,0,0,692.0415224913497,0,136.42564802182815,0,0,137.74104683195597,0,404.8582995951418,0,0,122.85012285012291,234.74178403755877,0,0,0,0,0,0,0,0,0,0,216.21621621621625,0,0,0,0,0,131.9261213720317,0,0,0,0,0,0,0,322.06119162640914,167.7852348993289,0,0,0,0,0,0,0,0,0,0,404.8582995951418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.16666666666671,0,0,0,0,0,0,0,0,0,0,0,NA,0
2002,72.37970592026336,81.93363375665713,63.4164152430002,294.9852507374633,426.829268292683,168.8238604389421,353.3568904593641,58.58230814294085,167.7852348993289,159.48963317384374,107.06638115631695,106.55301012253598,53.966540744738275,52.77044854881269,0,0,109.46907498631639,0,0,59.24170616113746,59.3119810201661,0,61.23698714023272,124.30080795525173,0,129.1155584247902,0,0,0,65.23157208088716,0,134.77088948787068,0,0,56.85048322910747,0,0,184.38844499078064,121.72854534388317,58.479532163742704,55.2486187845304,108.69565217391306,115.20737327188944,175.54125219426572,56.753688989784344,58.75440658049356,0,0,0,69.49270326615708,0,0,0,78.18608287724788,77.7604976671851,0,85.4700854700855,0,0,0,0,261.4379084967321,149.25373134328362,0,0,0,221.2389380530974,0,0,0,0,0,0,0,390.6250000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380.9523809523816,0,NA,0,118.34319526627223,246.3054187192119,0,0,0,0,0,0,0,122.39902080783355,0,132.80212483399737,112.3595505617978,266.3115845539282,0,254.45292620865146,0,0,0,0,0,281.2939521800282,0,117.37089201877937,0,116.6861143523921,0,0,367.19706242350065,123.6093943139679,0,114.81056257175662,222.96544035674475,225.9887005649718,116.14401858304299,235.84905660377368,114.15525114155255,0,0,0,0,146.4128843338214,0,0,0,114.15525114155255,170.940170940171,164.7446457990116,0,181.15942028985512,0,0,0,0,626.959247648903,328.9473684210527,0,0,0,0,460.82949308755775,0,0,0,0,0,0,220.50716648291075,0,869.5652173913045,0,0,0,0,0,0,0,0,107.41138560687438,0,0,0,0,0,0,0,0,0,0,0,NA,0,470.5882352941178,603.8647342995171,103.19917440660475,0,0,214.59227467811164,0,0,117.78563015312137,0,0,0,225.479143179256,0,0,0,0,0,0,137.55158184319123,0,0,0,591.0165484633571,0,0,0,0,0,119.90407673860915,114.41647597254008,0,0,0,0,116.14401858304299,0,112.10762331838569,0,0,0,0,0,0,0,219.29824561403515,0,0,0,0,0,0,0,0,0,0,315.4574132492114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.70824524312899,0,0,0,0,0,0,0,0,6666.66666666667,0,103.09278350515469,NA,0
2003,88.4671845075489,104.3883245673907,73.51693717129449,116.00928074245944,296.5599051008304,301.75015087507546,509.91501416430606,470.5882352941177,176.78255745433117,282.0078962210942,212.53985122210418,0,106.72358591248667,0,0,100.85728693898137,0,0,0,0,0,58.275058275058285,0,60.60606060606063,182.26002430133659,0,123.76237623762378,66.93440428380188,195.0585175552666,193.6733376371853,63.53240152477765,127.55102040816328,66.4451827242525,0,0,0,0,58.582308142940846,122.24938875305624,122.54901960784316,0,219.78021978021982,0,0,0,55.834729201563384,0,0,0,64.76683937823836,208.0443828016644,65.10416666666667,199.20318725099605,0,0,235.2941176470588,169.34801016088065,87.10801393728225,91.65902841429882,0,0,0,0,0,0,195.69471624266149,0,0,0,0,0,315.4574132492114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380.9523809523816,0,0,0,NA,0,115.07479861910244,117.92452830188684,0,0,106.04453870625663,0,0,0,0,0,121.35922330097091,0,122.85012285012287,0,260.07802340702216,0,243.90243902439028,134.58950201884255,402.6845637583893,257.40025740025743,0,252.84450063211128,138.6962552011096,226.75736961451253,0,0,0,0,0,244.49877750611248,247.2187886279358,0,460.29919447640975,0,0,0,0,112.9943502824859,0,0,0,0,434.78260869565224,134.2281879194631,418.9944134078213,352.5264394829613,0,0,330.5785123966943,364.96350364963513,184.1620626151013,201.6129032258065,0,0,0,0,345.62211981566827,0,0,0,0,0,0,0,0,649.3506493506495,0,107.41138560687435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4166.666666666667,0,0,0,107.41138560687435,NA,0,116.95906432748541,477.32696897374706,0,0,96.15384615384616,0,0,0,0,0,0,0,474.49584816132864,112.35955056179776,114.02508551881417,0,0,0,0,129.53367875647672,133.33333333333334,0,0,792.7519818799548,0,0,0,0,114.02508551881417,0,0,0,0,0,942.2850412249704,0,0,0,0,0,0,126.58227848101268,0,0,0,0,0,0,149.25373134328362,0,0,0,0,0,0,0,220.99447513812157,0,0,361.01083032490976,0,0,0,0,0,0,0,315.4574132492114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.04453870625663,NA,0
2004,85.07140262669904,100.73875083948958,70.3807971551341,279.79854504756577,234.87962419260134,297.441998810232,239.09145248057385,341.49117814456463,118.97679952409281,358.20895522388054,57.4052812858783,323.9740820734341,108.04970286331712,53.79236148466917,0,53.24813631522897,50.45408678102926,0,0,0,0,117.57789535567315,58.44535359438924,0,0,478.46889952153106,0,0,128.45215157353886,0,62.73525721455457,62.189054726368155,187.8522229179712,0,0,58.105752469494476,0,0,0,0,0,0,54.794520547945204,53.96654074473826,0,115.74074074074073,0,0,59.70149253731342,0,0,416.37751561415683,0,0,0,0,234.55824863174357,85.47008547008546,177.1479185119575,0,0,0,0,0,156.00624024961,0,0,0,0,250,0,0,0,0,0,0,1673.6401673640166,0,510.204081632653,0,0,704.2253521126761,840.3361344537815,0,0,0,0,0,0,0,0,0,0,NA,0,232.8288707799767,116.95906432748541,107.29613733905582,0,109.05125408942203,0,0,0,0,0,119.61722488038276,0,350.46728971962614,0,0,884.9557522123894,0,0,256.4102564102564,0,124.22360248447205,118.34319526627219,248.4472049689441,122.24938875305624,0,0,0,0,0,0,0,0,0,115.87485515643102,228.83295194508008,0,0,234.46658851113713,0,0,121.65450121654501,0,0,863.3093525179855,0,119.61722488038276,0,0,0,332.22591362126246,187.26591760299627,187.96992481203006,0,0,0,0,238.66348448687353,0,333.33333333333337,0,0,0,0,0,0,0,0,117.37089201877934,0,0,0,2631.5789473684204,0,0,0,0,0,0,325.7328990228013,0,0,0,0,0,0,0,0,0,0,111.35857461024499,NA,0,323.2758620689655,353.7735849056604,0,0,0,96.71179883945841,0,0,0,0,115.60693641618498,111.23470522803115,242.42424242424244,0,0,113.50737797956867,0,0,0,0,0,0,126.26262626262627,350.87719298245617,0,0,118.2033096926714,0,0,0,0,0,0,0,453.0011325028313,105.70824524312897,0,0,0,0,0,0,0,0,0,118.34319526627219,0,0,0,147.7104874446086,0,167.50418760469012,0,0,0,0,477.89725209080046,0,0,0,0,0,0,429.1845493562233,0,0,0,0,0,0,0,800,0,900.9009009009009,0,0,1265.8227848101264,1666.666666666667,322.234156820623,0,0,0,0,0,0,0,0,0,0,104.93179433368311,NA,0
2005,87.0873997784951,101.81504904744192,73.30303474563848,168.6340640809444,223.83883603805268,414.6919431279622,356.9303985722784,118.13349084465446,402.5301897642324,60.3864734299517,121.65450121654504,58.54800936768151,440.28618602091365,109.46907498631637,54.34782608695653,0,0,0,0,54.406964091403715,53.447354355959384,0,59.24170616113746,58.89281507656065,59.70149253731344,61.199510403916776,359.92801439712065,0,0,0,0,0,0,186.91588785046733,66.57789613848205,0,0,56.81818181818183,0,60.606060606060616,61.57635467980297,126.7427122940431,0,54.67468562055769,53.93743257820928,57.306590257879655,0,110.31439602868177,116.34671320535195,118.48341232227492,62.11180124223604,64.14368184733804,208.76826722338208,130.89005235602096,0,72.99270072992702,0,79.428117553614,174.52006980802793,0,95.60229445506694,0,129.366106080207,0,0,0,0,0,438.59649122807025,240.96385542168676,0,0,0,0,0,0,0,444.4444444444445,0,0,0,0,0,900.9009009009011,0,0,0,0,0,0,0,0,0,NA,0,114.28571428571429,232.55813953488376,112.61261261261264,0,0,0,0,0,0,0,0,120.48192771084338,119.76047904191618,123.76237623762378,124.37810945273634,0,743.4944237918216,0,0,0,0,0,0,348.8372093023256,372.67080745341616,0,0,0,117.92452830188681,0,0,124.37810945273634,251.5723270440252,0,121.80267965895251,116.00928074245941,0,0,0,227.2727272727273,251.8891687657431,121.65450121654504,0,0,433.5260115606937,116.4144353899884,137.17421124828533,0,150.60240963855424,0,169.20473773265655,193.42359767891682,0,218.81838074398252,0,295.8579881656805,121.95121951219514,0,0,0,0,0,934.5794392523366,485.4368932038835,0,0,0,122.10012210012212,0,0,0,0,917.4311926605507,0,0,0,0,0,0,1818.1818181818185,0,0,0,0,0,0,0,0,0,442.96788482835,NA,0,221.2389380530974,215.74973031283713,106.49627263045794,109.52902519167581,0,0,0,0,104.60251046025108,102.880658436214,0,0,703.3997655334115,0,0,114.5475372279496,0,0,0,0,0,0,0,365.40803897685754,0,126.42225031605564,0,0,0,0,118.62396204033216,0,0,0,114.67889908256883,0,105.93220338983053,115.07479861910244,0,0,0,115.47344110854503,116.14401858304299,123.91573729863696,0,681.8181818181819,125.15644555694621,0,0,0,0,158.98251192368843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.21212121212123,0,0,0,0,0,0,0,0,0,0,114.15525114155253,0,0,0,0,0,0,0,0,0,0,437.63676148796503,NA,0
2006,46.11157118120908,58.38734162433586,34.61909881019625,113.57183418512211,279.9552071668534,169.68325791855207,119.90407673860912,120.2645820805773,116.00928074245944,0,0,247.37167594310458,180.5054151624549,56.49717514124295,111.04941699056081,0,0,0,50.530570995452265,0,0,54.02485143165858,0,59.98800239952011,0,0,61.652281134401996,182.37082066869306,0,0,60.716454159077124,0,121.65450121654504,0,0,0,0,0,57.43825387708215,0,63.01197227473222,0,0,0,0,54.73453749315819,0,0,0,0,118.20330969267144,125.549278091651,64.72491909385116,69.88120195667368,0,0,0,0,0,87.87346221441129,0,0,0,0,0,0,0,0,221.2389380530974,0,0,0,0,0,0,0,0,0,0,0,0,0,769.2307692307694,787.4015748031497,0,0,0,0,0,0,0,0,0,NA,0,118.62396204033217,223.46368715083807,113.37868480725626,0,0,0,0,105.1524710830705,0,0,111.48272017837239,0,117.64705882352945,0,0,0,130.0390117035111,249.68789013732842,0,0,121.21212121212126,0,241.83796856106417,124.37810945273635,0,0,0,0,0,119.18951132300363,0,128.0409731113957,0,0,0,0,0,0,0,0,0,0,246.60912453760798,267.7376171352076,0,241.2545235223161,143.88489208633098,0,0,0,0,0,195.31250000000009,0,0,0,0,0,0,0,0,0,492.6108374384238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408.4507042253524,250.00000000000009,1666.666666666667,0,0,0,0,0,0,0,0,0,122.10012210012215,NA,0,108.93246187363837,336.7003367003367,0,216.9197396963124,0,0,0,0,0,0,0,0,217.86492374727675,118.9060642092747,0,0,0,118.48341232227492,0,0,0,0,0,115.74074074074078,0,0,0,0,0,0,0,0,0,0,246.3054187192119,0,0,107.64262648008615,0,0,0,0,0,0,123.6093943139679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.79804161566713,0,0,0,0,0,0,0,0,0,0,237.24792408066435,NA,0
2007,59.634181567447186,59.6865493472987,59.58507123124424,224.59292532285235,231.34759976865243,170.64846416382252,114.74469305794607,180.94089264173704,121.87690432663011,175.95307917888564,181.48820326678765,124.06947890818859,371.0575139146568,120.55455093429777,112.80315848843769,55.49389567147614,0,0,0,100.9591115598183,0,0,0,0,118.0637544273908,0,58.82352941176471,0,0,0,56.21135469364812,59.31198102016608,0,0,0,0,67.34006734006735,0,0,115.14104778353484,59.13660555884093,63.41154090044388,62.85355122564425,0,61.91950464396285,111.1728738187882,0,0,0,0,0,177.3049645390071,189.0359168241966,0,0,0,0,0,0,0,0,0,0,0,133.86880856760374,142.45014245014247,0,0,198.41269841269843,0,0,0,0,314.4654088050315,0,0,0,0,0,0,0,0,0,0,854.7008547008547,0,0,0,0,0,0,0,0,NA,0,117.09601873536302,121.21212121212122,0,0,113.76564277588167,0,0,0,208.55057351407712,0,0,0,228.57142857142858,0,119.47431302270012,0,120.77294685990337,0,0,0,0,0,0,120.04801920768307,0,0,0,142.2475106685633,0,0,240.67388688327318,125.78616352201257,128.53470437017995,128.2051282051282,0,0,126.26262626262627,236.96682464454977,0,0,0,0,0,245.09803921568627,402.6845637583893,118.76484560570071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.8048780487805,0,0,0,0,0,709.2198581560284,0,0,0,0,0,0,0,0,0,124.84394506866417,0,1785.7142857142856,0,0,0,0,0,0,0,0,251.57232704402514,NA,0,323.62459546925567,331.858407079646,236.96682464454977,225.22522522522522,0,0,0,0,0,0,0,0,113.25028312570782,0,116.68611435239208,0,0,0,0,0,116.27906976744188,121.06537530266344,0,109.89010989010988,0,0,0,0,0,0,0,0,0,0,350.0583430571763,0,0,0,0,0,0,0,0,114.15525114155251,0,125.15644555694618,0,0,0,0,0,0,0,0,0,0,338.6004514672686,0,234.74178403755874,242.71844660194174,0,0,0,0,0,0,0,357.99522673031026,0,0,0,0,0,0,0,0,0,0,123.30456226880395,0,0,0,0,0,0,0,0,0,0,486.61800486618006,NA,0
