province,1988,1993,1998,2003,2008,2013,2018,2023,2028/2029,2033/2034,2038/2039,2043/2044,2048/2049,2053/2054,2058/2059,2063/2064,2068/2069,2073/2074,sex,mortality_scenario
NL,73.6,73.9,74.9,75.5,76.8,77.5,78,77.1,80.1,81.8,82.7,83.4,84.1,84.8,85.4,86.1,86.7,87.2,M,LM
PE,72.9,73.5,74.9,75.8,77.4,78.3,79.7,79.1,81.3,82.1,82.8,83.5,84.2,84.8,85.5,86,86.6,87.1,M,LM
NS,72.8,74.2,75.2,76.5,77.6,78.1,78.2,78.3,79.9,81.4,82.2,83,83.7,84.4,85.1,85.7,86.3,86.9,M,LM
NB,73.1,74.3,74.9,76.5,77.6,78.9,78.6,78.4,80.1,81.5,82.3,83.1,83.8,84.5,85.2,85.8,86.4,87,M,LM
QC,72.8,73.8,75.2,77.1,78.6,80,80.7,80.8,82.8,83.9,84.7,85.4,86,86.6,87.2,87.8,88.4,88.9,M,LM
ON,74,75.1,76.6,77.7,79,80.2,80.2,80.1,81.9,83.3,84.1,84.8,85.5,86.1,86.8,87.4,87.9,88.5,M,LM
MB,73.2,74.6,75.2,76.1,76.9,77.9,78,76.9,80.3,82.2,83,83.8,84.6,85.3,85.9,86.5,87.1,87.7,M,LM
SK,74,75.3,75.5,76.2,76.7,77.8,77.9,76.7,80.2,82.5,83.5,84.3,85,85.8,86.4,87,87.5,88.2,M,LM
AB,74.1,75.4,76.3,77.5,78,79.2,79.1,78.3,80.8,82.6,83.4,84.2,84.9,85.6,86.2,86.9,87.4,88,M,LM
BC,74.6,75.3,77,78.5,79.2,80.5,79.8,79.3,81.4,83.1,83.9,84.7,85.4,86,86.7,87.4,88,88.5,M,LM
YT,69,72.3,73.2,74.7,74.3,76.4,NA,NA,78.8,81.2,82,83,83.8,84.6,85.4,86.1,86.8,87.5,M,LM
NT,70.4,69.9,70.9,73.2,73.7,75.9,75.2,73.8,77.3,79.3,80.1,80.9,81.7,82.4,83.1,83.7,84.4,85,M,LM
NU,NA,NA,NA,67.1,68.4,68.4,69.4,68.5,73.5,75.6,76.5,77.5,78.5,79.5,80.5,81.3,82.2,83,M,LM
NL,79.1,79.9,79.9,80.7,81.2,81.1,81.9,81.1,84.1,85.9,86.7,87.3,87.9,88.5,89.2,89.7,90.2,90.6,F,LM
PE,80.6,80.6,80.9,81.6,82.8,83,83.7,83.5,85.3,86.1,86.8,87.4,88,88.6,89,89.6,90.1,90.5,F,LM
NS,79.5,80.5,80.3,81.5,82.1,82.6,82.5,82.7,84.5,85.8,86.6,87.3,87.9,88.4,89,89.5,90,90.5,F,LM
NB,80.7,80.8,81.1,81.8,82.8,83.1,82.4,82.5,84.5,85.9,86.7,87.3,87.9,88.4,89,89.5,90,90.4,F,LM
QC,80,80.7,81.3,82.3,83.2,83.9,84.2,84.3,85.8,86.8,87.5,88.1,88.7,89.2,89.7,90.2,90.7,91.1,F,LM
ON,80.3,80.9,81.6,82.3,83.4,84.3,84.4,84.5,85.9,87,87.7,88.3,88.9,89.4,89.9,90.4,90.8,91.2,F,LM
MB,80.3,80.6,80.7,81.3,81.8,82.7,82.2,81.5,84.7,86.2,87,87.7,88.3,88.9,89.6,90.1,90.8,91.1,F,LM
SK,81.2,81.5,81.5,81.9,82.1,82.4,82.5,81.4,84.6,86.5,87.4,88.2,88.8,89.5,90.1,90.6,91.1,91.6,F,LM
