year,sex,age,correction,type
2000,F,3,-0.8739113393148408,prevalence
2001,F,3,-0.8742777923272388,prevalence
2002,F,3,-0.8746667036554778,prevalence
2003,F,3,-0.8750760834464938,prevalence
2004,F,3,-0.8531931646272108,prevalence
2005,F,3,-0.8313014653931332,prevalence
2006,F,3,-0.8094422437261688,prevalence
2007,F,3,-0.7876548775989343,prevalence
2008,F,3,-0.7659767539256098,prevalence
2009,F,3,-0.7423941922950525,prevalence
2010,F,3,-0.7101813559062643,prevalence
2011,F,3,-0.6784476504235262,prevalence
2012,F,3,-0.6472924927802455,prevalence
2013,F,3,-0.6168045641115631,prevalence
2014,F,3,-0.5870617359525082,prevalence
2015,F,3,-0.5581311082324057,prevalence
2016,F,3,-0.5300692158937862,prevalence
2017,F,3,-0.5029223457857458,prevalence
2018,F,3,-0.4767271301587018,prevalence
2019,F,3,-0.4515109996784588,prevalence
2020,F,3,-0.4272928349442779,prevalence
2021,F,3,-0.4040837395297741,prevalence
2022,F,3,-0.38188764644589995,prevalence
2023,F,3,-0.3607021171305447,prevalence
2024,F,3,-0.34051895832893564,prevalence
2025,F,3,-0.3213250488179973,prevalence
2026,F,3,-0.3026005821240342,prevalence
2000,M,3,-0.9636618925686549,prevalence
2001,M,3,-0.964040506543737,prevalence
2002,M,3,-0.9644678851255933,prevalence
2003,M,3,-0.964940837041825,prevalence
2004,M,3,-0.9434698447801747,prevalence
2005,M,3,-0.9218367658389561,prevalence
2006,M,3,-0.9000910405740234,prevalence
2007,M,3,-0.878280271711375,prevalence
2008,M,3,-0.8564498632910992,prevalence
2009,M,3,-0.8325351022765742,prevalence
2010,M,3,-0.7995111183792434,prevalence
2011,M,3,-0.7666913785221467,prevalence
2012,M,3,-0.7342026351973021,prevalence
2013,M,3,-0.7021604837954841,prevalence
2014,M,3,-0.6706688291423163,prevalence
2015,M,3,-0.639819675759667,prevalence
2016,M,3,-0.6096930864745792,prevalence
2017,M,3,-0.5803574337886578,prevalence
2018,M,3,-0.551869881399077,prevalence
2019,M,3,-0.5242768705617138,prevalence
2020,M,3,-0.4976148643719667,prevalence
2021,M,3,-0.47191110022095706,prevalence
2022,M,3,-0.44718438660692733,prevalence
2023,M,3,-0.4234459015933704,prevalence
2024,M,3,-0.4007000425284849,prevalence
2025,M,3,-0.37894522498419414,prevalence
2026,M,3,-0.3572096776570973,prevalence
2000,F,4,-0.8287354894492911,prevalence
2001,F,4,-0.828843951652507,prevalence
2002,F,4,-0.8290077096644268,prevalence
2003,F,4,-0.8292253357043478,prevalence
2004,F,4,-0.8294949557565727,prevalence
2005,F,4,-0.8107282033980241,prevalence
2006,F,4,-0.7920543326387119,prevalence
2007,F,4,-0.7735097302129906,prevalence
2008,F,4,-0.7551280591910278,prevalence
2009,F,4,-0.7369401510366609,prevalence
2010,F,4,-0.7172598600632943,prevalence
2011,F,4,-0.6905135522927669,prevalence
2012,F,4,-0.6643538526522256,prevalence
2013,F,4,-0.6388538477598763,prevalence
2014,F,4,-0.6140753144557564,prevalence
2015,F,4,-0.5900690693192117,prevalence
2016,F,4,-0.5668755846414043,prevalence
2017,F,4,-0.5445255202242668,prevalence
2018,F,4,-0.5230406692294888,prevalence
2019,F,4,-0.5024345874477878,prevalence
2020,F,4,-0.482713625546865,prevalence
2021,F,4,-0.4638776010232945,prevalence
2022,F,4,-0.44592078165508986,prevalence
2023,F,4,-0.4288325534766499,prevalence
2024,F,4,-0.4125981645538256,prevalence
2025,F,4,-0.3971994800513931,prevalence
2026,F,4,-0.3820393854495586,prevalence
2000,M,4,-0.9024920673252735,prevalence
