year,age,sex,province,prob
2000,4,F,BC,0.6242941617691482
2000,4,M,BC,0.6995365117216272
2000,5,F,BC,0.7953491040159585
2000,5,M,BC,0.865902470566897
2000,6,F,BC,0.8849397212050046
2000,6,M,BC,0.9347031092310752
2000,7,F,BC,0.9332215004263896
2000,7,M,BC,0.9620152159917492
2000,8,F,BC,0.9594931820434311
2000,8,M,BC,0.97127187980761
2000,9,F,BC,0.9735563617346924
2000,9,M,BC,0.9728295670675448
2000,10,F,BC,0.98063371929037
2000,10,M,BC,0.9714453020712652
2000,11,F,BC,0.9836236255674708
2000,11,M,BC,0.9693360655636012
2000,12,F,BC,0.984188941269211
2000,12,M,BC,0.9675089454111956
2000,13,F,BC,0.9833085303529432
2000,13,M,BC,0.9663714730059308
2000,14,F,BC,0.981569256582079
2000,14,M,BC,0.966025534515076
2000,15,F,BC,0.9793271587455528
2000,15,M,BC,0.966415403747196
2000,16,F,BC,0.9768000406847128
2000,16,M,BC,0.9674057503281502
2000,17,F,BC,0.974122743958622
2000,17,M,BC,0.9688249039599408
2000,18,F,BC,0.971381335591982
2000,18,M,BC,0.9704904028493624
2000,19,F,BC,0.9686348618930783
2000,19,M,BC,0.972225247802539
2000,20,F,BC,0.9659293673188916
2000,20,M,BC,0.9738690317977912
2000,21,F,BC,0.9633067664703496
2000,21,M,BC,0.9752859198733036
2000,22,F,BC,0.9608100223481356
2000,22,M,BC,0.9763702868943648
2000,23,F,BC,0.958485490580385
2000,23,M,BC,0.9770502110278988
2000,24,F,BC,0.9563830078359008
2000,24,M,BC,0.9772887490340838
2000,25,F,BC,0.9545542016158312
2000,25,M,BC,0.9770828755214392
2000,26,F,BC,0.953049494257054
2000,26,M,BC,0.9764600831707088
2000,27,F,BC,0.951914307253045
2000,27,M,BC,0.975472855042784
2000,28,F,BC,0.9511849998778028
2000,28,M,BC,0.974191471637486
2000,29,F,BC,0.950885069521241
2000,29,M,BC,0.972695841498311
2000,30,F,BC,0.9510220853110928
2000,30,M,BC,0.971067189476425
2000,31,F,BC,0.951585720901434
2000,31,M,BC,0.9693804640669236
2000,32,F,BC,0.952547108493307
2000,32,M,BC,0.967698223557494
2000,33,F,BC,0.9538595744424182
2000,33,M,BC,0.9660665474252992
2000,34,F,BC,0.9554606607134676
2000,34,M,BC,0.964513235054306
2000,35,F,BC,0.9572752074333336
2000,35,M,BC,0.963048251517056
2000,36,F,BC,0.9592191850896402
2000,36,M,BC,0.9616661124337428
2000,37,F,BC,0.9612039271991546
2000,37,M,BC,0.9603497072372406
2000,38,F,BC,0.963140423598808
2000,38,M,BC,0.9590749637311328
2000,39,F,BC,0.964943382090047
2000,39,M,BC,0.9578157571085923
2000,40,F,BC,0.9665348391563912
2000,40,M,BC,0.9565485469685
2000,41,F,BC,0.9678471850495386
2000,41,M,BC,0.9552563593184664
2000,42,F,BC,0.9688255524467326
2000,42,M,BC,0.953931887249242
2000,43,F,BC,0.9694295920718518
2000,43,M,BC,0.9525796375257918
2000,44,F,BC,0.9696347179133012
2000,44,M,BC,0.9512171817924996
2000,45,F,BC,0.9694329472841376
2000,45,M,BC,0.94987567017767
2000,46,F,BC,0.9688334879727326
2000,46,M,BC,0.9485998294388712
2000,47,F,BC,0.9678632386978968
2000,47,M,BC,0.9474477007599742
2000,48,F,BC,0.966567372956038
2000,48,M,BC,0.9464903802464762
2000,49,F,BC,0.9650101723721238
2000,49,M,BC,0.9458120148070668
2000,50,F,BC,0.9632762644767648
2000,50,M,BC,0.9455102823713472
2000,51,F,BC,0.9614723997241283
2000,51,M,BC,0.9456975496571356
2000,52,F,BC,0.959729868942314
2000,52,M,BC,0.946502849564768
2000,53,F,BC,0.9582076074886808
2000,53,M,BC,0.9480747447677522
2000,54,F,BC,0.9570959454103728
2000,54,M,BC,0.9505850295004072
2000,55,F,BC,0.9566208313277405
2000,55,M,BC,0.9542330485941068
2000,56,F,BC,0.9570481701100398
2000,56,M,BC,0.9592501609473792
2000,57,F,BC,0.9586876659723864
2000,57,M,BC,0.96590352950673
2000,58,F,BC,0.9618952647211266
2000,58,M,BC,0.9744979867606112
2000,59,F,BC,0.967072982225519
2000,59,M,BC,0.9853742492205604
2000,60,F,BC,0.974664676582303
2000,60,M,BC,0.9989013485457474
2000,61,F,BC,0.9851463124044908
2000,61,M,BC,1.0
2000,62,F,BC,0.9990096771720915
2000,62,M,BC,1.0
2000,63,F,BC,0.9543194631887052
2000,63,M,BC,0.9291138091893392
2000,64,F,BC,0.9543194631887052
2000,64,M,BC,0.9291138091893392
2000,65,F,BC,0.9543194631887052
2000,65,M,BC,0.9291138091893392
2000,66,F,BC,0.9543194631887052
2000,66,M,BC,0.9291138091893392
