year,census_division_name,DGUID,CDUID,geographic_area_type,province,population,area_km2,population_density_per_km2
2021,Division No. 1,2021A00031001,1001,CDR,NL,271878,9104.58,29.9
2021,Division No. 2,2021A00031002,1002,CDR,NL,19392,5915.57,3.3
2021,Division No. 3,2021A00031003,1003,CDR,NL,13920,19272.11,0.7
2021,Division No. 4,2021A00031004,1004,CDR,NL,19253,7019.97,2.7
2021,Division No. 5,2021A00031005,1005,CDR,NL,40396,10293.76,3.9
2021,Division No. 6,2021A00031006,1006,CDR,NL,37339,16043.38,2.3
2021,Division No. 7,2021A00031007,1007,CDR,NL,33044,9598.37,3.4
2021,Division No. 8,2021A00031008,1008,CDR,NL,33940,9234.94,3.7
2021,Division No. 9,2021A00031009,1009,CDR,NL,14733,13209.48,1.1
2021,Division No. 10,2021A00031010,1010,CDR,NL,24332,191691.09,0.1
2021,Division No. 11,2021A00031011,1011,CDR,NL,2323,66787.13,0
2021,Kings,2021A00031101,1101,CTY,PE,18327,1687.58,10.9
2021,Prince,2021A00031103,1103,CTY,PE,46234,2006.27,23
2021,Queens,2021A00031102,1102,CTY,PE,89770,1987.32,45.2
2021,Annapolis,2021A00031205,1205,CTY,NS,21252,3183.23,6.7
2021,Antigonish,2021A00031214,1214,CTY,NS,20129,1456.42,13.8
2021,Cape Breton,2021A00031217,1217,CTY,NS,98318,2457.21,40
2021,Colchester,2021A00031210,1210,CTY,NS,51476,3627.50,14.2
2021,Cumberland,2021A00031211,1211,CTY,NS,30538,4275.77,7.1
2021,Digby,2021A00031203,1203,CTY,NS,17062,2512.28,6.8
2021,Guysborough,2021A00031213,1213,CTY,NS,7373,4037.16,1.8
2021,Halifax,2021A00031209,1209,CTY,NS,440072,5477.53,80.3
2021,Hants,2021A00031208,1208,CTY,NS,45140,3049.18,14.8
2021,Inverness,2021A00031215,1215,CTY,NS,17346,3817.61,4.5
2021,Kings,2021A00031207,1207,CTY,NS,62914,2120.31,29.7
2021,Lunenburg,2021A00031206,1206,CTY,NS,48599,2906.47,16.7
2021,Pictou,2021A00031212,1212,CTY,NS,43657,2844.10,15.4
2021,Queens,2021A00031204,1204,CTY,NS,10501,2393.44,4.4
2021,Richmond,2021A00031216,1216,CTY,NS,8914,1246.08,7.2
2021,Shelburne,2021A00031201,1201,CTY,NS,13704,2462.58,5.6
2021,Victoria,2021A00031218,1218,CTY,NS,7441,2836.19,2.6
2021,Yarmouth,2021A00031202,1202,CTY,NS,24947,2121.64,11.8
2021,Albert,2021A00031306,1306,CT,NB,30749,1806.23,17
2021,Carleton,2021A00031311,1311,CT,NB,26360,3309.06,8
2021,Charlotte,2021A00031302,1302,CT,NB,26015,3418.24,7.6
2021,Gloucester,2021A00031315,1315,CT,NB,78256,4734.30,16.5
2021,Kent,2021A00031308,1308,CT,NB,32169,4550.38,7.1
2021,Kings,2021A00031305,1305,CT,NB,71184,3482.35,20.4
2021,Madawaska,2021A00031313,1313,CT,NB,32603,3454.97,9.4
2021,Northumberland,2021A00031309,1309,CT,NB,45005,12843.39,3.5
2021,Queens,2021A00031304,1304,CT,NB,10998,3681.05,3
2021,Restigouche,2021A00031314,1314,CT,NB,30700,8566.82,3.6
2021,Saint John,2021A00031301,1301,CT,NB,76558,1461.05,52.4
2021,Sunbury,2021A00031303,1303,CT,NB,27864,2692.97,10.3
2021,Victoria,2021A00031312,1312,CT,NB,18312,5492.85,3.3
2021,Westmorland,2021A00031307,1307,CT,NB,163576,3659.74,44.7
