CDUID,month,year,date,background_pm25,wildfire_pm25,factor,wildfire_pm25_scaled,total_pm25,SSP
1001,1,2024,2024-01-01,0.3242857143,0.008412975294,1.016103896,0.008548456974,0.3328341713,SSP3_7.0
1001,2,2024,2024-02-01,0.1814285714,0.005873266122,1.016103896,0.00596784859,0.18739642,SSP3_7.0
1001,3,2024,2024-03-01,0.6671428571,0.02298886569,1.016103896,0.023359076,0.6905019331,SSP3_7.0
1001,4,2024,2024-04-01,0.4814285714,0.05393956252,1.016103896,0.05480819963,0.5362367711,SSP3_7.0
1001,5,2024,2024-05-01,0.5128571429,0.04168332114,1.016103896,0.04235458502,0.5552117279,SSP3_7.0
1001,6,2024,2024-06-01,0.9742857143,0.1420171329,1.016103896,0.144304162,1.118589876,SSP3_7.0
1001,7,2024,2024-07-01,0.7557142857,0.2366100295,1.016103896,0.2404203729,0.9961346586,SSP3_7.0
1001,8,2024,2024-08-01,1.128571429,0.1139241325,1.016103896,0.1157587549,1.244330183,SSP3_7.0
1001,9,2024,2024-09-01,0.6071428571,0.2143208516,1.016103896,0.2177722524,0.8249151095,SSP3_7.0
1001,10,2024,2024-10-01,0.5371428571,0.02001893521,1.016103896,0.02034131806,0.5574841752,SSP3_7.0
1001,11,2024,2024-11-01,0.5771428571,0.01333864415,1.016103896,0.01355344829,0.5906963054,SSP3_7.0
1001,12,2024,2024-12-01,0.2142857143,0.005151673795,1.016103896,0.005234635815,0.2195203501,SSP3_7.0
1001,1,2025,2025-01-01,0.3171428571,0.008412975294,1.032207792,0.008683938654,0.3258267958,SSP3_7.0
1001,2,2025,2025-02-01,0.1757142857,0.005873266122,1.032207792,0.006062431057,0.1817767168,SSP3_7.0
1001,3,2025,2025-03-01,0.6585714286,0.02298886569,1.032207792,0.0237292863,0.6823007149,SSP3_7.0
1001,4,2025,2025-04-01,0.4757142857,0.05393956252,1.032207792,0.05567683674,0.5313911225,SSP3_7.0
