province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,LG,2023-02-01T00:00:00,F,0,-22.12229089140783,-6.926157480209438e-05,0.0,3.134256373415587e-05,0.0001419434742857737
CA,LG,2023-02-01T00:00:00,F,1,176.89226152632364,0.0005538231399161128,0.00027548431645113607,0.00015339749287872904,0.0006809020508138276
CA,LG,2023-02-01T00:00:00,F,2,154.15643602122145,0.00044242062357039997,0.00036995593614902884,0.0003423587790947974,0.001475905691738572
CA,LG,2023-02-01T00:00:00,F,3,207.71157100120763,0.0005961209608691987,0.0004482911953825295,0.0003876894673583782,0.001613839081698551
CA,LG,2023-02-01T00:00:00,F,4,213.80625369717382,0.00066939531291282,0.0002822678259154475,0.00011104671366876786,0.00045287364893913454
CA,LG,2023-02-01T00:00:00,F,5,185.5553873971403,0.0005325339137172892,0.0002842875674647257,0.00017594194353113234,0.0007028403152786114
CA,LG,2023-02-01T00:00:00,F,6,206.2538013808753,0.0005919372409993346,0.0002925800738909381,0.0001612219909453347,0.0006305840697923773
CA,LG,2023-02-01T00:00:00,F,7,239.2833861644176,0.0006867303607247707,0.0003220651768560035,0.00016156763992223388,0.0006178146839943686
CA,LG,2023-02-01T00:00:00,F,8,179.81651782271,0.0005160636688073775,0.00015923688921550366,0.0,0.0
CA,LG,2023-02-01T00:00:00,F,9,229.93514881395458,0.0006599014257505177,0.00020361954653430527,0.0,0.0
CA,LG,2023-02-01T00:00:00,F,10,113.42307752278066,0.0003255180904545203,0.00010044204085735814,0.0,0.0
CA,LG,2023-02-01T00:00:00,F,11,221.85144529809622,0.0006367016344051082,0.00019646100616887093,0.0,0.0
CA,LG,2023-02-01T00:00:00,F,12,150.89439084625337,0.00043305873056305563,0.00016986457804849732,5.314798551826779e-05,0.0001979769370456415
CA,LG,2023-02-01T00:00:00,F,13,206.38396276854837,0.000592310797133515,0.00029255454114626543,0.00016101550215203708,0.000589083370551396
CA,LG,2023-02-01T00:00:00,F,14,181.3381536436209,0.000520430681214448,0.00016058437696342916,0.0,0.0
CA,LG,2023-02-01T00:00:00,F,15,349.1983161642238,0.001002180257759993,0.00030923329101560567,0.0,0.0
