province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,SA,2023-02-01T00:00:00,F,0,406.4694966489078,0.0011147361406700354,0.00033024896703726895,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,1,197.33956291144204,0.0005412006179431069,0.00027137439456340084,0.00020090939813082462,0.0007765274751958648
CA,SA,2023-02-01T00:00:00,F,2,246.95104402021389,0.0006208210407271155,0.0008284882262709621,0.0011662432496040206,0.004775908451238075
CA,SA,2023-02-01T00:00:00,F,3,282.34609271845875,0.0007098022031944128,0.00038734730521006525,0.00032036877385426075,0.0012765332676613341
CA,SA,2023-02-01T00:00:00,F,4,294.31067103996975,0.0008071423422862295,0.00024949681716253673,1.877167632104136e-05,7.324588713756888e-05
CA,SA,2023-02-01T00:00:00,F,5,264.2163470709693,0.000664225041916767,0.00024966535730383874,9.56850249022191e-05,0.00036559453924758984
CA,SA,2023-02-01T00:00:00,F,6,288.92942916085485,0.0007263523408860378,0.00025119954819079486,6.515862332561915e-05,0.000243781479262787
CA,SA,2023-02-01T00:00:00,F,7,326.3258551898143,0.0008203648534424653,0.00028195755164337616,7.041675162795376e-05,0.0002574879543228761
CA,SA,2023-02-01T00:00:00,F,8,258.4992888729648,0.0006498526790281448,0.00019252374453962624,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,9,296.2704880999554,0.0007448073503341391,0.00022065478019019663,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,10,204.56445951000933,0.000514263550302661,0.00015235444521453258,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,11,292.4227258383762,0.0007351342923352079,0.00021778906399450707,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,12,217.1943113928537,0.0005460142878678561,0.00019381395302419473,5.799524934998731e-05,0.00020692794511201307
CA,SA,2023-02-01T00:00:00,F,13,277.15078933309997,0.0006967415025709826,0.00025043878176640727,7.965452066832202e-05,0.0002791732859941057
CA,SA,2023-02-01T00:00:00,F,14,252.00382341848308,0.0006335234440599044,0.00018768608584711368,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,15,436.7893074152489,0.0010980637619244676,0.0003253096494194977,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,16,486.0258014364299,0.0013329180433612805,0.0004944428497025011,0.00018013122504591085,0.0006271978453257932
CA,SA,2023-02-01T00:00:00,F,17,623.2115946814629,0.0015667189111850108,0.0005279269422626463,0.0001153906157102427,0.0004051192444447431
CA,SA,2023-02-01T00:00:00,F,18,1074.6064462766117,0.0027015001900332343,0.0008003397527536925,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,19,1739.688413231881,0.0043734788631025825,0.001295676011751811,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,20,1086.4869673822614,0.002731367152153006,0.0008091880649494981,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,21,655.5687000090147,0.0016480628548158922,0.00048825101793891385,0.0,0.0
CA,SA,2023-02-01T00:00:00,F,22,379.25229791233505,0.0009534189548468305,0.0005468982398667131,0.00047846536781495034,0.0014806303934897247
