province,age,sex,timepoint,prob_death,se
BC,0,F,1996-01-01,0.00458,0.00089
BC,0,F,1997-01-01,0.00445,0.00088
BC,0,F,1998-01-01,0.00397,0.00085
BC,0,F,1999-01-01,0.00343,0.0008
BC,0,F,2000-01-01,0.00319,0.00078
BC,0,F,2001-01-01,0.004,0.00088
BC,0,F,2002-01-01,0.00365,0.00085
BC,0,F,2003-01-01,0.00371,0.00085
BC,0,F,2004-01-01,0.00455,0.00094
BC,0,F,2005-01-01,0.00371,0.00084
BC,0,F,2006-01-01,0.00399,0.00087
BC,0,F,2007-01-01,0.00323,0.00076
BC,0,F,2008-01-01,0.00335,0.00077
BC,0,F,2009-01-01,0.0039,0.00083
BC,0,F,2010-01-01,0.00349,0.00079
BC,0,F,2011-01-01,0.00329,0.00077
BC,0,F,2012-01-01,0.00335,0.00077
BC,0,F,2013-01-01,0.00376,0.00082
BC,0,F,2014-01-01,0.00359,0.0008
BC,0,F,2015-01-01,0.00349,0.00079
BC,0,F,2016-01-01,0.0043,0.00086
BC,0,F,2017-01-01,0.00295,0.00072
BC,0,F,2018-01-01,0.00385,0.00083
BC,0,F,2019-01-01,0.00291,0.00073
BC,0,F,2020-01-01,0.00333,0.00079
BC,0,F,2021-01-01,0.00339,0.00078
BC,0,F,2022-01-01,0.00401,0.00087
BC,0,M,1996-01-01,0.00554,0.00094
BC,0,M,1997-01-01,0.00491,0.00091
BC,0,M,1998-01-01,0.0045,0.00088
BC,0,M,1999-01-01,0.00415,0.00086
BC,0,M,2000-01-01,0.00416,0.00087
BC,0,M,2001-01-01,0.00436,0.00089
BC,0,M,2002-01-01,0.00542,0.001
BC,0,M,2003-01-01,0.00467,0.00093
BC,0,M,2004-01-01,0.00411,0.00087
BC,0,M,2005-01-01,0.00518,0.00097
BC,0,M,2006-01-01,0.00419,0.00086
BC,0,M,2007-01-01,0.00482,0.0009
BC,0,M,2008-01-01,0.00411,0.00083
BC,0,M,2009-01-01,0.00326,0.00073
BC,0,M,2010-01-01,0.00398,0.00082
BC,0,M,2011-01-01,0.00446,0.00087
BC,0,M,2012-01-01,0.00415,0.00084
BC,0,M,2013-01-01,0.00351,0.00077
BC,0,M,2014-01-01,0.00472,0.00089
BC,0,M,2015-01-01,0.00309,0.00072
BC,0,M,2016-01-01,0.00261,0.00066
BC,0,M,2017-01-01,0.00306,0.00071
BC,0,M,2018-01-01,0.00419,0.00085
BC,0,M,2019-01-01,0.00368,0.00079
BC,0,M,2020-01-01,0.00391,0.00083
BC,0,M,2021-01-01,0.00357,0.00078
BC,0,M,2022-01-01,0.00382,0.00082
BC,1,F,1996-01-01,0.00022,0.00019
BC,1,F,1997-01-01,0.00019,0.00018
BC,1,F,1998-01-01,0.00015,0.00016
BC,1,F,1999-01-01,0.00029,0.00023
BC,1,F,2000-01-01,0.00015,0.00017
BC,1,F,2001-01-01,0.00028,0.00023
BC,1,F,2002-01-01,0.00021,0.0002
BC,1,F,2003-01-01,0.00021,0.0002
BC,1,F,2004-01-01,0.00021,0.0002
BC,1,F,2005-01-01,0.0001,0.00014
BC,1,F,2006-01-01,0.00021,0.0002
BC,1,F,2007-01-01,0.00019,0.00019
BC,1,F,2008-01-01,0.00018,0.00018
BC,1,F,2009-01-01,0.00037,0.00026
BC,1,F,2010-01-01,9e-05,0.00013
BC,1,F,2011-01-01,0.00018,0.00018
BC,1,F,2012-01-01,0.00035,0.00025
BC,1,F,2013-01-01,0.00026,0.00022
BC,1,F,2014-01-01,0.00014,0.00016
BC,1,F,2015-01-01,0.00023,0.0002
BC,1,F,2016-01-01,0.00015,0.00016
BC,1,F,2017-01-01,8e-05,0.00012
BC,1,F,2018-01-01,0.00014,0.00016
BC,1,F,2019-01-01,0.0002,0.00019
BC,1,F,2020-01-01,0.00018,0.00018
BC,1,F,2021-01-01,0.00015,0.00017
BC,1,F,2022-01-01,0.00021,0.0002
BC,1,M,1996-01-01,0.00045,0.00026
BC,1,M,1997-01-01,0.00021,0.00018
BC,1,M,1998-01-01,0.00041,0.00026
BC,1,M,1999-01-01,0.00027,0.00022
BC,1,M,2000-01-01,0.00022,0.00019
BC,1,M,2001-01-01,0.00019,0.00018
BC,1,M,2002-01-01,0.00028,0.00023
BC,1,M,2003-01-01,0.00037,0.00026
BC,1,M,2004-01-01,0.00018,0.00018
BC,1,M,2005-01-01,0.00038,0.00026
BC,1,M,2006-01-01,0.00023,0.0002
BC,1,M,2007-01-01,0.00022,0.0002
BC,1,M,2008-01-01,0.00031,0.00023
BC,1,M,2009-01-01,0.00012,0.00014
BC,1,M,2010-01-01,0.00014,0.00015
BC,1,M,2011-01-01,0.00026,0.00021
BC,1,M,2012-01-01,0.00019,0.00018
BC,1,M,2013-01-01,0.00037,0.00025
BC,1,M,2014-01-01,0.00014,0.00015
BC,1,M,2015-01-01,0.00015,0.00016
BC,1,M,2016-01-01,0.00024,0.00019
BC,1,M,2017-01-01,0.00034,0.00024
BC,1,M,2018-01-01,0.00014,0.00015
BC,1,M,2019-01-01,0.00015,0.00016
BC,1,M,2020-01-01,0.00019,0.00018
BC,1,M,2021-01-01,0.00023,0.0002
BC,1,M,2022-01-01,0.00024,0.0002
BC,2,F,1996-01-01,0.00021,0.00019
BC,2,F,1997-01-01,0.00022,0.00019
BC,2,F,1998-01-01,0.00013,0.00014
BC,2,F,1999-01-01,0.00019,0.00018
BC,2,F,2000-01-01,0.00013,0.00015
BC,2,F,2001-01-01,0.00023,0.0002
BC,2,F,2002-01-01,0.00014,0.00016
BC,2,F,2003-01-01,0.00017,0.00018
BC,2,F,2004-01-01,0.00016,0.00018
BC,2,F,2005-01-01,9e-05,0.00013
BC,2,F,2006-01-01,0.00019,0.00019
BC,2,F,2007-01-01,0.00016,0.00017
BC,2,F,2008-01-01,0.00016,0.00017
BC,2,F,2009-01-01,0.00021,0.0002
BC,2,F,2010-01-01,0.00011,0.00014
BC,2,F,2011-01-01,0.00013,0.00015
BC,2,F,2012-01-01,0.00027,0.00022
BC,2,F,2013-01-01,0.00019,0.00018
BC,2,F,2014-01-01,0.00014,0.00016
BC,2,F,2015-01-01,0.00019,0.00018
BC,2,F,2016-01-01,0.00012,0.00015
BC,2,F,2017-01-01,0.00012,0.00015
BC,2,F,2018-01-01,0.00013,0.00015
BC,2,F,2019-01-01,0.00015,0.00016
BC,2,F,2020-01-01,0.00014,0.00016
BC,2,F,2021-01-01,0.00012,0.00015
BC,2,F,2022-01-01,0.00016,0.00017
BC,2,M,1996-01-01,0.0003,0.00022
BC,2,M,1997-01-01,0.00018,0.00017
BC,2,M,1998-01-01,0.0003,0.00022
BC,2,M,1999-01-01,0.0002,0.00018
BC,2,M,2000-01-01,0.00015,0.00016
BC,2,M,2001-01-01,0.00013,0.00015
BC,2,M,2002-01-01,0.00022,0.0002
BC,2,M,2003-01-01,0.00023,0.0002
BC,2,M,2004-01-01,0.00015,0.00017
BC,2,M,2005-01-01,0.00023,0.0002
BC,2,M,2006-01-01,0.00018,0.00018
BC,2,M,2007-01-01,0.00017,0.00017
BC,2,M,2008-01-01,0.00023,0.0002
BC,2,M,2009-01-01,0.00014,0.00015
BC,2,M,2010-01-01,0.00011,0.00014
BC,2,M,2011-01-01,0.00017,0.00016
BC,2,M,2012-01-01,0.00014,0.00015
BC,2,M,2013-01-01,0.00022,0.00019
BC,2,M,2014-01-01,0.00013,0.00015
BC,2,M,2015-01-01,0.00015,0.00016
BC,2,M,2016-01-01,0.00017,0.00017
BC,2,M,2017-01-01,0.00018,0.00017
BC,2,M,2018-01-01,0.00011,0.00014
BC,2,M,2019-01-01,0.00013,0.00015
BC,2,M,2020-01-01,0.00016,0.00016
BC,2,M,2021-01-01,0.00016,0.00016
BC,2,M,2022-01-01,0.00015,0.00016
BC,3,F,1996-01-01,0.0002,0.00018
BC,3,F,1997-01-01,0.00024,0.0002
BC,3,F,1998-01-01,0.00011,0.00014
BC,3,F,1999-01-01,0.00013,0.00015
BC,3,F,2000-01-01,0.00011,0.00014
BC,3,F,2001-01-01,0.00018,0.00018
BC,3,F,2002-01-01,0.0001,0.00014
