province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
BC,past,2001-01-01T00:00:00,F,1,378.1764199999998,0.009398956655731181,0.0013573154447404597,0.0,0.0
BC,past,2001-01-01T00:00:00,F,2,224.0976499999997,0.005569580723729986,0.0008043103308107936,0.0,0.0
BC,past,2001-01-01T00:00:00,F,3,146.75964000000022,0.003647470921562785,0.0005267359769193176,0.0,0.0
BC,past,2001-01-01T00:00:00,F,4,200.41296000000148,0.004980936474798725,0.0007193034561333943,0.0,0.0
BC,past,2001-01-01T00:00:00,F,5,-73.66200000000026,-0.0018307485833581932,0.0,0.0050904218469942815,0.0031609165808445016
BC,past,2001-01-01T00:00:00,F,6,163.10959999999977,0.0040538224475593935,0.0005854177245250729,0.0,0.0
BC,past,2001-01-01T00:00:00,F,7,164.8917599999986,0.0040981151207873205,0.0005918140865536656,0.0,0.0
BC,past,2001-01-01T00:00:00,F,8,51.940959999999905,0.0012909076448951165,0.0001864216368187269,0.0,0.0
BC,past,2001-01-01T00:00:00,F,9,119.98063999999795,0.0029819226563276157,0.00043062329412775735,0.0,0.0
BC,past,2001-01-01T00:00:00,F,10,163.0109599999996,0.004051370911621424,0.0005850636950605457,0.0,0.0
BC,past,2001-01-01T00:00:00,F,11,105.05143999999927,0.002610881797395349,0.0003770408054638224,0.0,0.0
BC,past,2001-01-01T00:00:00,F,12,180.27790000000095,0.004480512476389327,0.0006470365815387896,0.0,0.0
BC,past,2001-01-01T00:00:00,F,13,337.76782000000094,0.008394666964907071,0.0012122846760840272,0.0,0.0
BC,past,2001-01-01T00:00:00,F,14,212.34658999999738,0.005277527338701595,0.0007621345250583488,0.0,0.0
BC,past,2001-01-01T00:00:00,F,15,395.6785600000003,0.009833943731981317,0.0014201324890659903,0.0,0.0
BC,past,2001-01-01T00:00:00,F,16,514.9222399999999,0.012797550452331243,0.0018481107552722454,0.0,0.0
BC,past,2001-01-01T00:00:00,F,17,346.7531200000012,0.008617981906750205,0.0012445338746607836,0.0,0.0
BC,past,2001-01-01T00:00:00,F,18,645.1589800000002,0.01603437170692912,0.002315544284508807,0.0,0.0
BC,past,2001-01-01T00:00:00,F,19,670.7903800000022,0.016671398250323148,0.002407538108688335,0.0,0.0
BC,past,2001-01-01T00:00:00,F,20,645.722859999998,0.016048386022467394,0.0023175681098783984,0.0,0.0
BC,past,2001-01-01T00:00:00,F,21,607.1563499999975,0.015089878467044375,0.002179148798402717,0.0,0.0
BC,past,2001-01-01T00:00:00,F,22,303.83727999999974,0.007551378864698274,0.0010905043546393807,0.0,0.0
BC,past,2001-01-01T00:00:00,F,23,202.42853000000105,0.005031030171985313,0.0007265375515086558,0.0,0.0
BC,past,2001-01-01T00:00:00,F,24,203.71896000000197,0.0050631016999702246,0.0007311690422011683,0.0,0.0
BC,past,2001-01-01T00:00:00,F,25,124.38232000000062,0.003091319216621946,0.0004464213923984237,0.0,0.0
BC,past,2001-01-01T00:00:00,F,26,262.9282600000006,0.006534652052887975,0.0009436775253114306,0.0,0.0
BC,past,2001-01-01T00:00:00,F,27,328.43399999999747,0.008162690128243302,0.0011787846021121173,0.0,0.0
BC,past,2001-01-01T00:00:00,F,28,238.04539999999906,0.00591622924744008,0.0008543702909066079,0.0,0.0
BC,past,2001-01-01T00:00:00,F,29,439.5466400000005,0.010924213142459501,0.0015775796998548342,0.0,0.0
BC,past,2001-01-01T00:00:00,F,30,173.06640999999945,0.004301282682175153,0.0006211537759514042,0.0,0.0
BC,past,2001-01-01T00:00:00,F,31,206.22508000000016,0.005125387215428973,0.00074016377376685,0.0,0.0
BC,past,2001-01-01T00:00:00,F,32,331.35531999999876,0.008235294760910596,0.001189269530693944,0.0,0.0
BC,past,2001-01-01T00:00:00,F,33,287.72594000000026,0.00715095784869272,0.0010326790396251236,0.0,0.0
BC,past,2001-01-01T00:00:00,F,34,406.986240000002,0.010114977631971419,0.00146071695678131,0.0,0.0
BC,past,2001-01-01T00:00:00,F,35,182.20996000000014,0.004528530669052593,0.000653970950630771,0.0,0.0
BC,past,2001-01-01T00:00:00,F,36,272.20206000000326,0.006765137190575685,0.0009769621811115932,0.0,0.0
BC,past,2001-01-01T00:00:00,F,37,165.99309999999969,0.004125487125956847,0.0005957669130993077,0.0,0.0
BC,past,2001-01-01T00:00:00,F,38,51.830720000005385,0.0012881678099215972,0.00018602597371889445,0.0,0.0
BC,past,2001-01-01T00:00:00,F,39,283.3798200000019,0.007042942141365989,0.001017080352111256,0.0,0.0
BC,past,2001-01-01T00:00:00,F,40,129.4336800000019,0.0032168625111840617,0.00046455126137583363,0.0,0.0
BC,past,2001-01-01T00:00:00,F,41,31.516640000001644,0.000783294562083747,0.00011311657727979766,0.0,0.0
BC,past,2001-01-01T00:00:00,F,42,215.46514000000025,0.0053550338005766045,0.0007733273331139099,0.0,0.0
BC,past,2001-01-01T00:00:00,F,43,77.72000000000116,0.0019316035391192257,0.0002789453566809643,0.0,0.0
BC,past,2001-01-01T00:00:00,F,44,172.03953000000183,0.0042757612585744564,0.0006174681942752863,0.0,0.0
BC,past,2001-01-01T00:00:00,F,45,185.68585000000166,0.0046149182324287125,0.0006664462900007427,0.0,0.0
BC,past,2001-01-01T00:00:00,F,46,126.44320000000153,0.0031425390197833167,0.0004538181101889141,0.0,0.0
BC,past,2001-01-01T00:00:00,F,47,124.8088800000005,0.0031019206680584677,0.00044795236166432435,0.0,0.0
BC,past,2001-01-01T00:00:00,F,48,108.40288000000146,0.0026941763594791096,0.00038906948053067067,0.0,0.0
BC,past,2001-01-01T00:00:00,F,49,110.65880000000107,0.0027502435629784537,0.000397166217651664,0.0,0.0
BC,past,2001-01-01T00:00:00,F,50,161.40211999999883,0.004011385823640492,0.0005792893969694133,0.0,0.0
BC,past,2001-01-01T00:00:00,F,51,-23.298619999997754,-0.000579049110249472,0.0,0.0016100540883061288,0.0007849939353098973
BC,past,2001-01-01T00:00:00,F,52,150.7661500000031,0.003747046177552518,0.0005411157679769172,0.0,0.0
BC,past,2001-01-01T00:00:00,F,53,47.590659999998024,0.0011827880505019888,0.00017080794683970344,0.0,0.0
BC,past,2001-01-01T00:00:00,F,54,-381.0439499999993,-0.009470224425887248,0.0,0.026332090463807474,0.01341515103506546
BC,past,2001-01-01T00:00:00,F,55,404.5113400000009,0.010053468038572445,0.0014518342771203472,0.0,0.0
BC,past,2001-01-01T00:00:00,F,56,206.08190000000104,0.005121828710607442,0.0007396498854991025,0.0,0.0
BC,past,2001-01-01T00:00:00,F,57,35.90016000000105,0.0008922397852669513,0.00012884949737652896,0.0,0.0
BC,past,2001-01-01T00:00:00,F,58,21.746080000000802,0.0005404632667263346,7.804899693789137e-05,0.0,0.0
BC,past,2001-01-01T00:00:00,F,59,224.3175200000005,0.005575045233124578,0.0008050994676555397,0.0,0.0
BC,past,2001-01-01T00:00:00,F,60,44.16827999999805,0.0010977303906948516,0.0001585246605582086,0.0,0.0
BC,past,2001-01-01T00:00:00,F,61,129.20607999999993,0.003211205885276865,0.00046373438073788793,0.0,0.0
BC,past,2001-01-01T00:00:00,F,62,73.40206000000035,0.0018242881996222374,0.0002634478101880769,0.0,0.0
BC,past,2001-01-01T00:00:00,F,63,56.64201999999932,0.0014077448056466677,0.00020329424179142932,0.0,0.0
BC,past,2001-01-01T00:00:00,F,64,66.43493999999919,0.0016511318222487124,0.00023844207455452854,0.0,0.0
BC,past,2001-01-01T00:00:00,F,65,3.660200000000259,9.09682871060806e-05,1.3136847587798798e-05,0.0,0.0
