province,projection_scenario,timepoint,sex,age,delta_n,n_birth,n,prop_migrants_birth,n_immigrants_timepoint,n_emigrants_timepoint,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
BC,HG,2023-01-01T00:00:00,F,1,376.6140000000087,48000.0,22900.000000000004,0.007846125000000181,127329.54599999996,926.2649999999988,0.0029577895455624166,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,2,403.1650000000045,48000.0,21500.000000000004,0.008399270833333427,127329.54599999996,926.2649999999988,0.003166311454530786,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,3,402.56799999999566,48000.0,21800.0,0.008386833333333243,127329.54599999996,926.2649999999988,0.00316162283339953,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,4,502.20000000000437,48000.0,22500.0,0.010462500000000092,127329.54599999996,926.2649999999988,0.003944096368646476,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,5,502.06100000000515,48000.0,23400.000000000004,0.010459604166666773,127329.54599999996,926.2649999999988,0.0039430047131402265,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,6,601.880000000001,48000.0,24100.0,0.012539166666666688,127329.54599999996,926.2649999999988,0.004726946878456641,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,7,501.66599999999744,48000.0,24299.999999999996,0.010451374999999947,127329.54599999996,926.2649999999988,0.003939902526629582,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,8,501.4459999999999,48000.0,24600.0,0.010446791666666665,127329.54599999996,926.2649999999988,0.003938174726547757,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,9,501.46399999999994,48000.0,24900.0,0.010447166666666665,127329.54599999996,926.2649999999988,0.003938316092008999,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,10,501.48799999999756,48000.0,25300.0,0.010447666666666616,127329.54599999996,926.2649999999988,0.003938504579290636,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,11,501.48799999999756,48000.0,25300.000000000004,0.010447666666666616,127329.54599999996,926.2649999999988,0.003938504579290636,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,12,501.7220000000016,48000.0,25100.0,0.0104525416666667,127329.54599999996,926.2649999999988,0.003940342330286811,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,13,502.00800000000163,48000.0,25600.000000000004,0.010458500000000034,127329.54599999996,926.2649999999988,0.003942588470393209,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,14,602.2860000000001,48000.0,26000.0,0.012547625000000001,127329.54599999996,926.2649999999988,0.00473013545497131,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,15,1103.083999999999,48000.0,26800.0,0.022980916666666643,127329.54599999996,926.2649999999988,0.008663221024914354,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,16,1904.3520000000026,48000.0,27500.000000000004,0.039674000000000056,127329.54599999996,926.2649999999988,0.014956088824819993,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,17,1706.2640000000029,48000.0,27800.0,0.03554716666666673,127329.54599999996,926.2649999999988,0.013400377631127369,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,18,2308.0099999999984,48000.0,29000.0,0.04808354166666663,127329.54599999996,926.2649999999988,0.018126272122261387,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,19,4110.079999999998,48000.0,32100.0,0.08562666666666663,127329.54599999996,926.2649999999988,0.032279075274484995,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,20,3012.217999999997,48000.0,32800.0,0.06275454166666661,127329.54599999996,926.2649999999988,0.02365686594060422,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,21,1813.8150000000023,48000.0,32500.000000000004,0.037787812500000045,127329.54599999996,926.2649999999988,0.014245044115683904,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,22,1115.984000000004,48000.0,34400.0,0.023249666666666752,127329.54599999996,926.2649999999988,0.008764532938804356,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,23,1317.492999999995,48000.0,35599.99999999999,0.02744777083333323,127329.54599999996,926.2649999999988,0.01034711142376959,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,24,1518.2850000000035,48000.0,36000.0,0.031630937500000074,127329.54599999996,926.2649999999988,0.011924058851195496,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,25,1818.3910000000033,48000.0,36500.0,0.0378831458333334,127329.54599999996,926.2649999999988,0.014280982357386273,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,26,1818.3910000000033,48000.0,36500.0,0.0378831458333334,127329.54599999996,926.2649999999988,0.014280982357386273,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,27,1919.5480000000025,48000.0,38100.0,0.039990583333333385,127329.54599999996,926.2649999999988,0.01507543268865502,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,28,2020.0199999999968,48000.0,38400.0,0.042083749999999934,127329.54599999996,926.2649999999988,0.015864503278759805,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,29,1921.1469999999972,48000.0,39000.0,0.040023895833333274,127329.54599999996,926.2649999999988,0.015087990653795293,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,30,1822.4199999999983,48000.0,39800.0,0.0379670833333333,127329.54599999996,926.2649999999988,0.014312624659794191,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,31,1724.3039999999964,48000.0,40900.0,0.03592299999999993,127329.54599999996,926.2649999999988,0.013542057237838554,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,32,1426.2679999999964,48000.0,41200.0,0.02971391666666659,127329.54599999996,926.2649999999988,0.011201390759690582,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,33,1328.2099999999991,48000.0,41600.0,0.02767104166666665,127329.54599999996,926.2649999999988,0.010431278848665647,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,34,1329.925000000003,48000.0,41200.0,0.027706770833333394,127329.54599999996,926.2649999999988,0.010444747835667328,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,35,1131.760000000002,48000.0,40800.0,0.023578333333333375,127329.54599999996,926.2649999999988,0.008888431911946049,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,36,1134.0169999999925,48000.0,40200.0,0.02362535416666651,127329.54599999996,926.2649999999988,0.00890615757005835,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,37,1037.0359999999928,48000.0,40399.99999999999,0.021604916666666515,127329.54599999996,926.2649999999988,0.008144504025797698,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,38,839.2890000000043,48000.0,39700.0,0.01748518750000009,127329.54599999996,926.2649999999988,0.006591470922232021,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,39,840.8099999999904,48000.0,39300.0,0.0175168749999998,127329.54599999996,926.2649999999988,0.006603416303706845,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,40,742.291000000012,48000.0,38800.0,0.015464395833333583,127329.54599999996,926.2649999999988,0.005829683866146921,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,41,743.3549999999959,48000.0,38400.0,0.015486562499999915,127329.54599999996,926.2649999999988,0.005838040135633533,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,42,743.3160000000062,48000.0,37100.0,0.015485750000000128,127329.54599999996,926.2649999999988,0.005837733843800923,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,43,744.0339999999997,48000.0,36500.00000000001,0.015500708333333326,127329.54599999996,926.2649999999988,0.0058433727549770725,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,44,643.9040000000023,48000.0,34900.00000000001,0.013414666666666714,127329.54599999996,926.2649999999988,0.005056988108635858,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,45,544.755999999994,48000.0,33900.0,0.011349083333333208,127329.54599999996,926.2649999999988,0.004278315733568972,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,46,546.8119999999908,48000.0,33700.0,0.011391916666666476,127329.54599999996,926.2649999999988,0.004294462810697456,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,47,449.87600000000384,48000.0,34100.0,0.009372416666666746,127329.54599999996,926.2649999999988,0.003533162680090008,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,48,452.2810000000027,48000.0,33700.00000000001,0.009422520833333389,127329.54599999996,926.2649999999988,0.0035520506764392516,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,49,355.6109999999899,48000.0,33599.99999999999,0.007408562499999789,127329.54599999996,926.2649999999988,0.002792839613203286,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,50,360.14399999999296,48000.0,33900.00000000001,0.0075029999999998535,127329.54599999996,926.2649999999988,0.002828440148526039,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,51,265.8130000000019,48000.0,34300.0,0.005537770833333374,127329.54599999996,926.2649999999988,0.002087598741614943,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,52,375.91999999999825,48000.0,36800.0,0.007831666666666631,127329.54599999996,926.2649999999988,0.002952339121667789,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,53,282.4319999999934,48000.0,37000.0,0.005883999999999863,127329.54599999996,926.2649999999988,0.0022181183305247433,0.0,0.0
BC,HG,2023-01-01T00:00:00,F,54,288.8139999999985,48000.0,36900.0,0.006016958333333302,127329.54599999996,926.2649999999988,0.0022682402401717396,0.0,0.0
