province,projection_scenario,timepoint,sex,age,delta_n,n_birth,n,prop_migrants_birth,n_immigrants_timepoint,n_emigrants_timepoint,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,FA,2023-01-01T00:00:00,F,1,2667.9130000000296,348700.0,173700.0,0.007651026670490477,392258.68199999956,5976.48500000002,0.006801412237448023,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,2,2333.5540000000037,348700.0,178900.0,0.006692153713794103,392258.68199999956,5976.48500000002,0.005949018102294053,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,3,2323.790000000008,348700.0,185300.0,0.00666415256667625,392258.68199999956,5976.48500000002,0.00592412636516229,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,4,2318.6600000000035,348700.0,188900.0,0.006649440780040159,392258.68199999956,5976.48500000002,0.005911048260749538,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,5,2515.23199999996,348700.0,192899.99999999997,0.007213168913105707,392258.68199999956,5976.48500000002,0.0064121767481999615,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,6,2613.6080000000366,348700.0,197000.0,0.007495291081158694,392258.68199999956,5976.48500000002,0.006662970432353718,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,7,2311.9520000000484,348700.0,201500.00000000003,0.006630203613421418,392258.68199999956,5976.48500000002,0.005893947300827496,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,8,2212.048000000039,348700.0,203000.00000000003,0.006343699455119125,392258.68199999956,5976.48500000002,0.005639258228069102,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,9,2112.167999999947,348700.0,204899.99999999997,0.006057264123888577,392258.68199999956,5976.48500000002,0.005384630339424709,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,10,1912.2339999999967,348700.0,205800.0,0.0054838944651562855,392258.68199999956,5976.48500000002,0.004874930977308486,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,11,1914.3710000000428,348700.0,207200.0,0.00549002294235745,392258.68199999956,5976.48500000002,0.004880378912811533,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,12,1816.3759999999893,348700.0,206500.0,0.005208993404072238,392258.68199999956,5976.48500000002,0.004630556526470946,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,13,1920.8699999999953,348700.0,210600.00000000003,0.005508660739891011,392258.68199999956,5976.48500000002,0.004896947061072309,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,14,2225.116000000009,348700.0,211499.99999999997,0.006381175795813046,392258.68199999956,5976.48500000002,0.00567257297825727,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,15,3329.399999999994,348700.0,213300.0,0.009548035560653841,392258.68199999956,5976.48500000002,0.008487766244011388,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,16,4837.080000000016,348700.0,210800.0,0.013871752222540912,392258.68199999956,5976.48500000002,0.012331352298787415,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,17,5544.682000000001,348700.0,208599.99999999997,0.015901009463722398,392258.68199999956,5976.48500000002,0.01413526903147043,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,18,10254.70200000002,348700.0,212800.00000000003,0.02940837969601382,392258.68199999956,5976.48500000002,0.026142702432268995,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,19,15663.179999999993,348700.0,226200.0,0.04491878405506164,392258.68199999956,5976.48500000002,0.03993074141823586,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,20,8971.610000000015,348700.0,225900.0,0.02572873530255238,392258.68199999956,5976.48500000002,0.022871667120933286,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,21,3881.9919999999693,348700.0,225399.99999999997,0.011132755950673843,392258.68199999956,5976.48500000002,0.009896510079029872,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,22,2392.920000000013,348700.0,234600.0,0.0068624032119300625,392258.68199999956,5976.48500000002,0.006100362107472781,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,23,4203.070999999996,348700.0,243800.0,0.012053544594207044,392258.68199999956,5976.48500000002,0.010715049004320064,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,24,4507.9100000000035,348700.0,244200.0,0.01292776025236594,392258.68199999956,5976.48500000002,0.011492186678993656,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,25,4216.496000000014,348700.0,246800.00000000003,0.012092044737596827,392258.68199999956,5976.48500000002,0.010749273868207253,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,26,4022.7999999999593,348700.0,249499.99999999997,0.011536564381990133,392258.68199999956,5976.48500000002,0.010255477277109609,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,27,4532.391999999993,348700.0,258999.99999999997,0.01299796960137652,392258.68199999956,5976.48500000002,0.011554599574165696,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,28,4639.644,348700.0,263100.0,0.013305546314883855,392258.68199999956,5976.48500000002,0.01182802118322522,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,29,4748.085999999981,348700.0,264400.0,0.013616535704043536,392258.68199999956,5976.48500000002,0.012104476504614336,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,30,5255.995999999985,348700.0,269500.0,0.015073117292801792,392258.68199999956,5976.48500000002,0.013399310814999349,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,31,5164.700000000012,348700.0,275000.0,0.014811299110983688,392258.68199999956,5976.48500000002,0.013166566444538294,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,32,4576.064000000071,348700.0,279500.00000000006,0.013123211930026014,392258.68199999956,5976.48500000002,0.011665934267326367,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,33,4485.790999999968,348700.0,281600.0,0.012864327502150755,392258.68199999956,5976.48500000002,0.011435797869733252,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,34,4389.419999999984,348700.0,274800.0,0.012587955262403165,392258.68199999956,5976.48500000002,0.011190115608454496,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,35,4097.505999999994,348700.0,270800.0,0.011750805850301102,392258.68199999956,5976.48500000002,0.010445928128622016,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,36,3708.6500000000233,348700.0,271000.0,0.010635646687697228,392258.68199999956,5976.48500000002,0.00945460271546017,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,37,3122.2200000000303,348700.0,273900.0,0.008953885861772384,392258.68199999956,5976.48500000002,0.007959594378079396,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,38,2735.682999999961,348700.0,273400.0,0.007845377114998454,392258.68199999956,5976.48500000002,0.006974180879953,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,39,2448.0320000000065,348700.0,271800.0,0.007020453111557232,392258.68199999956,5976.48500000002,0.006240861228407455,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,40,2357.2799999999697,348700.0,270100.0,0.006760195010037194,392258.68199999956,5976.48500000002,0.006009503697868368,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,41,1968.6599999999744,348700.0,267700.0,0.0056457126469744035,392258.68199999956,5976.48500000002,0.005018779928496207,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,42,1879.7339999999385,348700.0,265500.0,0.005390691138514306,392258.68199999956,5976.48500000002,0.004792077489313393,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,43,1692.0960000000196,348700.0,262200.00000000006,0.0048525838829940335,392258.68199999956,5976.48500000002,0.004313724788378353,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,44,1600.4279999999853,348700.0,255900.0,0.004589698881560038,392258.68199999956,5976.48500000002,0.0040800320641468605,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,45,1410.875000000029,348700.0,249800.00000000006,0.004046099799254457,392258.68199999956,5976.48500000002,0.003596797380765254,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,46,1129.4409999999916,348700.0,248500.0,0.003239004875250908,392258.68199999956,5976.48500000002,0.0028793269641384073,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,47,1049.4620000000286,348700.0,246800.00000000006,0.0030096415256668442,392258.68199999956,5976.48500000002,0.002675433452866264,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,48,871.6399999999558,348700.0,245000.00000000003,0.002499684542586624,392258.68199999956,5976.48500000002,0.0022221050546433964,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,49,792.9439999999304,348700.0,240000.0,0.0022740005735587335,392258.68199999956,5976.48500000002,0.0020214823441433256,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,50,621.0830000000424,348700.0,238100.0,0.0017811385144824846,392258.68199999956,5976.48500000002,0.0015833505502882484,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,51,658.7819999999483,348700.0,240400.0,0.0018892515055920513,392258.68199999956,5976.48500000002,0.001679458047024053,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,52,615.8400000000547,348700.0,248100.00000000006,0.0017661026670491961,392258.68199999956,5976.48500000002,0.0015699843706711261,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,53,655.9750000000058,348700.0,247200.0,0.0018812016059650296,392258.68199999956,5976.48500000002,0.0016723020549995284,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,54,599.0249999999942,348700.0,244500.00000000003,0.0017178806997418818,392258.68199999956,5976.48500000002,0.0015271172506514333,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,55,546.1399999999849,348700.0,241900.0,0.0015662173788356319,392258.68199999956,5976.48500000002,0.0013922955056479426,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,56,706.7300000000105,348700.0,243699.99999999997,0.002026756524232895,392258.68199999956,5976.48500000002,0.0018016937098667232,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,57,706.4319999999425,348700.0,255100.0,0.002025901921422261,392258.68199999956,5976.48500000002,0.0018009340071150886,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,58,735.6400000000722,348700.0,271000.00000000006,0.0021096644680242966,392258.68199999956,5976.48500000002,0.0018753950741109994,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,59,849.1910000000498,348700.0,278100.00000000006,0.0024353054201320615,392258.68199999956,5976.48500000002,0.0021648749638129125,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,60,752.3640000000014,348700.0,279300.0,0.0021576254660166374,392258.68199999956,5976.48500000002,0.0019180302043639717,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,61,831.6809999999823,348700.0,272700.0,0.002385090335531925,392258.68199999956,5976.48500000002,0.002120236053819156,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,62,856.0299999999697,348700.0,274000.0,0.002454918267851935,392258.68199999956,5976.48500000002,0.002182309887024937,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,63,965.0260000000708,348700.0,269800.00000000006,0.0027674964152568705,392258.68199999956,5976.48500000002,0.0024601775417174114,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,64,871.3950000000186,348700.0,263400.0,0.002498981932893658,392258.68199999956,5976.48500000002,0.0022214804668109797,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,65,797.1300000000047,348700.0,258600.00000000003,0.002286005162030412,392258.68199999956,5976.48500000002,0.002032153873397264,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,66,821.9459999999963,348700.0,252399.99999999997,0.00235717235445941,392258.68199999956,5976.48500000002,0.0020954182474920906,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,67,740.3230000000331,348700.0,244100.00000000006,0.002123094350444603,392258.68199999956,5976.48500000002,0.0018873336243964483,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,68,803.2639999999956,348700.0,239900.00000000003,0.0023035962145110285,392258.68199999956,5976.48500000002,0.002047791513254502,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,69,724.1439999999711,348700.0,229700.00000000003,0.002076696300544798,392258.68199999956,5976.48500000002,0.0018460878834033606,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,70,726.8419999999751,348700.0,217500.0,0.002084433610553413,392258.68199999956,5976.48500000002,0.0018529659975759973,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,71,650.3970000000554,348700.0,207100.00000000003,0.0018652050473187709,392258.68199999956,5976.48500000002,0.00165808184712163,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,72,621.9600000000501,348700.0,200000.00000000006,0.0017836535704045026,392258.68199999956,5976.48500000002,0.0015855863197950855,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,73,512.2089999999735,348700.0,193399.99999999997,0.0014689102380268811,392258.68199999956,5976.48500000002,0.0013057939148430984,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,74,521.9209999999439,348700.0,187200.0,0.0014967622598220359,392258.68199999956,5976.48500000002,0.0013305530863940047,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,75,402.6240000000107,348700.0,183900.0,0.0011546429595641259,392258.68199999956,5976.48500000002,0.001026424700014699,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,76,380.5120000000461,348700.0,179200.0,0.0010912302839118041,392258.68199999956,5976.48500000002,0.0009700537361211205,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,77,351.55199999999604,348700.0,150600.0,0.001008178950387141,392258.68199999956,5976.48500000002,0.0008962249049722663,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,78,204.0559999999532,348700.0,137000.0,0.0005851907083451482,392258.68199999956,5976.48500000002,0.000520207733732082,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,79,207.13600000001315,348700.0,130000.00000000001,0.0005940235159162981,392258.68199999956,5976.48500000002,0.0005280596950560635,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,80,159.7049999999872,348700.0,121100.0,0.0004580011471178296,392258.68199999956,5976.48500000002,0.0004071420400071282,0.0,0.0
CA,FA,2023-01-01T00:00:00,F,81,24.868000000016764,348700.0,109900.00000000001,7.131631775169706e-05,392258.68199999956,5976.48500000002,6.339693967568267e-05,0.0,0.0
