province,projection_scenario,timepoint,sex,age,delta_n,n_birth,n,prop_migrants_birth,n_immigrants_timepoint,n_emigrants_timepoint,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,M3,2023-01-01T00:00:00,F,1,3088.1410000000033,367200.0,179300.0,0.008409970043572993,509969.0819999989,12128.08200000002,0.006055545539915712,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,2,2833.6110000000044,367200.0,179700.00000000003,0.007716805555555568,509969.0819999989,12128.08200000002,0.00555643685081287,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,3,2923.8289999999397,367200.0,186200.0,0.00796249727668829,509969.0819999989,12128.08200000002,0.005733345614862091,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,4,2918.6900000000023,367200.0,189800.0,0.007948502178649244,509969.0819999989,12128.08200000002,0.005723268533365732,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,5,3215.2559999999357,367200.0,193899.99999999997,0.008756143790849498,509969.0819999989,12128.08200000002,0.006304805748988411,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,6,3313.6290000000154,367200.0,198000.0,0.0090240441176471,509969.0819999989,12128.08200000002,0.006497705678557239,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,7,3011.970000000001,367200.0,202500.0,0.008202532679738566,509969.0819999989,12128.08200000002,0.005906181582984687,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,8,2812.0720000000147,367200.0,204000.00000000003,0.007658148148148188,509969.0819999989,12128.08200000002,0.005514200956990606,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,9,2612.191999999981,367200.0,205800.0,0.007113812636165525,509969.0819999989,12128.08200000002,0.005122255627253863,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,10,2612.2520000000077,367200.0,206800.0,0.007113976034858409,509969.0819999989,12128.08200000002,0.005122373281445351,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,11,2414.399000000034,367200.0,208100.00000000003,0.006575160675381356,509969.0819999989,12128.08200000002,0.004734402702476067,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,12,2416.399999999994,367200.0,207400.0,0.006580610021786477,509969.0819999989,12128.08200000002,0.004738326469760376,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,13,2520.899999999994,367200.0,211500.00000000003,0.0068651960784313565,509969.0819999989,12128.08200000002,0.00494324085317784,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,14,2725.152000000031,367200.0,212300.00000000003,0.007421437908496816,509969.0819999989,12128.08200000002,0.0053437592516638825,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,15,3829.4560000000056,367200.0,214200.0,0.010428801742919405,509969.0819999989,12128.08200000002,0.007509192488653682,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,16,5537.15200000006,367200.0,211900.00000000003,0.015079389978213672,509969.0819999989,12128.08200000002,0.010857819023624793,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,17,6244.791999999987,367200.0,209799.99999999997,0.017006514161220006,509969.0819999989,12128.08200000002,0.012245432557419236,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,18,11354.864000000001,367200.0,214500.0,0.030922832244008717,509969.0819999989,12128.08200000002,0.022265789046403455,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,19,17563.419999999984,367200.0,228899.99999999997,0.047830664488017385,509969.0819999989,12128.08200000002,0.034440166315808186,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,20,10872.03899999999,367200.0,229099.99999999997,0.0296079493464052,509969.0819999989,12128.08200000002,0.02131901596340308,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,21,5582.584000000032,367200.0,228700.0,0.015203115468409672,509969.0819999989,12128.08200000002,0.010946906777379974,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,22,4093.5599999999977,367200.0,237899.99999999997,0.011148039215686268,509969.0819999989,12128.08200000002,0.008027074864903293,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,23,6003.801999999996,367200.0,247300.0,0.01635022331154683,509969.0819999989,12128.08200000002,0.011772874497517105,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,24,6508.674999999959,367200.0,247900.0,0.017725149782134967,509969.0819999989,12128.08200000002,0.012762881574063687,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,25,6417.360000000044,367200.0,250800.0,0.017476470588235416,509969.0819999989,12128.08200000002,0.012583821699214421,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,26,6223.749999999971,367200.0,253600.0,0.016949210239651336,509969.0819999989,12128.08200000002,0.012204171232482647,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,27,6933.380000000034,367200.0,263300.0,0.018881753812636258,509969.0819999989,12128.08200000002,0.013595686963626648,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,28,6940.669999999955,367200.0,267300.0,0.018901606753812514,509969.0819999989,12128.08200000002,0.01360998194788595,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,29,7049.111999999994,367200.0,268500.0,0.019196928104575146,509969.0819999989,12128.08200000002,0.013822626211680827,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,30,7356.999000000011,367200.0,273300.0,0.020035400326797414,509969.0819999989,12128.08200000002,0.014426362812324428,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,31,7165.675999999978,367200.0,278600.0,0.019514368191721074,509969.0819999989,12128.08200000002,0.01405119693118963,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,32,6377.023999999976,367200.0,282800.0,0.01736662309368185,509969.0819999989,12128.08200000002,0.012504726708118336,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,33,6186.728999999992,367200.0,284700.0,0.016848390522875796,509969.0819999989,12128.08200000002,0.01213157663546357,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,34,6090.260000000009,367200.0,277700.0,0.016585675381263643,509969.0819999989,12128.08200000002,0.01194241026556983,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,35,5598.320000000007,367200.0,273400.0,0.015245969498910694,509969.0819999989,12128.08200000002,0.010977763549987172,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,36,5109.429999999993,367200.0,273400.0,0.01391456971677558,509969.0819999989,12128.08200000002,0.010019097589135814,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,37,4322.957999999984,367200.0,276000.0,0.011772761437908454,509969.0819999989,12128.08200000002,0.008476902135020009,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,38,3836.378999999957,367200.0,275300.0,0.010447655228758053,509969.0819999989,12128.08200000002,0.007522767821442095,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,39,3548.676000000036,367200.0,273600.0,0.009664150326797483,509969.0819999989,12128.08200000002,0.0069586100907977075,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,40,3257.951999999932,367200.0,271700.0,0.00887241830065341,509969.0819999989,12128.08200000002,0.006388528471614165,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,41,2669.3670000000275,367200.0,269100.00000000006,0.007269517973856284,509969.0819999989,12128.08200000002,0.00523437026717638,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,42,2580.3699999999953,367200.0,266800.00000000006,0.007027151416121992,509969.0819999989,12128.08200000002,0.00505985576592269,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,43,2492.65599999993,367200.0,263499.99999999994,0.006788278867102206,509969.0819999989,12128.08200000002,0.004887857103462471,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,44,2201.0179999999527,367200.0,257000.0,0.005994057734204665,509969.0819999989,12128.08200000002,0.004315983218762971,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,45,1911.500000000029,367200.0,250800.00000000003,0.005205610021786572,509969.0819999989,12128.08200000002,0.0037482664488276436,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,46,1729.9730000000563,367200.0,249500.00000000003,0.004711255446623247,509969.0819999989,12128.08200000002,0.00339230957534806,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,47,1450.0299999999697,367200.0,247600.00000000003,0.003948883442265713,509969.0819999989,12128.08200000002,0.0028433684534623863,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,48,1272.0959999999322,367200.0,245700.0,0.0034643137254900115,509969.0819999989,12128.08200000002,0.0024944571051464938,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,49,1193.436000000016,367200.0,240700.00000000003,0.00325009803921573,509969.0819999989,12128.08200000002,0.00234021246017424,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,50,1021.4370000000345,367200.0,238700.0,0.002781691176470682,509969.0819999989,12128.08200000002,0.0020029390722946547,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,51,959.1639999999898,367200.0,240900.00000000003,0.0026121023965141334,509969.0819999989,12128.08200000002,0.0018808277479064738,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,52,816.255999999994,367200.0,248500.00000000003,0.002222919389978197,509969.0819999989,12128.08200000002,0.0016005989947445397,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,53,856.4250000000175,367200.0,247600.00000000003,0.0023323120915033154,509969.0819999989,12128.08200000002,0.0016793665150077065,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,54,799.515000000014,367200.0,244900.00000000006,0.002177328431372587,509969.0819999989,12128.08200000002,0.0015677715144307822,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,55,846.4070000000065,367200.0,242300.00000000003,0.002305029956427033,509969.0819999989,12128.08200000002,0.0016597221868442768,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,56,907.0200000000186,367200.0,244000.00000000003,0.002470098039215737,509969.0819999989,12128.08200000002,0.0017785784119360016,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,57,906.7479999999632,367200.0,255400.0,0.0024693572984748452,509969.0819999989,12128.08200000002,0.0017780450462680504,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,58,835.984999999986,367200.0,271200.0,0.0022766476034858005,509969.0819999989,12128.08200000002,0.001639285653791827,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,59,949.5680000000866,367200.0,278300.0,0.0025859694989109113,509969.0819999989,12128.08200000002,0.0018620109208896877,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,60,952.7760000000708,367200.0,279600.00000000006,0.002594705882353134,509969.0819999989,12128.08200000002,0.0018683014983250942,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,61,1032.131999999925,367200.0,273000.0,0.002810816993463848,509969.0819999989,12128.08200000002,0.002023910931917883,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,62,1056.0299999999115,367200.0,274200.0,0.0028758986928102167,509969.0819999989,12128.08200000002,0.0020707725963667613,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,63,965.567999999912,367200.0,269900.0,0.002629542483659891,509969.0819999989,12128.08200000002,0.0018933853719389092,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,64,971.3950000000186,367200.0,263500.0,0.002645411220043624,509969.0819999989,12128.08200000002,0.0019048115548307314,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,65,997.1300000000047,367200.0,258800.00000000003,0.002715495642701538,509969.0819999989,12128.08200000002,0.001955275398440737,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,66,1021.9459999999381,367200.0,252599.99999999997,0.0027830773420477618,509969.0819999989,12128.08200000002,0.00200393717201848,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,67,840.3229999999458,367200.0,244199.99999999997,0.002288461328975887,509969.0819999989,12128.08200000002,0.0016477920518325612,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,68,803.2639999999956,367200.0,239900.00000000003,0.0021875381263616435,509969.0819999989,12128.08200000002,0.001575122940492297,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,69,724.1439999999711,367200.0,229699.99999999997,0.0019720697167755204,509969.0819999989,12128.08200000002,0.0014199762800521556,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,70,726.841999999946,367200.0,217499.99999999997,0.001979417211328829,509969.0819999989,12128.08200000002,0.001425266796860339,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,71,550.3969999999972,367200.0,207000.0,0.0014989025054466154,509969.0819999989,12128.08200000002,0.0010792752333954206,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,72,521.9599999999919,367200.0,199900.0,0.0014214596949890846,509969.0819999989,12128.08200000002,0.001023513029364382,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,73,510.7720000000263,367200.0,193300.00000000003,0.0013909912854031218,509969.0819999989,12128.08200000002,0.001001574444468042,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,74,420.3280000000086,367200.0,187000.0,0.0011446840958605898,509969.0819999989,12128.08200000002,0.0008242225162975851,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,75,300.85599999997066,367200.0,183700.0,0.0008193246187363036,509969.0819999989,12128.08200000002,0.0005899494903104171,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,76,178.54899999994086,367200.0,178900.0,0.00048624455337674524,509969.0819999989,12128.08200000002,0.0003501173037779205,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,77,149.36999999996624,367200.0,150300.0,0.00040678104575154203,509969.0819999989,12128.08200000002,0.0002929001095795187,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,78,101.62799999996787,367200.0,136800.0,0.00027676470588226544,509969.0819999989,12128.08200000002,0.00019928266945400445,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,79,4.43200000001525,367200.0,129700.00000000001,1.206971677564066e-05,509969.0819999989,12128.08200000002,8.690722940759103e-06,0.0,0.0
CA,M3,2023-01-01T00:00:00,F,80,-43.310000000012224,367200.0,120799.99999999999,-0.0001179466230937152,509969.0819999989,12128.08200000002,0.0,0.003571051053250807,0.0003585264900663264
CA,M3,2023-01-01T00:00:00,F,81,-178.49599999998463,367200.0,109600.00000000001,-0.0004861002178648819,509969.0819999989,12128.08200000002,0.0,0.014717578591568258,0.001628613138685991
CA,M3,2023-01-01T00:00:00,F,82,-116.52000000001863,367200.0,101900.00000000001,-0.00031732026143795923,509969.0819999989,12128.08200000002,0.0,0.009607454830864306,0.001143473994112057
CA,M3,2023-01-01T00:00:00,F,83,-153.47399999998743,367200.0,92100.00000000001,-0.00041795751633983503,509969.0819999989,12128.08200000002,0.0,0.012654432910330518,0.0016663843648207102
CA,M3,2023-01-01T00:00:00,F,84,-295.5179999999964,367200.0,84900.0,-0.0008047875816993365,509969.0819999989,12128.08200000002,0.0,0.024366424963155418,0.003480777385158968
