province,projection_scenario,timepoint,sex,age,delta_n,n_birth,n,prop_migrants_birth,n_immigrants_timepoint,n_emigrants_timepoint,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,SA,2023-01-01T00:00:00,F,1,3235.5989999999583,397000.0,191599.99999999997,0.008150123425692591,588798.4899999991,17962.436000000063,0.005495256959643296,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,2,3033.6300000000047,397000.0,180000.00000000003,0.007641385390428223,588798.4899999991,17962.436000000063,0.005152238077241009,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,3,3123.842000000004,397000.0,186500.00000000003,0.007868619647355175,588798.4899999991,17962.436000000063,0.005305451785380783,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,4,3218.7000000000116,397000.0,190200.0,0.008107556675063002,588798.4899999991,17962.436000000063,0.005466556138756431,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,5,3515.2639999999956,397000.0,194300.0,0.0088545692695214,588798.4899999991,17962.436000000063,0.0059702327021932435,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,6,3513.64300000004,397000.0,198400.0,0.008850486146095819,588798.4899999991,17962.436000000063,0.005967479638067764,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,7,3311.98199999996,397000.0,203000.0,0.008342523929470932,588798.4899999991,17962.436000000063,0.0056249838548328565,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,8,3212.0779999999504,397000.0,204499.99999999997,0.00809087657430718,588798.4899999991,17962.436000000063,0.005455309506653041,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,9,2912.198000000033,397000.0,206200.00000000003,0.007335511335012678,588798.4899999991,17962.436000000063,0.004946001135295095,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,10,2812.2639999999665,397000.0,207199.99999999997,0.007083788413098153,588798.4899999991,17962.436000000063,0.0047762758358975595,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,11,2714.4060000000463,397000.0,208500.00000000003,0.006837294710327573,588798.4899999991,17962.436000000063,0.004610076360759775,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,12,2616.408000000025,397000.0,207700.00000000003,0.006590448362720466,588798.4899999991,17962.436000000063,0.004443639113272911,0.0,0.0
CA,SA,2023-01-01T00:00:00,F,13,2620.9199999999546,397000.0,211799.99999999997,0.006601813602014999,588798.4899999991,17962.436000000063,0.0044513021764032695,0.0,0.0
