province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,past,2001-01-01T00:00:00,F,1,4304.315879999951,0.013103179601453758,0.01724681944415208,0.0,0.0
CA,past,2001-01-01T00:00:00,F,2,3021.6608399999677,0.009198526731081747,0.012107391832252084,0.0,0.0
CA,past,2001-01-01T00:00:00,F,3,2506.6113999999943,0.007630615475472898,0.010043657444688669,0.0,0.0
CA,past,2001-01-01T00:00:00,F,4,3303.726549999992,0.010057189933453859,0.013237591498675505,0.0,0.0
CA,past,2001-01-01T00:00:00,F,5,527.8390000000363,0.0016068451782986488,0.0021149804480851716,0.0,0.0
CA,past,2001-01-01T00:00:00,F,6,1842.2172999999893,0.005608069858201335,0.007381518930249497,0.0,0.0
CA,past,2001-01-01T00:00:00,F,7,1782.4119399999909,0.005426010642507902,0.007141886832032649,0.0,0.0
CA,past,2001-01-01T00:00:00,F,8,1668.8283200000296,0.005080239882615907,0.006686772421156156,0.0,0.0
CA,past,2001-01-01T00:00:00,F,9,1065.3205599999637,0.003243044195632078,0.00426859734756794,0.0,0.0
CA,past,2001-01-01T00:00:00,F,10,1430.516329999955,0.004354771563559623,0.005731888073098524,0.0,0.0
CA,past,2001-01-01T00:00:00,F,11,788.7651999999944,0.0024011555766619615,0.003160476918397207,0.0,0.0
CA,past,2001-01-01T00:00:00,F,12,1801.01979999998,0.005482656608644237,0.007216446044369517,0.0,0.0
CA,past,2001-01-01T00:00:00,F,13,2256.291740000015,0.00686859345985015,0.00904065996501921,0.0,0.0
CA,past,2001-01-01T00:00:00,F,14,1812.664929999999,0.005518106662526558,0.007263106526572327,0.0,0.0
CA,past,2001-01-01T00:00:00,F,15,1923.3916000000027,0.005855180307707303,0.007706773519976699,0.0,0.0
CA,past,2001-01-01T00:00:00,F,16,2288.7297500000277,0.0069673411082090625,0.009170634743170907,0.0,0.0
CA,past,2001-01-01T00:00:00,F,17,2752.946200000035,0.008380506797688952,0.011030688122003193,0.0,0.0
CA,past,2001-01-01T00:00:00,F,18,3126.8843399999896,0.009518847650185359,0.012529008357706097,0.0,0.0
CA,past,2001-01-01T00:00:00,F,19,4525.964080000005,0.01377792008377628,0.018134934208982555,0.0,0.0
CA,past,2001-01-01T00:00:00,F,20,3282.542680000013,0.009992702088927084,0.013152710557963035,0.0,0.0
CA,past,2001-01-01T00:00:00,F,21,3200.228139999992,0.009742120525793445,0.012822887178687995,0.0,0.0
CA,past,2001-01-01T00:00:00,F,22,2917.067449999973,0.008880123990088017,0.011688300073498145,0.0,0.0
CA,past,2001-01-01T00:00:00,F,23,2818.569080000045,0.008580275682356588,0.011293630246679563,0.0,0.0
CA,past,2001-01-01T00:00:00,F,24,2195.435600000026,0.006683335464270355,0.008796817531538733,0.0,0.0
CA,past,2001-01-01T00:00:00,F,25,2221.2257500000123,0.00676184572625379,0.00890015522163581,0.0,0.0
CA,past,2001-01-01T00:00:00,F,26,2147.6109799999977,0.006537747964955213,0.008605190660017007,0.0,0.0
CA,past,2001-01-01T00:00:00,F,27,3400.253870000015,0.010351037979384753,0.01362436359112433,0.0,0.0
CA,past,2001-01-01T00:00:00,F,28,3178.178840000037,0.009674998143040776,0.01273453857543233,0.0,0.0
CA,past,2001-01-01T00:00:00,F,29,3498.970499999996,0.010651550713255024,0.01401990795664261,0.0,0.0
CA,past,2001-01-01T00:00:00,F,30,2185.5637999999453,0.006653283773828275,0.008757262546045853,0.0,0.0
CA,past,2001-01-01T00:00:00,F,31,2671.408000000054,0.008132288565392531,0.010703975433528098,0.0,0.0
CA,past,2001-01-01T00:00:00,F,32,3004.466950000002,0.009146185166243529,0.012038498209051729,0.0,0.0
CA,past,2001-01-01T00:00:00,F,33,2804.9173099999607,0.008538717023750695,0.011238929425724818,0.0,0.0
CA,past,2001-01-01T00:00:00,F,34,2690.3705600000103,0.008190014307719503,0.010779955881440333,0.0,0.0
CA,past,2001-01-01T00:00:00,F,35,2380.876350000035,0.007247853385450069,0.009539853875060606,0.0,0.0
CA,past,2001-01-01T00:00:00,F,36,1398.1739799999632,0.004256315122954949,0.005602296591803838,0.0,0.0
CA,past,2001-01-01T00:00:00,F,37,1583.8556799999787,0.004821566543072259,0.006346298389827899,0.0,0.0
CA,past,2001-01-01T00:00:00,F,38,902.8575000000419,0.002748474857988401,0.0036176295421653476,0.0,0.0
CA,past,2001-01-01T00:00:00,F,39,2290.45564,0.0069725950550086156,0.009177550154130474,0.0,0.0
CA,past,2001-01-01T00:00:00,F,40,781.4404500000528,0.0023788576047052696,0.003131127622424406,0.0,0.0
CA,past,2001-01-01T00:00:00,F,41,949.1147600000841,0.0028892910068375193,0.003802976211286187,0.0,0.0
CA,past,2001-01-01T00:00:00,F,42,1126.44001999998,0.003429103788805823,0.004513494869156056,0.0,0.0
CA,past,2001-01-01T00:00:00,F,43,666.884480000037,0.0020301268211901495,0.0026721171348298017,0.0,0.0
