year,age,sex,n_alive
2001,0,F,4870
2001,0,M,5066
2001,1,F,5172
2001,1,M,5336
2001,2,F,5106
2001,2,M,5532
2001,3,F,5347
2001,3,M,5567
2001,4,F,5445
2001,4,M,5894
2001,5,F,5744
2001,5,M,6132
2001,6,F,5933
2001,6,M,6187
2001,7,F,5944
2001,7,M,6260
2001,8,F,6030
2001,8,M,6414
2001,9,F,6232
2001,9,M,6521
2001,10,F,6360
2001,10,M,6582
2001,11,F,6376
2001,11,M,6631
2001,12,F,6069
2001,12,M,6526
2001,13,F,6078
2001,13,M,6218
2001,14,F,6016
2001,14,M,6441
2001,15,F,6214
2001,15,M,6549
2001,16,F,6220
2001,16,M,6662
2001,17,F,6140
2001,17,M,6763
2001,18,F,6306
2001,18,M,6578
2001,19,F,6237
2001,19,M,6714
2001,20,F,6434
2001,20,M,6678
2001,21,F,6326
2001,21,M,6728
2001,22,F,6265
2001,22,M,6533
2001,23,F,6165
2001,23,M,6397
2001,24,F,6113
2001,24,M,6527
2001,25,F,6228
2001,25,M,6388
2001,26,F,6190
2001,26,M,6444
2001,27,F,6165
2001,27,M,6216
2001,28,F,6125
2001,28,M,6430
2001,29,F,6492
2001,29,M,6396
2001,30,F,6742
2001,30,M,6785
2001,31,F,6787
2001,31,M,6831
2001,32,F,6820
2001,32,M,6710
2001,33,F,6773
2001,33,M,6815
2001,34,F,6842
2001,34,M,7059
2001,35,F,7325
2001,35,M,7418
2001,36,F,7997
2001,36,M,7887
2001,37,F,8267
2001,37,M,8204
2001,38,F,8313
2001,38,M,8387
2001,39,F,8198
2001,39,M,8259
2001,40,F,8311
2001,40,M,8318
2001,41,F,8036
2001,41,M,8407
2001,42,F,7976
2001,42,M,8110
2001,43,F,8011
2001,43,M,7929
2001,44,F,7824
2001,44,M,7814
2001,45,F,7604
2001,45,M,7567
2001,46,F,7565
2001,46,M,7526
2001,47,F,7336
2001,47,M,7247
2001,48,F,7089
2001,48,M,6870
2001,49,F,6770
2001,49,M,6712
2001,50,F,6742
2001,50,M,6512
2001,51,F,6548
2001,51,M,6382
2001,52,F,6514
2001,52,M,6179
2001,53,F,6401
2001,53,M,6302
2001,54,F,6302
2001,54,M,6187
2001,55,F,5521
2001,55,M,5344
2001,56,F,5072
2001,56,M,5056
2001,57,F,4941
2001,57,M,4914
2001,58,F,4788
2001,58,M,4767
2001,59,F,4490
2001,59,M,4383
2001,60,F,4376
2001,60,M,4146
2001,61,F,4091
2001,61,M,3892
2001,62,F,4007
2001,62,M,3742
2001,63,F,3836
2001,63,M,3619
2001,64,F,3691
2001,64,M,3456
2001,65,F,3696
2001,65,M,3439
2001,66,F,3606
2001,66,M,3310
2001,67,F,3467
2001,67,M,3233
2001,68,F,3578
2001,68,M,3191
2001,69,F,3477
2001,69,M,3224
2001,70,F,3452
2001,70,M,3143
2001,71,F,3380
2001,71,M,2973
2001,72,F,3309
2001,72,M,2660
2001,73,F,3226
2001,73,M,2595
2001,74,F,3139
2001,74,M,2381
2001,75,F,3058
2001,75,M,2294
2001,76,F,2899
2001,76,M,2154
2001,77,F,2862
2001,77,M,1927
2001,78,F,2687
2001,78,M,1788
2001,79,F,2557
2001,79,M,1672
2001,80,F,2374
2001,80,M,1471
2001,81,F,2143
2001,81,M,1296
2001,82,F,1830
2001,82,M,985
2001,83,F,1624
2001,83,M,872
2001,84,F,1440
2001,84,M,773
2001,85,F,1371
2001,85,M,664
2001,86,F,1208
2001,86,M,579
2001,87,F,1032
2001,87,M,505
2001,88,F,897
2001,88,M,356
2001,89,F,762
2001,89,M,273
2001,90,F,596
2001,90,M,238
2001,91,F,490
2001,91,M,155
2001,92,F,377
2001,92,M,117
2001,93,F,280
2001,93,M,98
2001,94,F,213
2001,94,M,61
2001,95,F,168
2001,95,M,39
2001,96,F,111
2001,96,M,25
2001,97,F,87
2001,97,M,11
2001,98,F,54
2001,98,M,11
2001,99,F,37
2001,99,M,4
2001,100,F,63
2001,100,M,6
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,4893
2002,0,M,5028
2002,1,F,4939
2002,1,M,5180
2002,2,F,5228
2002,2,M,5393
2002,3,F,5141
2002,3,M,5567
2002,4,F,5385
2002,4,M,5605
2002,5,F,5486
2002,5,M,5934
2002,6,F,5804
2002,6,M,6189
2002,7,F,5992
2002,7,M,6237
2002,8,F,6006
2002,8,M,6333
2002,9,F,6105
2002,9,M,6477
2002,10,F,6307
2002,10,M,6594
2002,11,F,6436
2002,11,M,6671
2002,12,F,6453
2002,12,M,6734
2002,13,F,6131
2002,13,M,6642
2002,14,F,6122
2002,14,M,6293
2002,15,F,6073
2002,15,M,6505
2002,16,F,6269
2002,16,M,6634
2002,17,F,6291
2002,17,M,6747
2002,18,F,6232
2002,18,M,6842
2002,19,F,6426
2002,19,M,6711
2002,20,F,6361
2002,20,M,6812
2002,21,F,6537
2002,21,M,6750
2002,22,F,6397
2002,22,M,6792
2002,23,F,6324
2002,23,M,6565
2002,24,F,6223
2002,24,M,6445
2002,25,F,6170
2002,25,M,6539
2002,26,F,6309
2002,26,M,6408
2002,27,F,6271
2002,27,M,6485
2002,28,F,6240
2002,28,M,6276
2002,29,F,6205
2002,29,M,6521
2002,30,F,6568
2002,30,M,6468
2002,31,F,6806
2002,31,M,6861
2002,32,F,6862
2002,32,M,6901
2002,33,F,6896
2002,33,M,6804
2002,34,F,6838
2002,34,M,6869
2002,35,F,6911
2002,35,M,7132
2002,36,F,7393
2002,36,M,7488
2002,37,F,8078
2002,37,M,7975
2002,38,F,8335
2002,38,M,8276
2002,39,F,8387
2002,39,M,8451
2002,40,F,8244
2002,40,M,8299
2002,41,F,8339
2002,41,M,8347
2002,42,F,8062
2002,42,M,8430
2002,43,F,8000
2002,43,M,8135
2002,44,F,8027
2002,44,M,7942
2002,45,F,7843
2002,45,M,7838
2002,46,F,7623
2002,46,M,7599
2002,47,F,7596
2002,47,M,7561
2002,48,F,7351
2002,48,M,7270
2002,49,F,7099
2002,49,M,6857
2002,50,F,6767
2002,50,M,6701
2002,51,F,6743
2002,51,M,6494
2002,52,F,6550
2002,52,M,6365
2002,53,F,6507
2002,53,M,6155
2002,54,F,6403
