year,age,sex,n_antibiotic_exposure
2001,0,F,3788
2001,0,M,5078
2001,1,F,4184
2001,1,M,5537
2001,2,F,4159
2001,2,M,5957
2001,3,F,4246
2001,3,M,5746
2001,4,F,4510
2001,4,M,6202
2001,5,F,4790
2001,5,M,6415
2001,6,F,4848
2001,6,M,6463
2001,7,F,4926
2001,7,M,6523
2001,8,F,4905
2001,8,M,6709
2001,9,F,5208
2001,9,M,6907
2001,10,F,5273
2001,10,M,6795
2001,11,F,5305
2001,11,M,6979
2001,12,F,4966
2001,12,M,6731
2001,13,F,4944
2001,13,M,6495
2001,14,F,5037
2001,14,M,6810
2001,15,F,5059
2001,15,M,7018
2001,16,F,5146
2001,16,M,7030
2001,17,F,4920
2001,17,M,7122
2001,18,F,5077
2001,18,M,6868
2001,19,F,5114
2001,19,M,7259
2001,20,F,5340
2001,20,M,6910
2001,21,F,5157
2001,21,M,7116
2001,22,F,5186
2001,22,M,6890
2001,23,F,4873
2001,23,M,6773
2001,24,F,4972
2001,24,M,6829
2001,25,F,5118
2001,25,M,6656
2001,26,F,5075
2001,26,M,6752
2001,27,F,5166
2001,27,M,6489
2001,28,F,5058
2001,28,M,6642
2001,29,F,5301
2001,29,M,6697
2001,30,F,5587
2001,30,M,7053
2001,31,F,5578
2001,31,M,7320
2001,32,F,5488
2001,32,M,6940
2001,33,F,5517
2001,33,M,7148
2001,34,F,5683
2001,34,M,7467
2001,35,F,6009
2001,35,M,7774
2001,36,F,6647
2001,36,M,8305
2001,37,F,6901
2001,37,M,8460
2001,38,F,6819
2001,38,M,8738
2001,39,F,6590
2001,39,M,8851
2001,40,F,6695
2001,40,M,8789
2001,41,F,6625
2001,41,M,8889
2001,42,F,6435
2001,42,M,8573
2001,43,F,6579
2001,43,M,8381
2001,44,F,6559
2001,44,M,8199
2001,45,F,6378
2001,45,M,7914
2001,46,F,6078
2001,46,M,7913
2001,47,F,5999
2001,47,M,7566
2001,48,F,5723
2001,48,M,7289
2001,49,F,5554
2001,49,M,7099
2001,50,F,5522
2001,50,M,6867
2001,51,F,5404
2001,51,M,6697
2001,52,F,5351
2001,52,M,6550
2001,53,F,5258
2001,53,M,6587
2001,54,F,5157
2001,54,M,6657
2001,55,F,4472
2001,55,M,5507
2001,56,F,4129
2001,56,M,5244
2001,57,F,4099
2001,57,M,5130
2001,58,F,3919
2001,58,M,4984
2001,59,F,3654
2001,59,M,4676
2001,60,F,3674
2001,60,M,4476
2001,61,F,3300
2001,61,M,4062
2001,62,F,3357
2001,62,M,4018
2001,63,F,3178
2001,63,M,3814
2001,64,F,3098
2001,64,M,3689
2001,65,F,3045
2001,65,M,3734
2001,66,F,3055
2001,66,M,3533
2001,67,F,2901
2001,67,M,3410
2001,68,F,2907
2001,68,M,3473
2001,69,F,2797
2001,69,M,3432
2001,70,F,2809
2001,70,M,3308
2001,71,F,2705
2001,71,M,3177
2001,72,F,2734
2001,72,M,2894
2001,73,F,2682
2001,73,M,2753
2001,74,F,2703
2001,74,M,2573
2001,75,F,2567
2001,75,M,2512
2001,76,F,2498
2001,76,M,2301
2001,77,F,2459
2001,77,M,2101
2001,78,F,2260
2001,78,M,2018
2001,79,F,2217
2001,79,M,1796
2001,80,F,2122
2001,80,M,1680
2001,81,F,1849
2001,81,M,1515
2001,82,F,1584
2001,82,M,1102
2001,83,F,1430
2001,83,M,1042
2001,84,F,1325
2001,84,M,950
2001,85,F,1131
2001,85,M,778
2001,86,F,1106
2001,86,M,720
2001,87,F,964
2001,87,M,612
2001,88,F,873
2001,88,M,470
2001,89,F,738
2001,89,M,353
2001,90,F,565
2001,90,M,286
2001,91,F,461
2001,91,M,202
2001,92,F,399
2001,92,M,152
2001,93,F,282
2001,93,M,129
2001,94,F,218
2001,94,M,97
2001,95,F,186
2001,95,M,57
2001,96,F,130
2001,96,M,32
2001,97,F,99
2001,97,M,29
2001,98,F,64
2001,98,M,19
2001,99,F,30
2001,99,M,9
2001,100,F,57
2001,100,M,15
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,3650
2002,0,M,4687
2002,1,F,53
2002,1,M,111
2002,2,F,54
2002,2,M,54
2002,3,F,24
2002,3,M,52
2002,4,F,39
2002,4,M,32
2002,5,F,32
2002,5,M,45
2002,6,F,52
2002,6,M,76
2002,7,F,53
2002,7,M,50
2002,8,F,48
2002,8,M,80
2002,9,F,64
2002,9,M,72
2002,10,F,56
2002,10,M,89
2002,11,F,73
2002,11,M,101
2002,12,F,49
2002,12,M,111
2002,13,F,61
2002,13,M,108
2002,14,F,31
2002,14,M,71
2002,15,F,58
2002,15,M,66
