year,sex,age,fam_history,abx_exposure,n_asthma,n_no_asthma
2001,0,0,0,0,0,1650
2001,0,0,0,1,0,1157
2001,0,0,0,2,0,507
2001,0,0,0,3,0,148
2001,0,0,1,0,0,657
2001,0,0,1,1,0,514
2001,0,0,1,2,0,186
2001,0,0,1,3,0,35
2001,0,1,0,0,0,1610
2001,0,1,0,1,0,1340
2001,0,1,0,2,0,508
2001,0,1,0,3,0,138
2001,0,1,1,0,0,674
2001,0,1,1,1,0,567
2001,0,1,1,2,0,224
2001,0,1,1,3,0,59
2001,0,2,0,0,0,1619
2001,0,2,0,1,0,1284
2001,0,2,0,2,0,558
2001,0,2,0,3,0,134
2001,0,2,1,0,0,636
2001,0,2,1,1,0,556
2001,0,2,1,2,0,216
2001,0,2,1,3,0,57
2001,0,3,0,0,23,1680
2001,0,3,0,1,65,1279
2001,0,3,0,2,36,530
2001,0,3,0,3,8,125
2001,0,3,1,0,18,723
2001,0,3,1,1,39,483
2001,0,3,1,2,6,216
2001,0,3,1,3,4,62
2001,0,4,0,0,32,1603
2001,0,4,0,1,35,1261
2001,0,4,0,2,23,516
2001,0,4,0,3,9,137
2001,0,4,1,0,26,690
2001,0,4,1,1,37,520
2001,0,4,1,2,14,229
2001,0,4,1,3,3,63
2001,0,5,0,0,22,1732
2001,0,5,0,1,31,1329
2001,0,5,0,2,14,592
2001,0,5,0,3,4,149
2001,0,5,1,0,21,674
2001,0,5,1,1,28,515
2001,0,5,1,2,14,229
2001,0,5,1,3,1,62
2001,0,6,0,0,17,1795
2001,0,6,0,1,19,1372
2001,0,6,0,2,10,588
2001,0,6,0,3,1,147
2001,0,6,1,0,13,721
2001,0,6,1,1,18,545
2001,0,6,1,2,8,217
2001,0,6,1,3,2,73
2001,0,7,0,0,17,1763
2001,0,7,0,1,8,1435
2001,0,7,0,2,8,549
2001,0,7,0,3,0,174
2001,0,7,1,0,32,665
2001,0,7,1,1,15,527
2001,0,7,1,2,6,235
2001,0,7,1,3,1,54
2001,0,8,0,0,19,1821
2001,0,8,0,1,15,1406
2001,0,8,0,2,5,572
2001,0,8,0,3,1,155
2001,0,8,1,0,18,670
2001,0,8,1,1,8,513
2001,0,8,1,2,7,235
2001,0,8,1,3,3,46
2001,0,9,0,0,13,1735
2001,0,9,0,1,6,1471
2001,0,9,0,2,6,628
2001,0,9,0,3,1,174
2001,0,9,1,0,9,655
2001,0,9,1,1,10,575
2001,0,9,1,2,5,237
2001,0,9,1,3,1,57
2001,0,10,0,0,8,1805
2001,0,10,0,1,14,1489
2001,0,10,0,2,6,623
2001,0,10,0,3,0,165
2001,0,10,1,0,6,662
2001,0,10,1,1,12,572
2001,0,10,1,2,5,200
2001,0,10,1,3,1,60
2001,0,11,0,0,16,1782
2001,0,11,0,1,8,1502
2001,0,11,0,2,3,596
2001,0,11,0,3,1,172
2001,0,11,1,0,13,648
2001,0,11,1,1,11,559
2001,0,11,1,2,2,218
2001,0,11,1,3,0,64
2001,0,12,0,0,6,1743
2001,0,12,0,1,3,1408
2001,0,12,0,2,5,578
2001,0,12,0,3,0,154
2001,0,12,1,0,11,583
2001,0,12,1,1,6,523
2001,0,12,1,2,2,205
2001,0,12,1,3,1,50
2001,0,13,0,0,16,1745
2001,0,13,0,1,6,1384
2001,0,13,0,2,4,598
2001,0,13,0,3,0,163
2001,0,13,1,0,6,578
2001,0,13,1,1,3,525
2001,0,13,1,2,8,180
2001,0,13,1,3,0,43
2001,0,14,0,0,6,1674
2001,0,14,0,1,8,1353
2001,0,14,0,2,4,584
2001,0,14,0,3,1,175
2001,0,14,1,0,3,588
2001,0,14,1,1,7,501
2001,0,14,1,2,1,200
2001,0,14,1,3,1,70
2001,0,15,0,0,10,1720
2001,0,15,0,1,6,1397
2001,0,15,0,2,2,599
2001,0,15,0,3,1,162
2001,0,15,1,0,6,665
2001,0,15,1,1,5,484
2001,0,15,1,2,2,186
