year,level,age,sex,prob
2001,0,0,F,0.0
2001,0,0,M,0.0
2001,0,1,F,0.0
2001,0,1,M,0.0
2001,0,2,F,0.0
2001,0,2,M,0.0
2001,0,3,F,86.31321707311561
2001,0,3,M,99.56429470762471
2001,0,4,F,126.9445889989308
2001,0,4,M,197.02739895698167
2001,0,5,F,145.85393744779608
2001,0,5,M,209.40738938127149
2001,0,6,F,154.92133694662843
2001,0,6,M,228.95821613962084
2001,0,7,F,184.36533479197416
2001,0,7,M,252.05865240232137
2001,0,8,F,206.00517467042096
2001,0,8,M,278.3044056613887
2001,0,9,F,249.18368831376605
2001,0,9,M,350.118279453147
2001,0,10,F,278.22924557279094
2001,0,10,M,357.5468283573474
2001,0,11,F,293.9950426483828
2001,0,11,M,428.1912958763757
2001,0,12,F,290.16415756156744
2001,0,12,M,443.7803022861022
2001,0,13,F,312.16457674836045
2001,0,13,M,427.9912798524118
2001,0,14,F,304.3624141551599
2001,0,14,M,449.29006567123275
2001,0,15,F,323.74144915871216
2001,0,15,M,444.0088960407427
2001,0,16,F,333.0274616141529
2001,0,16,M,439.2916671574329
2001,0,17,F,280.1005804393511
2001,0,17,M,418.12899950095016
2001,0,18,F,310.2218826711888
2001,0,18,M,431.4018210134449
2001,0,19,F,328.07319551220536
2001,0,19,M,413.80814944519767
2001,0,20,F,316.1467712766307
2001,0,20,M,381.24033849632343
2001,0,21,F,282.7611160041749
2001,0,21,M,355.2481917863724
2001,0,22,F,266.97846717224184
2001,0,22,M,326.39921129791827
2001,0,23,F,257.2344935863881
2001,0,23,M,281.2802613880292
2001,0,24,F,262.49306096340484
2001,0,24,M,257.9322811846339
2001,0,25,F,226.42643516113787
2001,0,25,M,243.4948753588815
2001,0,26,F,210.99916307180672
2001,0,26,M,217.43970738939228
2001,0,27,F,196.52892093424546
2001,0,27,M,195.49896403770794
2001,0,28,F,185.75957101364708
2001,0,28,M,177.69795704624096
2001,0,29,F,195.78666424985312
2001,0,29,M,161.27275015814286
2001,0,30,F,183.8688648483075
2001,0,30,M,158.03912783195415
2001,0,31,F,177.98720590110673
2001,0,31,M,150.60973937049582
2001,0,32,F,177.80906951516286
2001,0,32,M,138.98097661663118
2001,0,33,F,162.49792047907613
2001,0,33,M,112.9224695786919
2001,0,34,F,153.03335819920073
2001,0,34,M,115.70951612650693
2001,0,35,F,182.48040809666364
2001,0,35,M,117.64082657377465
2001,0,36,F,167.8602797279769
2001,0,36,M,116.68918308004992
2001,0,37,F,181.4086674937367
2001,0,37,M,96.49534937422933
2001,0,38,F,177.7537997710594
2001,0,38,M,116.72194663251692
2001,0,39,F,157.24077583269386
2001,0,39,M,110.68351747895277
2001,0,40,F,169.36230466574273
2001,0,40,M,102.75824451447598
2001,0,41,F,153.08060895161208
2001,0,41,M,101.12056981870572
2001,0,42,F,169.54999782896527
2001,0,42,M,96.66941550589483
2001,0,43,F,151.03178119831904
2001,0,43,M,89.37469354541068
2001,0,44,F,156.80843603843178
2001,0,44,M,79.61631013121911
2001,0,45,F,136.10390766732866
2001,0,45,M,82.51710546282416
2001,0,46,F,127.88068876332223
2001,0,46,M,91.13794665193619
2001,0,47,F,142.01105419310426
2001,0,47,M,74.25351184443126
2001,0,48,F,115.70154209723499
2001,0,48,M,83.66979967689842
2001,0,49,F,135.2398215149343
2001,0,49,M,84.27125389640666
2001,0,50,F,126.33127442779497
2001,0,50,M,85.41453980318923
2001,0,51,F,130.1374519195986
2001,0,51,M,92.0270240946818
2001,0,52,F,142.23410415984281
2001,0,52,M,86.33970172985273
2001,0,53,F,125.17347075939635
2001,0,53,M,96.19796064812601
2001,0,54,F,129.3986126947365
2001,0,54,M,107.86667488528013
2001,0,55,F,110.02021661026716
2001,0,55,M,83.29178888042675
2001,0,56,F,99.7316591738004
2001,0,56,M,81.95270944715458
2001,0,57,F,108.90617516077297
2001,0,57,M,82.59785367185818
2001,0,58,F,106.82603722248291
2001,0,58,M,101.62353607878191
2001,0,59,F,95.72443910221904
2001,0,59,M,90.65975524442563
2001,0,60,F,100.94558995580819
2001,0,60,M,80.99708423337962
2001,0,61,F,89.8518904853171
2001,0,61,M,84.59254670599202
2001,0,62,F,85.60870987724161
2001,0,62,M,83.48339999484496
2001,0,63,F,83.69861358807447
2001,0,63,M,67.71161330514153
2001,0,64,F,74.07414135829204
2001,0,64,M,55.75805746784765
2001,0,65,F,72.13724075344145
2001,0,65,M,61.62017441897547
2001,0,66,F,73.86994632000521
2001,0,66,M,70.09405977906061
2001,0,67,F,87.10988190733096
2001,0,67,M,70.27897739807734
2001,0,68,F,77.17525004902302
2001,0,68,M,72.79992946499155
2001,0,69,F,74.86680645181052
2001,0,69,M,66.68865140108512
2001,0,70,F,70.89780300469187
2001,0,70,M,68.66838250961167
2001,0,71,F,88.05370941066734
2001,0,71,M,48.48957796050534
2001,0,72,F,77.16017509053091
2001,0,72,M,55.4593575267963
2001,0,73,F,68.46025227464376
2001,0,73,M,53.68993754376325
2001,0,74,F,75.45548539667865
2001,0,74,M,50.85965348720988
2001,0,75,F,70.36770443616699
2001,0,75,M,43.830343693844355
2001,0,76,F,59.64802554409554
2001,0,76,M,43.550493178433804
2001,0,77,F,70.93960412376438
2001,0,77,M,47.124867840054605
2001,0,78,F,69.07743128161827
2001,0,78,M,51.01242299553493
2001,0,79,F,64.67909282573858
2001,0,79,M,38.791714866532615
2001,0,80,F,69.73190866962878
2001,0,80,M,46.05327211882287
2001,0,81,F,56.99519100237666
2001,0,81,M,35.61957049615473
2001,0,82,F,52.16083754101344
2001,0,82,M,23.46263772489114
2001,0,83,F,44.669140077685235
2001,0,83,M,29.928304836459017
2001,0,84,F,47.07734233470563
2001,0,84,M,25.53516656209654
2001,0,85,F,35.01926419555831
2001,0,85,M,18.257075172048502
2001,0,86,F,33.0568279463217
2001,0,86,M,14.534637085674936
2001,0,87,F,29.761093086620345
2001,0,87,M,9.43176272768877
2001,0,88,F,21.286685047462818
2001,0,88,M,12.337473483158565
2001,0,89,F,23.27610825199147
2001,0,89,M,9.866269785020124
2001,0,90,F,18.97184242250068
2001,0,90,M,10.411384288550787
2001,0,91,F,12.76048830689388
2001,0,91,M,7.1655960057529136
2001,0,92,F,9.868596123014454
2001,0,92,M,5.1873243080716485
2001,0,93,F,9.692229939596526
2001,0,93,M,2.922855692628326
2001,0,94,F,10.29467969667873
2001,0,94,M,4.368473292837845
2001,0,95,F,7.135852686341869
2001,0,95,M,0.0
2001,0,96,F,5.972341977218182
2001,0,96,M,0.0
2001,0,97,F,2.5152751284696926
2001,0,97,M,0.7155392578401216
2001,0,98,F,2.6159398876269773
2001,0,98,M,0.0
2001,0,99,F,0.8648840235339095
2001,0,99,M,0.0
2001,0,100,F,0.3712227439324957
2001,0,100,M,0.9172602579459825
2001,0,101,F,0.0
2001,0,101,M,0.0
2001,0,102,F,0.0
2001,0,102,M,0.0
2001,0,103,F,0.0
2001,0,103,M,0.0
2001,0,104,F,0.0
2001,0,104,M,0.0
2001,0,105,F,0.0
2001,0,105,M,0.0
2001,0,106,F,0.0
2001,0,106,M,0.0
2001,0,107,F,0.0
2001,0,107,M,0.0
2001,0,108,F,0.0
2001,0,108,M,0.0
2001,0,109,F,0.0
2001,0,109,M,0.0
2001,0,110,F,0.0
2001,0,110,M,0.0
2001,1,0,F,0.0
2001,1,0,M,0.0
2001,1,1,F,0.0
2001,1,1,M,0.0
2001,1,2,F,0.0
2001,1,2,M,0.0
2001,1,3,F,91.63526447507464
2001,1,3,M,126.22549116500338
2001,1,4,F,133.37261049808916
2001,1,4,M,240.95017084459693
2001,1,5,F,158.90781648171077
2001,1,5,M,246.78706741807244
2001,1,6,F,185.6385761163621
2001,1,6,M,281.6407726256524
2001,1,7,F,214.3197435352246
2001,1,7,M,340.58104459902785
2001,1,8,F,248.31181758679983
2001,1,8,M,363.65519481434796
2001,1,9,F,294.82678449131566
2001,1,9,M,446.380399377579
2001,1,10,F,326.8877780324475
2001,1,10,M,483.46345175982646
2001,1,11,F,351.60058256619567
2001,1,11,M,533.3636699161387
2001,1,12,F,361.1072490151429
2001,1,12,M,583.4805719985793
2001,1,13,F,373.10641860663173
2001,1,13,M,579.0237455761783
2001,1,14,F,381.1232335182006
2001,1,14,M,605.14100283065
2001,1,15,F,421.9856708887484
2001,1,15,M,619.2528767574726
2001,1,16,F,401.3862827618904
2001,1,16,M,614.7422518600405
2001,1,17,F,404.41369473410947
2001,1,17,M,622.9955536388738
2001,1,18,F,421.2661277731112
2001,1,18,M,580.0773611719596
2001,1,19,F,421.9113878353912
2001,1,19,M,550.3179398078129
2001,1,20,F,422.29098098967313
2001,1,20,M,514.301037567452
2001,1,21,F,416.7719284641556
2001,1,21,M,484.41250013718786
2001,1,22,F,385.1250539950369
2001,1,22,M,434.7028074061156
2001,1,23,F,373.7581464597255
2001,1,23,M,398.4141982381731
2001,1,24,F,356.0446023197059
2001,1,24,M,362.39437113278603
2001,1,25,F,337.0509310808902
2001,1,25,M,352.3272137892073
2001,1,26,F,299.64878641101376
2001,1,26,M,294.77623074995176
2001,1,27,F,303.6236596905772
2001,1,27,M,270.4317679172675
2001,1,28,F,270.21772424969754
2001,1,28,M,231.41917560232514
2001,1,29,F,295.51643031615845
2001,1,29,M,235.58962070555052
2001,1,30,F,277.90705873646556
2001,1,30,M,215.81349083247665
2001,1,31,F,279.852679324348
2001,1,31,M,222.3940681626943
2001,1,32,F,276.73642888482925
2001,1,32,M,180.84596328266596
2001,1,33,F,261.5535288614332
2001,1,33,M,169.97813856536936
2001,1,34,F,240.89773380367342
2001,1,34,M,161.11716310412072
2001,1,35,F,266.7556193538405
2001,1,35,M,161.17978990775165
2001,1,36,F,277.01207862945546
2001,1,36,M,167.656053373963
2001,1,37,F,287.15456721727287
2001,1,37,M,145.98935300804493
2001,1,38,F,271.81906015256743
2001,1,38,M,155.4445827688585
2001,1,39,F,245.05696548593858
2001,1,39,M,143.79449561257448
2001,1,40,F,273.36688070856354
2001,1,40,M,140.48566921183195
2001,1,41,F,229.16794472216841
2001,1,41,M,135.35041609531888
2001,1,42,F,264.6650764454985
2001,1,42,M,118.99417924585306
2001,1,43,F,243.37857862795948
2001,1,43,M,118.83783100711584
2001,1,44,F,238.58554626461887
2001,1,44,M,111.46100520949835
2001,1,45,F,248.6680220404825
2001,1,45,M,110.91728231666546
2001,1,46,F,239.03223126780577
2001,1,46,M,125.47839645539932
2001,1,47,F,233.06739632073905
2001,1,47,M,94.5551213062091
2001,1,48,F,205.98753418008053
2001,1,48,M,104.3080095531525
2001,1,49,F,216.35170952187974
2001,1,49,M,110.10202815680782
2001,1,50,F,200.83072247669045
2001,1,50,M,105.17959880530354
2001,1,51,F,204.06657136883516
2001,1,51,M,121.22099304076166
2001,1,52,F,200.22389568912104
2001,1,52,M,111.17850541735456
2001,1,53,F,192.60100789039004
2001,1,53,M,121.41076135008687
2001,1,54,F,223.0406600323251
2001,1,54,M,119.41739138030852
2001,1,55,F,188.9065562749615
2001,1,55,M,102.28459389628907
2001,1,56,F,157.32651923600142
2001,1,56,M,108.53706184104644
2001,1,57,F,175.54121171631112
2001,1,57,M,101.69447274065976
2001,1,58,F,171.14959778006906
2001,1,58,M,108.34169852372571
2001,1,59,F,154.60622611812107
2001,1,59,M,96.78984718121005
2001,1,60,F,172.78272660453297
2001,1,60,M,97.3769923542275
2001,1,61,F,161.0334797896434
2001,1,61,M,92.01206845474968
2001,1,62,F,145.79468680077517
2001,1,62,M,91.50335218100692
2001,1,63,F,129.76443789454473
2001,1,63,M,77.65474547712714
2001,1,64,F,130.5676323052834
2001,1,64,M,61.501860748572234
2001,1,65,F,122.58621449420102
2001,1,65,M,62.23410546859988
2001,1,66,F,117.22638210728459
2001,1,66,M,64.59211025472123
2001,1,67,F,128.5811067853849
2001,1,67,M,63.99273400636865
2001,1,68,F,125.3831559298466
2001,1,68,M,67.3039018184362
2001,1,69,F,124.30305271624759
2001,1,69,M,62.18782776120247
2001,1,70,F,105.2808075421264
2001,1,70,M,70.13038829504832
2001,1,71,F,128.63390921667096
2001,1,71,M,50.71989339257005
2001,1,72,F,111.77921638803842
2001,1,72,M,55.48893861747009
2001,1,73,F,101.64433314841966
2001,1,73,M,48.89904134892561
2001,1,74,F,114.98200534436523
2001,1,74,M,39.34512736468848
2001,1,75,F,107.84708993521059
2001,1,75,M,44.6766433969701
2001,1,76,F,94.4775706803083
2001,1,76,M,35.01237075076398
2001,1,77,F,102.84067428296599
2001,1,77,M,35.765325884072524
2001,1,78,F,108.78553521968897
2001,1,78,M,43.894392639138964
2001,1,79,F,89.6852970806417
2001,1,79,M,27.354797576239964
2001,1,80,F,94.43608053715488
2001,1,80,M,31.94384731169328
2001,1,81,F,73.08602065438768
2001,1,81,M,19.263113887353338
2001,1,82,F,65.59935239037686
2001,1,82,M,17.480431704682545
2001,1,83,F,63.62981718955921
2001,1,83,M,17.926436613513715
2001,1,84,F,54.243122294050366
2001,1,84,M,11.68996160326782
2001,1,85,F,50.869182486773894
2001,1,85,M,13.354158825611364
2001,1,86,F,44.9127504248045
2001,1,86,M,9.842721075214891
2001,1,87,F,30.496286333583875
2001,1,87,M,7.426531824026223
2001,1,88,F,30.470370351029118
2001,1,88,M,7.86147973964038
2001,1,89,F,24.207424586615893
2001,1,89,M,7.515445054068581
2001,1,90,F,22.755899808889914
2001,1,90,M,4.5468477045445965
2001,1,91,F,16.55510316851325
2001,1,91,M,4.157598863496195
2001,1,92,F,13.749901348904997
2001,1,92,M,2.5702681571199273
2001,1,93,F,8.318288926657575
2001,1,93,M,0.9808474042193029
2001,1,94,F,8.176911950744728
2001,1,94,M,1.5135448900235742
2001,1,95,F,7.291588971605929
2001,1,95,M,0.0
2001,1,96,F,7.730503080884793
2001,1,96,M,0.0
2001,1,97,F,1.1585867228558668
2001,1,97,M,0.26769387004743983
2001,1,98,F,1.2729407759358686
2001,1,98,M,0.0
2001,1,99,F,1.365883118304291
2001,1,99,M,0.0
2001,1,100,F,0.5610429585311496
2001,1,100,M,0.07888539244501858
2001,1,101,F,0.0
2001,1,101,M,0.0
2001,1,102,F,0.0
2001,1,102,M,0.0
2001,1,103,F,0.0
2001,1,103,M,0.0
2001,1,104,F,0.0
2001,1,104,M,0.0
2001,1,105,F,0.0
2001,1,105,M,0.0
2001,1,106,F,0.0
2001,1,106,M,0.0
2001,1,107,F,0.0
2001,1,107,M,0.0
2001,1,108,F,0.0
2001,1,108,M,0.0
2001,1,109,F,0.0
2001,1,109,M,0.0
2001,1,110,F,0.0
2001,1,110,M,0.0
2001,2,0,F,0.0
2001,2,0,M,0.0
2001,2,1,F,0.0
2001,2,1,M,0.0
2001,2,2,F,0.0
2001,2,2,M,0.0
2001,2,3,F,27.051518451809713
2001,2,3,M,44.21021412737185
2001,2,4,F,38.68280050298005
2001,2,4,M,83.02243019842155
2001,2,5,F,54.238246070493126
2001,2,5,M,88.80554320065623
2001,2,6,F,64.44008693700975
2001,2,6,M,103.40101123472714
2001,2,7,F,60.31492167280116
2001,2,7,M,113.36030299865061
2001,2,8,F,88.68300774277917
2001,2,8,M,136.0403995242626
2001,2,9,F,95.9895271949187
2001,2,9,M,156.50132116927452
2001,2,10,F,108.88297639476177
2001,2,10,M,174.98971988282688
2001,2,11,F,122.40437478542134
2001,2,11,M,197.44503420748543
2001,2,12,F,119.72859342328988
2001,2,12,M,221.73912571531824
2001,2,13,F,123.7290046450074
2001,2,13,M,220.9849745714106
2001,2,14,F,132.51435232663889
2001,2,14,M,218.56893149811683
2001,2,15,F,153.27287995253948
2001,2,15,M,232.73822720178433
2001,2,16,F,147.58625562395704
2001,2,16,M,234.9660809825254
2001,2,17,F,168.48572482653933
2001,2,17,M,250.87544686017696
2001,2,18,F,155.51198955570018
2001,2,18,M,223.52081781459626
2001,2,19,F,160.0154166524041
2001,2,19,M,217.87391074698934
2001,2,20,F,168.56224773369556
2001,2,20,M,200.4586239362248
2001,2,21,F,171.46695553166967
2001,2,21,M,194.33930807643995
2001,2,22,F,149.8964788327217
2001,2,22,M,168.89798129596673
2001,2,23,F,143.00735995388655
2001,2,23,M,163.30554037379787
2001,2,24,F,140.46233671688904
2001,2,24,M,129.6733476825798
2001,2,25,F,134.52263375797213
2001,2,25,M,143.17791085191087
2001,2,26,F,121.35205051717958
2001,2,26,M,107.78406186065571
2001,2,27,F,135.84741937517722
2001,2,27,M,109.0692680450245
2001,2,28,F,106.02270473665544
2001,2,28,M,88.88286735143434
2001,2,29,F,126.69690543398856
2001,2,29,M,90.13762913630651
2001,2,30,F,121.22407641522702
2001,2,30,M,87.14738133556895
2001,2,31,F,128.16011477454526
2001,2,31,M,90.9961924668097
2001,2,32,F,120.45450160000809
2001,2,32,M,58.173060100702756
2001,2,33,F,108.94855065949083
2001,2,33,M,69.09939185593878
2001,2,34,F,101.06890799712603
2001,2,34,M,60.173320769372204
2001,2,35,F,113.76397254949634
2001,2,35,M,58.179383518473614
2001,2,36,F,122.1276416425678
2001,2,36,M,63.654763545986874
2001,2,37,F,128.43676528899084
2001,2,37,M,57.51529761772569
2001,2,38,F,112.42714007637318
2001,2,38,M,58.83347059862469
2001,2,39,F,105.70225868136758
2001,2,39,M,52.521986908472634
2001,2,40,F,127.2708146256938
2001,2,40,M,59.75608627369202
2001,2,41,F,101.75144632621964
2001,2,41,M,53.52901408597541
2001,2,42,F,109.7849257255362
2001,2,42,M,47.33640524825215
2001,2,43,F,116.58964017372143
2001,2,43,M,41.78747544747347
2001,2,44,F,107.60601769694928
2001,2,44,M,43.92268465928259
2001,2,45,F,117.22807029218876
2001,2,45,M,46.565612220510396
2001,2,46,F,119.08707996887213
2001,2,46,M,49.383656892664526
2001,2,47,F,104.92154948615666
2001,2,47,M,35.191366849359746
2001,2,48,F,103.31092372268454
2001,2,48,M,33.022190769949034
2001,2,49,F,95.4084689631859
2001,2,49,M,43.626717946785504
2001,2,50,F,91.83800309551437
2001,2,50,M,36.405861391507266
2001,2,51,F,93.79597671156623
2001,2,51,M,38.75198286455658
2001,2,52,F,84.54200015103618
2001,2,52,M,37.481792852792644
2001,2,53,F,88.2255213502138
2001,2,53,M,42.391278001787185
2001,2,54,F,97.56072727293838
2001,2,54,M,37.71593373441141
2001,2,55,F,86.0732271147712
2001,2,55,M,33.42361722328423
2001,2,56,F,77.94182159019819
2001,2,56,M,34.51022871179895
2001,2,57,F,67.55261312291582
2001,2,57,M,32.707673587481985
2001,2,58,F,66.02436499744822
2001,2,58,M,39.03476539749245
2001,2,59,F,70.66933477965996
2001,2,59,M,31.550397574364226
2001,2,60,F,79.27168343965884
2001,2,60,M,33.62592341239293
2001,2,61,F,75.11462972503948
2001,2,61,M,28.395384839258302
2001,2,62,F,62.596603321983196
2001,2,62,M,27.01324782414819
2001,2,63,F,59.53694851738086
2001,2,63,M,22.6336412177314
2001,2,64,F,52.358226336424536
2001,2,64,M,18.740081783580113
2001,2,65,F,53.27654475235749
2001,2,65,M,22.145720112424623
2001,2,66,F,56.90367157271029
2001,2,66,M,20.313829966218155
2001,2,67,F,50.30901130728419
2001,2,67,M,20.728288595553973
2001,2,68,F,56.4415940211304
2001,2,68,M,16.896168716572287
2001,2,69,F,53.83014083194185
2001,2,69,M,18.123520837712427
2001,2,70,F,48.821389453181624
2001,2,70,M,19.20122919533998
2001,2,71,F,46.312381372661655
2001,2,71,M,16.790528646924614
2001,2,72,F,46.06060852143069
2001,2,72,M,16.051703855733606
2001,2,73,F,44.89541457693652
2001,2,73,M,12.411021107311146
2001,2,74,F,43.56250925895606
2001,2,74,M,8.795219148101628
2001,2,75,F,47.78520562862249
2001,2,75,M,14.493012909185518
2001,2,76,F,33.87440377559614
2001,2,76,M,10.437136070802197
2001,2,77,F,43.21972159326967
2001,2,77,M,7.10980627587289
2001,2,78,F,44.13703349869275
2001,2,78,M,10.09318436532612
2001,2,79,F,34.63561009361971
2001,2,79,M,4.853487557227427
2001,2,80,F,29.83201079321633
2001,2,80,M,7.002880569483851
2001,2,81,F,30.918788343235708
2001,2,81,M,3.1173156164919287
2001,2,82,F,25.239810068609703
2001,2,82,M,5.05693057042631
2001,2,83,F,25.70104273275556
2001,2,83,M,4.145258550027255
2001,2,84,F,15.679535371243984
2001,2,84,M,1.7748718346356378
2001,2,85,F,21.1115533176678
2001,2,85,M,2.388766002340132
2001,2,86,F,15.03042162887379
2001,2,86,M,2.6226418391101727
2001,2,87,F,9.742620579795775
2001,2,87,M,2.141705448285006
2001,2,88,F,13.242944601508082
2001,2,88,M,1.8010467772010545
2001,2,89,F,6.5164671613926375
2001,2,89,M,1.6182851609112925
2001,2,90,F,7.272257768609404
2001,2,90,M,1.0417680069046156
2001,2,91,F,3.6844085245928717
2001,2,91,M,0.6768051307508914
2001,2,92,F,3.3815025280805537
2001,2,92,M,0.24240753480842436
2001,2,93,F,1.9894811337458993
2001,2,93,M,0.09629690315237127
2001,2,94,F,2.5284083525765437
2001,2,94,M,0.11798181713858058
2001,2,95,F,2.572558342052203
2001,2,95,M,0.0
2001,2,96,F,2.297154941897025
2001,2,96,M,0.0
2001,2,97,F,0.3261381486744406
2001,2,97,M,0.016766872112438547
2001,2,98,F,0.11111933643715433
2001,2,98,M,0.0
2001,2,99,F,0.7692328581617994
2001,2,99,M,0.0
2001,2,100,F,0.06773429753635463
2001,2,100,M,0.003854349608998886
2001,2,101,F,0.0
2001,2,101,M,0.0
2001,2,102,F,0.0
2001,2,102,M,0.0
2001,2,103,F,0.0
2001,2,103,M,0.0
2001,2,104,F,0.0
2001,2,104,M,0.0
2001,2,105,F,0.0
2001,2,105,M,0.0
2001,2,106,F,0.0
2001,2,106,M,0.0
2001,2,107,F,0.0
2001,2,107,M,0.0
2001,2,108,F,0.0
2001,2,108,M,0.0
2001,2,109,F,0.0
2001,2,109,M,0.0
2001,2,110,F,0.0
2001,2,110,M,0.0
2002,0,0,F,0.0
2002,0,0,M,0.0
2002,0,1,F,0.0
2002,0,1,M,0.0
2002,0,2,F,0.0
2002,0,2,M,0.0
2002,0,3,F,79.60282123629331
2002,0,3,M,106.56806229696465
2002,0,4,F,125.21203559642031
2002,0,4,M,169.13984768690665
2002,0,5,F,157.6775008630957
2002,0,5,M,256.35867231069363
2002,0,6,F,173.40414771001994
2002,0,6,M,256.08638908232473
2002,0,7,F,180.51036300028065
2002,0,7,M,261.0641148323679
2002,0,8,F,207.13552914059736
2002,0,8,M,286.1087092273276
2002,0,9,F,227.02743777742137
2002,0,9,M,301.2918556886156
2002,0,10,F,272.33220166675727
2002,0,10,M,363.2332060982
2002,0,11,F,288.67636588434334
2002,0,11,M,378.05178887710366
2002,0,12,F,306.86864574256765
2002,0,12,M,439.1165988310741
2002,0,13,F,301.38713533775746
2002,0,13,M,451.9191505377949
2002,0,14,F,318.7968163575759
2002,0,14,M,427.3814468560096
2002,0,15,F,311.4299020625131
2002,0,15,M,442.1775244411216
2002,0,16,F,332.8818541895093
2002,0,16,M,437.5334336535223
2002,0,17,F,343.58187626652756
2002,0,17,M,441.7968103963877
2002,0,18,F,283.44190162717643
2002,0,18,M,418.7392618210473
2002,0,19,F,318.0364965937942
2002,0,19,M,439.5448617077455
2002,0,20,F,332.8210193544035
2002,0,20,M,418.49611210992776
2002,0,21,F,324.0269124153985
2002,0,21,M,384.99447810303343
2002,0,22,F,285.2191140746359
2002,0,22,M,360.18306439900516
2002,0,23,F,265.1684664866354
2002,0,23,M,333.83290318262965
2002,0,24,F,270.16568044332536
2002,0,24,M,284.5198871714098
2002,0,25,F,270.3525284688112
2002,0,25,M,255.5896898306654
2002,0,26,F,230.42401628236112
2002,0,26,M,244.02465462474757
2002,0,27,F,217.47705319558094
2002,0,27,M,222.13315071575175
2002,0,28,F,197.55046916121697
2002,0,28,M,200.40954223125073
2002,0,29,F,191.16448562813747
2002,0,29,M,186.90466220067597
2002,0,30,F,198.7155171735829
2002,0,30,M,172.18649444768596
2002,0,31,F,189.94907931013233
2002,0,31,M,167.70270909664958
2002,0,32,F,186.48628274016284
2002,0,32,M,154.88774866304234
2002,0,33,F,179.17891487040043
2002,0,33,M,147.51746499523708
2002,0,34,F,178.2316714021374
2002,0,34,M,120.06024233354275
2002,0,35,F,167.04915637788758
