year,age,sex,cost
2001,0,F,0.0
2001,0,M,0.0
2001,1,F,0.0
2001,1,M,0.0
2001,2,F,0.0
2001,2,M,0.0
2001,3,F,1980980.2697196268
2001,3,M,2629648.2103588413
2001,4,F,2391911.384192495
2001,4,M,4065677.620943682
2001,5,F,2599399.3301884164
2001,5,M,3880145.2807183852
2001,6,F,2758546.402515576
2001,6,M,4123959.151137726
2001,7,F,2975416.1604737253
2001,7,M,4272744.696430596
2001,8,F,3229525.9806001214
2001,8,M,4668436.313395104
2001,9,F,3647043.864550952
2001,9,M,5528849.243360756
2001,10,F,4089260.765255134
2001,10,M,5663367.328572483
2001,11,F,4394195.044385082
2001,11,M,6433037.270764292
2001,12,F,4296960.939922937
2001,12,M,6716881.2717229705
2001,13,F,4508451.277869588
2001,13,M,6583692.36330063
2001,14,F,4483801.786381623
2001,14,M,6824764.90221303
2001,15,F,4847947.875153986
2001,15,M,6727948.986974515
2001,16,F,4851170.203198655
2001,16,M,6753181.367181377
2001,17,F,4747532.011747461
2001,17,M,6848058.300640902
2001,18,F,4827921.36736745
2001,18,M,6576070.233757494
2001,19,F,5089858.9536478575
2001,19,M,6015769.185927216
2001,20,F,5048787.160951252
2001,20,M,5535812.448739928
2001,21,F,4932841.566309385
2001,21,M,5356346.551697249
2001,22,F,4500507.3375726845
2001,22,M,4839913.829512664
2001,23,F,4638566.448442231
2001,23,M,4525816.2022121735
2001,24,F,4443195.0322387535
2001,24,M,3973718.3577062683
2001,25,F,4114485.612426274
2001,25,M,4015459.2583805197
2001,26,F,3694999.857280453
2001,26,M,3239292.9107555985
2001,27,F,3619262.52882912
2001,27,M,3109862.8173432318
2001,28,F,3304638.7792433673
2001,28,M,2650738.025730969
2001,29,F,3597033.095255035
2001,29,M,2651857.561426662
2001,30,F,3392249.9454502026
2001,30,M,2479735.6771335406
2001,31,F,3397987.6723202392
2001,31,M,2586576.8208366446
2001,32,F,3388232.3927209396
2001,32,M,2034254.1655604022
2001,33,F,3167581.1212821524
2001,33,M,1990351.7478540277
2001,34,F,2944086.993594459
2001,34,M,1834083.0959366877
2001,35,F,3390285.8633758184
2001,35,M,1914345.2829530959
2001,36,F,3478759.9632318905
2001,36,M,1943958.5809724475
2001,37,F,3556309.990814034
2001,37,M,1741522.1618183546
2001,38,F,3283209.7410907024
2001,38,M,1826180.7870872652
2001,39,F,2978151.196490408
2001,39,M,1644056.0917834966
2001,40,F,3282435.902002274
2001,40,M,1647662.6259855623
2001,41,F,2787461.9291062583
2001,41,M,1592220.8759498629
2001,42,F,3205936.435363232
2001,42,M,1501376.2668636667
2001,43,F,3034887.8212595168
2001,43,M,1379088.7870651025
2001,44,F,2942168.6820115526
2001,44,M,1368691.584991606
2001,45,F,3000672.9880334134
2001,45,M,1347822.0361628446
2001,46,F,3065452.0451403908
2001,46,M,1486814.441086341
2001,47,F,2844157.241561212
2001,47,M,1180033.690383709
2001,48,F,2700735.929597829
2001,48,M,1247913.97013591
2001,49,F,2860184.9099707073
2001,49,M,1415795.200079705
2001,50,F,2654058.3158712112
2001,50,M,1308192.759553941
2001,51,F,2549395.529136658
