year,age,sex,n_deaths
2001,0,F,28
2001,0,M,36
2001,1,F,1
2001,1,M,1
2001,2,F,1
2001,2,M,2
2001,3,F,0
2001,3,M,0
2001,4,F,0
2001,4,M,1
2001,5,F,0
2001,5,M,0
2001,6,F,1
2001,6,M,1
2001,7,F,0
2001,7,M,0
2001,8,F,2
2001,8,M,0
2001,9,F,0
2001,9,M,0
2001,10,F,3
2001,10,M,1
2001,11,F,1
2001,11,M,0
2001,12,F,1
2001,12,M,2
2001,13,F,0
2001,13,M,2
2001,14,F,2
2001,14,M,2
2001,15,F,1
2001,15,M,2
2001,16,F,4
2001,16,M,6
2001,17,F,3
2001,17,M,3
2001,18,F,0
2001,18,M,3
2001,19,F,4
2001,19,M,2
2001,20,F,2
2001,20,M,5
2001,21,F,2
2001,21,M,3
2001,22,F,2
2001,22,M,7
2001,23,F,3
2001,23,M,7
2001,24,F,2
2001,24,M,3
2001,25,F,1
2001,25,M,4
2001,26,F,2
2001,26,M,6
2001,27,F,1
2001,27,M,7
2001,28,F,3
2001,28,M,7
2001,29,F,2
2001,29,M,3
2001,30,F,1
2001,30,M,1
2001,31,F,3
2001,31,M,6
2001,32,F,5
2001,32,M,6
2001,33,F,2
2001,33,M,6
2001,34,F,2
2001,34,M,5
2001,35,F,6
2001,35,M,5
2001,36,F,10
2001,36,M,9
2001,37,F,8
2001,37,M,10
2001,38,F,5
2001,38,M,12
2001,39,F,6
2001,39,M,13
2001,40,F,12
2001,40,M,12
2001,41,F,5
2001,41,M,12
2001,42,F,6
2001,42,M,14
2001,43,F,5
2001,43,M,22
2001,44,F,9
2001,44,M,17
2001,45,F,11
2001,45,M,21
2001,46,F,9
2001,46,M,15
2001,47,F,10
2001,47,M,13
2001,48,F,12
2001,48,M,20
2001,49,F,10
2001,49,M,26
2001,50,F,13
2001,50,M,16
2001,51,F,16
2001,51,M,35
2001,52,F,26
2001,52,M,33
2001,53,F,15
2001,53,M,29
2001,54,F,20
2001,54,M,35
2001,55,F,19
2001,55,M,30
2001,56,F,25
2001,56,M,34
2001,57,F,27
2001,57,M,42
2001,58,F,17
2001,58,M,38
2001,59,F,21
2001,59,M,51
2001,60,F,24
2001,60,M,35
2001,61,F,24
2001,61,M,50
2001,62,F,31
2001,62,M,46
2001,63,F,32
2001,63,M,48
2001,64,F,36
2001,64,M,53
2001,65,F,37
2001,65,M,53
2001,66,F,42
2001,66,M,59
2001,67,F,45
2001,67,M,66
2001,68,F,44
2001,68,M,63
2001,69,F,49
2001,69,M,76
2001,70,F,50
2001,70,M,72
2001,71,F,55
2001,71,M,85
2001,72,F,72
2001,72,M,89
2001,73,F,80
2001,73,M,87
2001,74,F,81
2001,74,M,99
2001,75,F,90
2001,75,M,86
2001,76,F,88
2001,76,M,118
2001,77,F,90
2001,77,M,107
2001,78,F,101
2001,78,M,106
2001,79,F,108
2001,79,M,101
2001,80,F,113
2001,80,M,114
2001,81,F,97
2001,81,M,113
2001,82,F,123
2001,82,M,95
2001,83,F,92
2001,83,M,100
2001,84,F,119
2001,84,M,93
2001,85,F,89
2001,85,M,77
2001,86,F,118
2001,86,M,81
2001,87,F,110
2001,87,M,68
2001,88,F,99
2001,88,M,90
2001,89,F,92
2001,89,M,53
2001,90,F,75
2001,90,M,55
2001,91,F,102
2001,91,M,37
2001,92,F,87
2001,92,M,33
2001,93,F,69
2001,93,M,41
2001,94,F,57
2001,94,M,30
2001,95,F,51
2001,95,M,12
2001,96,F,40
2001,96,M,15
2001,97,F,27
2001,97,M,13
2001,98,F,22
2001,98,M,8
2001,99,F,20
2001,99,M,3
2001,100,F,30
2001,100,M,8
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,27
2002,0,M,36
2002,1,F,5
2002,1,M,1
2002,2,F,3
2002,2,M,3
2002,3,F,2
2002,3,M,2
2002,4,F,1
2002,4,M,0
2002,5,F,0
2002,5,M,0
2002,6,F,1
2002,6,M,0
2002,7,F,0
2002,7,M,1
2002,8,F,0
2002,8,M,1
2002,9,F,0
2002,9,M,1
2002,10,F,0
2002,10,M,1
2002,11,F,0
2002,11,M,0
2002,12,F,2
2002,12,M,3
2002,13,F,0
2002,13,M,1
2002,14,F,0
2002,14,M,5
2002,15,F,2
2002,15,M,4
2002,16,F,2
2002,16,M,5
2002,17,F,1
2002,17,M,4
2002,18,F,3
2002,18,M,8
2002,19,F,2
2002,19,M,5
2002,20,F,3
2002,20,M,7
2002,21,F,0
2002,21,M,7
2002,22,F,2
2002,22,M,4
2002,23,F,4
2002,23,M,5
2002,24,F,2
2002,24,M,4
2002,25,F,0
2002,25,M,4
2002,26,F,3
2002,26,M,7
2002,27,F,1
2002,27,M,5
2002,28,F,2
2002,28,M,4
2002,29,F,3
2002,29,M,7
2002,30,F,1
2002,30,M,4
2002,31,F,5
2002,31,M,2
2002,32,F,2
2002,32,M,7
2002,33,F,2
2002,33,M,9
2002,34,F,1
2002,34,M,14
2002,35,F,3
2002,35,M,8
2002,36,F,3
2002,36,M,8
2002,37,F,8
2002,37,M,4
2002,38,F,5
2002,38,M,21
2002,39,F,6
2002,39,M,10
2002,40,F,5
2002,40,M,12
2002,41,F,12
2002,41,M,14
2002,42,F,4
2002,42,M,15
2002,43,F,7
2002,43,M,7
2002,44,F,17
2002,44,M,25
2002,45,F,8
2002,45,M,18
2002,46,F,8
2002,46,M,18
2002,47,F,11
2002,47,M,14
2002,48,F,18
2002,48,M,22
2002,49,F,15
2002,49,M,28
2002,50,F,15
2002,50,M,23
2002,51,F,10
2002,51,M,29
2002,52,F,15
2002,52,M,31
2002,53,F,23
2002,53,M,29
2002,54,F,14
2002,54,M,34
2002,55,F,26
2002,55,M,33
2002,56,F,25
2002,56,M,38
2002,57,F,16
2002,57,M,34
2002,58,F,29
2002,58,M,36
2002,59,F,23
2002,59,M,47
2002,60,F,24
2002,60,M,40
2002,61,F,38
2002,61,M,47
2002,62,F,26
2002,62,M,54
2002,63,F,33
2002,63,M,49
2002,64,F,35
2002,64,M,62
2002,65,F,29
2002,65,M,56
2002,66,F,35
2002,66,M,68
2002,67,F,44
2002,67,M,55
2002,68,F,47
2002,68,M,76
2002,69,F,53
2002,69,M,105
2002,70,F,58
2002,70,M,100
2002,71,F,46
2002,71,M,82
2002,72,F,65
2002,72,M,79
2002,73,F,72
2002,73,M,103
2002,74,F,75
2002,74,M,79
2002,75,F,87
2002,75,M,100
2002,76,F,86
2002,76,M,110
2002,77,F,99
2002,77,M,121
2002,78,F,102
2002,78,M,113
2002,79,F,91
2002,79,M,100
2002,80,F,101
2002,80,M,111
2002,81,F,130
2002,81,M,103
2002,82,F,99
2002,82,M,119
2002,83,F,120
2002,83,M,76
2002,84,F,119
2002,84,M,91
2002,85,F,103
2002,85,M,85
2002,86,F,117
2002,86,M,84
2002,87,F,118
2002,87,M,76
2002,88,F,130
2002,88,M,75
2002,89,F,115
2002,89,M,61
2002,90,F,99
2002,90,M,53
2002,91,F,108
2002,91,M,37
2002,92,F,68
2002,92,M,29
2002,93,F,67
2002,93,M,22
2002,94,F,71
2002,94,M,25
2002,95,F,38
2002,95,M,18
2002,96,F,44
2002,96,M,8
2002,97,F,29
2002,97,M,11
2002,98,F,22
2002,98,M,3
2002,99,F,17
2002,99,M,1
2002,100,F,27
2002,100,M,6
2002,101,F,27
2002,101,M,2
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,24
2003,0,M,26
2003,1,F,1
2003,1,M,2
2003,2,F,1
2003,2,M,1
2003,3,F,1
2003,3,M,3
2003,4,F,2
2003,4,M,1
2003,5,F,1
2003,5,M,1
2003,6,F,0
2003,6,M,2
2003,7,F,2
2003,7,M,3
2003,8,F,0
2003,8,M,2
2003,9,F,0
2003,9,M,2
2003,10,F,2
2003,10,M,1
2003,11,F,0
2003,11,M,1
2003,12,F,0
2003,12,M,1
2003,13,F,1
2003,13,M,1
2003,14,F,1
2003,14,M,3
2003,15,F,2
2003,15,M,7
2003,16,F,2
2003,16,M,2
2003,17,F,3
2003,17,M,5
2003,18,F,1
2003,18,M,4
2003,19,F,2
2003,19,M,4
2003,20,F,3
2003,20,M,3
2003,21,F,0
2003,21,M,4
2003,22,F,1
2003,22,M,8
2003,23,F,2
2003,23,M,6
2003,24,F,0
2003,24,M,5
2003,25,F,2
2003,25,M,4
2003,26,F,4
2003,26,M,4
2003,27,F,5
2003,27,M,7
2003,28,F,0
2003,28,M,4
2003,29,F,3
2003,29,M,7
2003,30,F,2
2003,30,M,2
2003,31,F,3
2003,31,M,9
2003,32,F,3
2003,32,M,5
2003,33,F,4
2003,33,M,4
2003,34,F,6
2003,34,M,5
2003,35,F,3
2003,35,M,6
2003,36,F,8
2003,36,M,9
2003,37,F,4
2003,37,M,8
2003,38,F,7
2003,38,M,17
2003,39,F,14
2003,39,M,6
2003,40,F,7
2003,40,M,12
2003,41,F,9
2003,41,M,9
2003,42,F,8
2003,42,M,15
2003,43,F,8
2003,43,M,12
2003,44,F,13
2003,44,M,22
2003,45,F,10
2003,45,M,21
2003,46,F,9
2003,46,M,17
2003,47,F,13
2003,47,M,23
2003,48,F,18
2003,48,M,17
2003,49,F,24
2003,49,M,16
2003,50,F,16
2003,50,M,19
2003,51,F,16
2003,51,M,26
2003,52,F,16
2003,52,M,30
2003,53,F,18
2003,53,M,25
2003,54,F,20
2003,54,M,29
2003,55,F,18
2003,55,M,31
2003,56,F,29
2003,56,M,45
2003,57,F,21
2003,57,M,52
2003,58,F,27
2003,58,M,39
2003,59,F,25
2003,59,M,39
2003,60,F,19
2003,60,M,53
2003,61,F,24
2003,61,M,43
2003,62,F,35
2003,62,M,61
2003,63,F,24
2003,63,M,55
2003,64,F,38
2003,64,M,47
2003,65,F,32
2003,65,M,44
2003,66,F,34
2003,66,M,59
2003,67,F,39
2003,67,M,59
2003,68,F,49
2003,68,M,80
2003,69,F,55
2003,69,M,70
2003,70,F,71
2003,70,M,76
2003,71,F,69
2003,71,M,82
2003,72,F,61
2003,72,M,89
2003,73,F,67
2003,73,M,86
2003,74,F,78
2003,74,M,82
