year,age,sex,n_exacerbations
2001,0,F,0
2001,0,M,0
2001,1,F,0
2001,1,M,0
2001,2,F,0
2001,2,M,0
2001,3,F,492
2001,3,M,646
2001,4,F,452
2001,4,M,761
2001,5,F,345
2001,5,M,471
2001,6,F,264
2001,6,M,385
2001,7,F,218
2001,7,M,297
2001,8,F,200
2001,8,M,302
2001,9,F,198
2001,9,M,275
2001,10,F,239
2001,10,M,307
2001,11,F,225
2001,11,M,298
2001,12,F,225
2001,12,M,304
2001,13,F,208
2001,13,M,270
2001,14,F,175
2001,14,M,245
2001,15,F,248
2001,15,M,220
2001,16,F,206
2001,16,M,215
2001,17,F,254
2001,17,M,270
2001,18,F,207
2001,18,M,199
2001,19,F,253
2001,19,M,162
2001,20,F,253
2001,20,M,131
2001,21,F,259
2001,21,M,178
2001,22,F,247
2001,22,M,158
2001,23,F,317
2001,23,M,146
2001,24,F,254
2001,24,M,150
2001,25,F,265
2001,25,M,214
2001,26,F,217
2001,26,M,81
2001,27,F,230
2001,27,M,142
2001,28,F,194
2001,28,M,116
2001,29,F,225
2001,29,M,94
2001,30,F,243
2001,30,M,116
2001,31,F,199
2001,31,M,103
2001,32,F,200
2001,32,M,116
2001,33,F,187
2001,33,M,107
2001,34,F,153
2001,34,M,82
2001,35,F,208
2001,35,M,103
2001,36,F,214
2001,36,M,103
2001,37,F,215
2001,37,M,73
2001,38,F,174
2001,38,M,82
2001,39,F,225
2001,39,M,76
2001,40,F,185
2001,40,M,76
2001,41,F,170
2001,41,M,80
2001,42,F,199
2001,42,M,53
2001,43,F,209
2001,43,M,96
2001,44,F,193
2001,44,M,64
2001,45,F,179
2001,45,M,64
2001,46,F,226
2001,46,M,69
2001,47,F,144
2001,47,M,67
2001,48,F,214
2001,48,M,59
2001,49,F,196
2001,49,M,84
2001,50,F,202
2001,50,M,65
2001,51,F,197
2001,51,M,92
2001,52,F,251
2001,52,M,87
2001,53,F,232
2001,53,M,90
2001,54,F,227
2001,54,M,77
2001,55,F,164
2001,55,M,94
2001,56,F,157
2001,56,M,101
2001,57,F,190
2001,57,M,78
2001,58,F,185
2001,58,M,101
2001,59,F,211
2001,59,M,121
2001,60,F,254
2001,60,M,51
2001,61,F,228
2001,61,M,86
2001,62,F,192
2001,62,M,75
2001,63,F,188
2001,63,M,79
2001,64,F,166
2001,64,M,52
2001,65,F,172
2001,65,M,61
2001,66,F,138
2001,66,M,67
2001,67,F,145
2001,67,M,70
2001,68,F,122
2001,68,M,74
2001,69,F,161
2001,69,M,76
2001,70,F,157
2001,70,M,69
2001,71,F,182
2001,71,M,75
2001,72,F,142
2001,72,M,91
2001,73,F,145
2001,73,M,79
2001,74,F,161
2001,74,M,58
2001,75,F,149
2001,75,M,63
2001,76,F,160
2001,76,M,77
2001,77,F,160
2001,77,M,60
2001,78,F,182
2001,78,M,103
2001,79,F,151
2001,79,M,59
2001,80,F,157
2001,80,M,79
2001,81,F,135
2001,81,M,52
2001,82,F,125
2001,82,M,29
2001,83,F,133
2001,83,M,41
2001,84,F,119
2001,84,M,42
2001,85,F,99
2001,85,M,26
2001,86,F,91
2001,86,M,26
2001,87,F,59
2001,87,M,21
2001,88,F,81
2001,88,M,23
2001,89,F,29
2001,89,M,19
2001,90,F,40
2001,90,M,11
2001,91,F,21
2001,91,M,7
2001,92,F,18
2001,92,M,11
2001,93,F,11
2001,93,M,2
2001,94,F,20
2001,94,M,2
2001,95,F,11
2001,95,M,0
2001,96,F,15
2001,96,M,0
2001,97,F,5
2001,97,M,0
2001,98,F,1
2001,98,M,0
2001,99,F,7
2001,99,M,0
2001,100,F,1
2001,100,M,0
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,0
2002,0,M,0
2002,1,F,0
2002,1,M,0
2002,2,F,0
2002,2,M,0
2002,3,F,522
2002,3,M,713
2002,4,F,413
2002,4,M,573
2002,5,F,302
2002,5,M,615
2002,6,F,271
2002,6,M,497
2002,7,F,216
2002,7,M,305
2002,8,F,177
2002,8,M,269
2002,9,F,139
2002,9,M,218
2002,10,F,146
2002,10,M,249
2002,11,F,138
2002,11,M,270
2002,12,F,164
2002,12,M,226
2002,13,F,172
2002,13,M,209
2002,14,F,143
2002,14,M,194
2002,15,F,151
2002,15,M,147
2002,16,F,166
2002,16,M,176
2002,17,F,200
2002,17,M,158
2002,18,F,130
2002,18,M,98
2002,19,F,147
2002,19,M,84
2002,20,F,163
2002,20,M,135
2002,21,F,180
2002,21,M,93
2002,22,F,184
2002,22,M,147
2002,23,F,155
2002,23,M,150
2002,24,F,157
2002,24,M,77
2002,25,F,169
2002,25,M,134
2002,26,F,134
2002,26,M,134
2002,27,F,132
2002,27,M,80
2002,28,F,176
2002,28,M,108
2002,29,F,150
2002,29,M,80
2002,30,F,176
2002,30,M,83
2002,31,F,115
2002,31,M,85
2002,32,F,143
2002,32,M,68
2002,33,F,114
2002,33,M,74
2002,34,F,148
2002,34,M,50
2002,35,F,80
2002,35,M,47
2002,36,F,99
2002,36,M,45
2002,37,F,141
2002,37,M,77
2002,38,F,148
2002,38,M,71
2002,39,F,176
2002,39,M,66
2002,40,F,116
2002,40,M,49
2002,41,F,126
2002,41,M,49
2002,42,F,130
2002,42,M,35
2002,43,F,119
2002,43,M,33
2002,44,F,91
2002,44,M,38
2002,45,F,119
2002,45,M,66
2002,46,F,144
2002,46,M,32
2002,47,F,139
2002,47,M,70
2002,48,F,158
2002,48,M,30
2002,49,F,115
2002,49,M,48
2002,50,F,127
2002,50,M,40
2002,51,F,127
2002,51,M,35
2002,52,F,157
2002,52,M,37
2002,53,F,117
2002,53,M,36
2002,54,F,125
2002,54,M,50
2002,55,F,142
2002,55,M,43
2002,56,F,102
2002,56,M,35
2002,57,F,74
2002,57,M,34
2002,58,F,154
2002,58,M,38
2002,59,F,136
2002,59,M,52
2002,60,F,125
2002,60,M,49
2002,61,F,134
2002,61,M,56
2002,62,F,117
2002,62,M,39
2002,63,F,111
2002,63,M,45
2002,64,F,79
2002,64,M,20
2002,65,F,83
2002,65,M,26
2002,66,F,85
2002,66,M,33
2002,67,F,78
2002,67,M,43
2002,68,F,95
2002,68,M,27
2002,69,F,75
2002,69,M,39
2002,70,F,103
2002,70,M,21
2002,71,F,96
2002,71,M,39
2002,72,F,101
2002,72,M,40
2002,73,F,90
2002,73,M,29
2002,74,F,103
2002,74,M,40
2002,75,F,90
2002,75,M,33
2002,76,F,97
2002,76,M,36
2002,77,F,94
2002,77,M,25
2002,78,F,81
2002,78,M,37
2002,79,F,105
2002,79,M,56
2002,80,F,103
2002,80,M,32
2002,81,F,77
2002,81,M,30
2002,82,F,80
2002,82,M,24
2002,83,F,48
2002,83,M,15
2002,84,F,74
2002,84,M,19
2002,85,F,50
2002,85,M,10
2002,86,F,42
2002,86,M,12
2002,87,F,38
2002,87,M,14
2002,88,F,34
2002,88,M,17
2002,89,F,29
2002,89,M,3
2002,90,F,20
2002,90,M,10
2002,91,F,18
2002,91,M,8
2002,92,F,11
2002,92,M,4
2002,93,F,9
2002,93,M,1
2002,94,F,9
2002,94,M,0
2002,95,F,3
2002,95,M,4
2002,96,F,7
2002,96,M,0
2002,97,F,5
2002,97,M,0
2002,98,F,0
2002,98,M,0
2002,99,F,0
2002,99,M,0
2002,100,F,2
2002,100,M,0
2002,101,F,0
2002,101,M,0
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,0
2003,0,M,0
2003,1,F,0
2003,1,M,0
2003,2,F,0
2003,2,M,0
2003,3,F,519
2003,3,M,651
2003,4,F,422
2003,4,M,649
2003,5,F,344
2003,5,M,469
2003,6,F,242
2003,6,M,435
2003,7,F,185
2003,7,M,285
2003,8,F,165
2003,8,M,258
2003,9,F,184
2003,9,M,185
2003,10,F,133
2003,10,M,238
2003,11,F,100
2003,11,M,149
2003,12,F,113
2003,12,M,165
2003,13,F,115
2003,13,M,184
2003,14,F,134
2003,14,M,155
2003,15,F,138
2003,15,M,146
2003,16,F,157
2003,16,M,118
2003,17,F,186
2003,17,M,147
2003,18,F,137
2003,18,M,120
2003,19,F,145
2003,19,M,121
2003,20,F,133
2003,20,M,132
2003,21,F,198
2003,21,M,120
2003,22,F,178
2003,22,M,136
2003,23,F,188
2003,23,M,133
2003,24,F,179
2003,24,M,126
2003,25,F,192
2003,25,M,105
2003,26,F,151
2003,26,M,128
2003,27,F,132
2003,27,M,111
2003,28,F,149
2003,28,M,124
2003,29,F,137
2003,29,M,97
2003,30,F,156
2003,30,M,79
2003,31,F,155
2003,31,M,94
2003,32,F,125
2003,32,M,81
2003,33,F,158
2003,33,M,73
2003,34,F,132
2003,34,M,66
2003,35,F,167
2003,35,M,54
2003,36,F,104
2003,36,M,50
2003,37,F,102
2003,37,M,66
2003,38,F,122
2003,38,M,50
2003,39,F,154
2003,39,M,50
2003,40,F,152
2003,40,M,58
2003,41,F,149
2003,41,M,70
2003,42,F,146
2003,42,M,52
2003,43,F,150
2003,43,M,43
2003,44,F,116
2003,44,M,31
2003,45,F,128
2003,45,M,55
2003,46,F,141
2003,46,M,50
2003,47,F,136
2003,47,M,51
2003,48,F,139
2003,48,M,28
2003,49,F,120
2003,49,M,29
2003,50,F,127
2003,50,M,48
2003,51,F,107
2003,51,M,60
2003,52,F,122
2003,52,M,50
2003,53,F,120
2003,53,M,53
2003,54,F,152
2003,54,M,72
2003,55,F,129
2003,55,M,47
2003,56,F,132
2003,56,M,49
2003,57,F,113
2003,57,M,21
2003,58,F,112
2003,58,M,42
2003,59,F,115
2003,59,M,34
2003,60,F,95
2003,60,M,57
2003,61,F,112
2003,61,M,52
2003,62,F,109
2003,62,M,32
2003,63,F,90
2003,63,M,29
2003,64,F,93
2003,64,M,50
2003,65,F,88
2003,65,M,33
2003,66,F,77
2003,66,M,29
2003,67,F,71
2003,67,M,22
2003,68,F,69
2003,68,M,23
2003,69,F,78
2003,69,M,41
2003,70,F,83
2003,70,M,19
2003,71,F,78
2003,71,M,36
2003,72,F,64
2003,72,M,40
2003,73,F,75
2003,73,M,43
2003,74,F,71
2003,74,M,46
2003,75,F,76
2003,75,M,37
2003,76,F,83
2003,76,M,26
2003,77,F,64
2003,77,M,36
2003,78,F,79
2003,78,M,30
2003,79,F,78
2003,79,M,16
2003,80,F,115
2003,80,M,44
2003,81,F,68
2003,81,M,32
2003,82,F,66
2003,82,M,29
2003,83,F,71
2003,83,M,14
2003,84,F,64
2003,84,M,21
2003,85,F,46
2003,85,M,13
2003,86,F,58
2003,86,M,8
2003,87,F,32
2003,87,M,16
2003,88,F,28
2003,88,M,4
2003,89,F,28
2003,89,M,5
2003,90,F,22
2003,90,M,8
2003,91,F,17
2003,91,M,10
2003,92,F,14
2003,92,M,5
2003,93,F,9
2003,93,M,7
2003,94,F,11
2003,94,M,1
2003,95,F,3
2003,95,M,0
2003,96,F,2
2003,96,M,1
2003,97,F,3
2003,97,M,0
2003,98,F,2
2003,98,M,0
2003,99,F,0
2003,99,M,0
2003,100,F,0
2003,100,M,0
2003,101,F,4
2003,101,M,0
2003,102,F,0
2003,102,M,1
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,0
2004,0,M,0
2004,1,F,0
2004,1,M,0
2004,2,F,0
2004,2,M,0
2004,3,F,427
2004,3,M,679
2004,4,F,456
2004,4,M,763
2004,5,F,400
2004,5,M,534
2004,6,F,278
2004,6,M,413
2004,7,F,170
2004,7,M,381
2004,8,F,173
2004,8,M,326
2004,9,F,195
2004,9,M,195
2004,10,F,137
2004,10,M,217
2004,11,F,121
2004,11,M,171
2004,12,F,94
2004,12,M,121
2004,13,F,104
2004,13,M,154
2004,14,F,102
2004,14,M,145
2004,15,F,111
2004,15,M,112
2004,16,F,172
2004,16,M,91
2004,17,F,157
2004,17,M,71
2004,18,F,96
2004,18,M,73
2004,19,F,99
2004,19,M,57
2004,20,F,113
2004,20,M,124
2004,21,F,115
2004,21,M,109
2004,22,F,165
2004,22,M,113
2004,23,F,169
2004,23,M,120
2004,24,F,136
2004,24,M,82
2004,25,F,113
2004,25,M,94
2004,26,F,129
2004,26,M,90
2004,27,F,115
2004,27,M,104
2004,28,F,147
2004,28,M,93
2004,29,F,88
2004,29,M,109
2004,30,F,105
2004,30,M,49
2004,31,F,102
2004,31,M,93
2004,32,F,106
2004,32,M,79
2004,33,F,110
2004,33,M,99
2004,34,F,137
2004,34,M,48
