year,severity,age,sex,p_exacerbations
2001,0,0,F,0.0
2001,0,0,M,0.0
2001,0,1,F,0.0
2001,0,1,M,0.0
2001,0,2,F,0.0
2001,0,2,M,0.0
2001,0,3,F,249.0
2001,0,3,M,315.0
2001,0,4,F,232.0
2001,0,4,M,391.0
2001,0,5,F,169.0
2001,0,5,M,232.0
2001,0,6,F,133.0
2001,0,6,M,211.0
2001,0,7,F,107.0
2001,0,7,M,159.0
2001,0,8,F,100.0
2001,0,8,M,143.0
2001,0,9,F,103.0
2001,0,9,M,132.0
2001,0,10,F,114.0
2001,0,10,M,161.0
2001,0,11,F,107.0
2001,0,11,M,158.0
2001,0,12,F,106.0
2001,0,12,M,171.0
2001,0,13,F,88.0
2001,0,13,M,125.0
2001,0,14,F,90.0
2001,0,14,M,118.0
2001,0,15,F,123.0
2001,0,15,M,114.0
2001,0,16,F,104.0
2001,0,16,M,104.0
2001,0,17,F,137.0
2001,0,17,M,143.0
2001,0,18,F,101.0
2001,0,18,M,100.0
2001,0,19,F,124.0
2001,0,19,M,80.0
2001,0,20,F,130.0
2001,0,20,M,66.0
2001,0,21,F,135.0
2001,0,21,M,98.0
2001,0,22,F,137.0
2001,0,22,M,83.0
2001,0,23,F,150.0
2001,0,23,M,80.0
2001,0,24,F,130.0
2001,0,24,M,80.0
2001,0,25,F,132.0
2001,0,25,M,116.0
2001,0,26,F,107.0
2001,0,26,M,42.0
2001,0,27,F,128.0
2001,0,27,M,68.0
2001,0,28,F,100.0
2001,0,28,M,58.0
2001,0,29,F,116.0
2001,0,29,M,50.0
2001,0,30,F,134.0
2001,0,30,M,58.0
2001,0,31,F,98.0
2001,0,31,M,52.0
2001,0,32,F,97.0
2001,0,32,M,63.0
2001,0,33,F,78.0
2001,0,33,M,48.0
2001,0,34,F,79.0
2001,0,34,M,49.0
2001,0,35,F,94.0
2001,0,35,M,43.0
2001,0,36,F,88.0
2001,0,36,M,45.0
2001,0,37,F,118.0
2001,0,37,M,36.0
2001,0,38,F,97.0
2001,0,38,M,50.0
2001,0,39,F,111.0
2001,0,39,M,43.0
2001,0,40,F,98.0
2001,0,40,M,42.0
2001,0,41,F,82.0
2001,0,41,M,41.0
2001,0,42,F,91.0
2001,0,42,M,24.0
2001,0,43,F,107.0
2001,0,43,M,50.0
2001,0,44,F,95.0
2001,0,44,M,31.0
2001,0,45,F,94.0
2001,0,45,M,36.0
2001,0,46,F,108.0
2001,0,46,M,34.0
2001,0,47,F,66.0
2001,0,47,M,30.0
2001,0,48,F,100.0
2001,0,48,M,29.0
2001,0,49,F,89.0
2001,0,49,M,45.0
2001,0,50,F,96.0
2001,0,50,M,32.0
2001,0,51,F,109.0
2001,0,51,M,52.0
2001,0,52,F,126.0
2001,0,52,M,38.0
2001,0,53,F,106.0
2001,0,53,M,35.0
2001,0,54,F,117.0
2001,0,54,M,35.0
2001,0,55,F,73.0
2001,0,55,M,42.0
2001,0,56,F,74.0
2001,0,56,M,54.0
2001,0,57,F,95.0
2001,0,57,M,37.0
2001,0,58,F,97.0
2001,0,58,M,59.0
2001,0,59,F,100.0
2001,0,59,M,67.0
2001,0,60,F,141.0
2001,0,60,M,28.0
2001,0,61,F,108.0
2001,0,61,M,37.0
2001,0,62,F,93.0
2001,0,62,M,37.0
2001,0,63,F,90.0
2001,0,63,M,35.0
2001,0,64,F,80.0
2001,0,64,M,25.0
2001,0,65,F,84.0
2001,0,65,M,32.0
2001,0,66,F,71.0
2001,0,66,M,40.0
2001,0,67,F,70.0
2001,0,67,M,35.0
2001,0,68,F,59.0
2001,0,68,M,39.0
2001,0,69,F,76.0
2001,0,69,M,37.0
2001,0,70,F,84.0
2001,0,70,M,31.0
2001,0,71,F,95.0
2001,0,71,M,42.0
2001,0,72,F,68.0
2001,0,72,M,44.0
2001,0,73,F,73.0
2001,0,73,M,39.0
2001,0,74,F,79.0
2001,0,74,M,33.0
2001,0,75,F,64.0
2001,0,75,M,34.0
2001,0,76,F,80.0
2001,0,76,M,41.0
2001,0,77,F,83.0
2001,0,77,M,27.0
2001,0,78,F,91.0
2001,0,78,M,49.0
2001,0,79,F,75.0
2001,0,79,M,31.0
2001,0,80,F,79.0
2001,0,80,M,41.0
2001,0,81,F,70.0
2001,0,81,M,26.0
2001,0,82,F,46.0
2001,0,82,M,14.0
2001,0,83,F,75.0
2001,0,83,M,17.0
2001,0,84,F,67.0
2001,0,84,M,18.0
2001,0,85,F,56.0
2001,0,85,M,14.0
2001,0,86,F,46.0
2001,0,86,M,11.0
2001,0,87,F,27.0
2001,0,87,M,9.0
2001,0,88,F,35.0
2001,0,88,M,12.0
2001,0,89,F,12.0
2001,0,89,M,9.0
2001,0,90,F,16.0
2001,0,90,M,4.0
2001,0,91,F,12.0
2001,0,91,M,2.0
2001,0,92,F,10.0
2001,0,92,M,9.0
2001,0,93,F,4.0
2001,0,93,M,2.0
2001,0,94,F,10.0
2001,0,94,M,2.0
2001,0,95,F,7.0
2001,0,95,M,0.0
2001,0,96,F,8.0
2001,0,96,M,0.0
2001,0,97,F,3.0
2001,0,97,M,0.0
2001,0,98,F,1.0
2001,0,98,M,0.0
2001,0,99,F,5.0
2001,0,99,M,0.0
2001,0,100,F,1.0
2001,0,100,M,0.0
2001,0,101,F,0.0
2001,0,101,M,0.0
2001,0,102,F,0.0
2001,0,102,M,0.0
2001,0,103,F,0.0
2001,0,103,M,0.0
2001,0,104,F,0.0
2001,0,104,M,0.0
2001,0,105,F,0.0
2001,0,105,M,0.0
2001,0,106,F,0.0
2001,0,106,M,0.0
2001,0,107,F,0.0
2001,0,107,M,0.0
2001,0,108,F,0.0
2001,0,108,M,0.0
2001,0,109,F,0.0
2001,0,109,M,0.0
2001,0,110,F,0.0
2001,0,110,M,0.0
2001,1,0,F,0.0
2001,1,0,M,0.0
2001,1,1,F,0.0
2001,1,1,M,0.0
2001,1,2,F,0.0
2001,1,2,M,0.0
2001,1,3,F,80.0
2001,1,3,M,126.0
2001,1,4,F,78.0
2001,1,4,M,153.0
2001,1,5,F,71.0
2001,1,5,M,111.0
2001,1,6,F,46.0
2001,1,6,M,64.0
2001,1,7,F,47.0
2001,1,7,M,52.0
2001,1,8,F,40.0
2001,1,8,M,64.0
2001,1,9,F,34.0
2001,1,9,M,54.0
2001,1,10,F,56.0
2001,1,10,M,59.0
2001,1,11,F,46.0
2001,1,11,M,50.0
2001,1,12,F,43.0
2001,1,12,M,54.0
2001,1,13,F,42.0
2001,1,13,M,69.0
2001,1,14,F,31.0
2001,1,14,M,41.0
2001,1,15,F,58.0
2001,1,15,M,40.0
2001,1,16,F,36.0
2001,1,16,M,39.0
2001,1,17,F,47.0
2001,1,17,M,40.0
2001,1,18,F,42.0
2001,1,18,M,38.0
2001,1,19,F,48.0
2001,1,19,M,34.0
2001,1,20,F,42.0
2001,1,20,M,32.0
2001,1,21,F,48.0
2001,1,21,M,30.0
2001,1,22,F,39.0
2001,1,22,M,31.0
2001,1,23,F,60.0
2001,1,23,M,24.0
2001,1,24,F,40.0
2001,1,24,M,29.0
2001,1,25,F,59.0
2001,1,25,M,35.0
2001,1,26,F,44.0
2001,1,26,M,23.0
2001,1,27,F,42.0
2001,1,27,M,26.0
2001,1,28,F,42.0
2001,1,28,M,24.0
2001,1,29,F,38.0
2001,1,29,M,19.0
2001,1,30,F,39.0
2001,1,30,M,24.0
2001,1,31,F,39.0
2001,1,31,M,16.0
2001,1,32,F,45.0
2001,1,32,M,24.0
2001,1,33,F,40.0
2001,1,33,M,26.0
2001,1,34,F,26.0
2001,1,34,M,11.0
2001,1,35,F,37.0
2001,1,35,M,21.0
2001,1,36,F,42.0
2001,1,36,M,19.0
2001,1,37,F,31.0
2001,1,37,M,14.0
2001,1,38,F,32.0
2001,1,38,M,12.0
2001,1,39,F,50.0
2001,1,39,M,17.0
2001,1,40,F,36.0
2001,1,40,M,18.0
2001,1,41,F,34.0
2001,1,41,M,12.0
2001,1,42,F,40.0
2001,1,42,M,10.0
2001,1,43,F,44.0
2001,1,43,M,14.0
2001,1,44,F,44.0
2001,1,44,M,12.0
2001,1,45,F,29.0
2001,1,45,M,12.0
2001,1,46,F,38.0
2001,1,46,M,16.0
2001,1,47,F,31.0
2001,1,47,M,16.0
2001,1,48,F,43.0
2001,1,48,M,11.0
2001,1,49,F,36.0
2001,1,49,M,13.0
2001,1,50,F,40.0
2001,1,50,M,13.0
2001,1,51,F,43.0
2001,1,51,M,12.0
2001,1,52,F,42.0
2001,1,52,M,17.0
2001,1,53,F,49.0
2001,1,53,M,26.0
2001,1,54,F,38.0
2001,1,54,M,16.0
2001,1,55,F,36.0
2001,1,55,M,21.0
2001,1,56,F,31.0
2001,1,56,M,16.0
2001,1,57,F,40.0
2001,1,57,M,20.0
2001,1,58,F,37.0
2001,1,58,M,13.0
2001,1,59,F,41.0
2001,1,59,M,16.0
2001,1,60,F,51.0
2001,1,60,M,6.0
2001,1,61,F,47.0
2001,1,61,M,25.0
2001,1,62,F,44.0
2001,1,62,M,15.0
2001,1,63,F,34.0
2001,1,63,M,14.0
2001,1,64,F,28.0
2001,1,64,M,9.0
2001,1,65,F,33.0
2001,1,65,M,17.0
2001,1,66,F,23.0
2001,1,66,M,11.0
2001,1,67,F,27.0
2001,1,67,M,15.0
2001,1,68,F,21.0
2001,1,68,M,16.0
2001,1,69,F,34.0
2001,1,69,M,12.0
2001,1,70,F,24.0
2001,1,70,M,10.0
2001,1,71,F,29.0
2001,1,71,M,10.0
2001,1,72,F,26.0
2001,1,72,M,12.0
2001,1,73,F,29.0
2001,1,73,M,17.0
2001,1,74,F,24.0
2001,1,74,M,13.0
2001,1,75,F,37.0
2001,1,75,M,12.0
2001,1,76,F,28.0
2001,1,76,M,11.0
2001,1,77,F,31.0
2001,1,77,M,12.0
2001,1,78,F,34.0
2001,1,78,M,27.0
2001,1,79,F,33.0
2001,1,79,M,6.0
2001,1,80,F,28.0
2001,1,80,M,13.0
2001,1,81,F,22.0
2001,1,81,M,10.0
2001,1,82,F,32.0
2001,1,82,M,5.0
2001,1,83,F,21.0
2001,1,83,M,8.0
2001,1,84,F,19.0
2001,1,84,M,12.0
2001,1,85,F,18.0
2001,1,85,M,8.0
2001,1,86,F,17.0
2001,1,86,M,7.0
2001,1,87,F,8.0
2001,1,87,M,5.0
2001,1,88,F,19.0
2001,1,88,M,1.0
2001,1,89,F,6.0
2001,1,89,M,3.0
2001,1,90,F,7.0
2001,1,90,M,4.0
2001,1,91,F,3.0
2001,1,91,M,1.0
2001,1,92,F,4.0
2001,1,92,M,0.0
2001,1,93,F,1.0
2001,1,93,M,0.0
2001,1,94,F,6.0
2001,1,94,M,0.0
2001,1,95,F,2.0
2001,1,95,M,0.0
2001,1,96,F,3.0
2001,1,96,M,0.0
2001,1,97,F,1.0
2001,1,97,M,0.0
2001,1,98,F,0.0
2001,1,98,M,0.0
2001,1,99,F,0.0
2001,1,99,M,0.0
2001,1,100,F,0.0
2001,1,100,M,0.0
2001,1,101,F,0.0
2001,1,101,M,0.0
2001,1,102,F,0.0
2001,1,102,M,0.0
2001,1,103,F,0.0
2001,1,103,M,0.0
2001,1,104,F,0.0
2001,1,104,M,0.0
2001,1,105,F,0.0
2001,1,105,M,0.0
2001,1,106,F,0.0
2001,1,106,M,0.0
2001,1,107,F,0.0
2001,1,107,M,0.0
2001,1,108,F,0.0
2001,1,108,M,0.0
2001,1,109,F,0.0
2001,1,109,M,0.0
2001,1,110,F,0.0
2001,1,110,M,0.0
2001,2,0,F,0.0
2001,2,0,M,0.0
2001,2,1,F,0.0
2001,2,1,M,0.0
2001,2,2,F,0.0
2001,2,2,M,0.0
2001,2,3,F,148.0
2001,2,3,M,182.0
2001,2,4,F,130.0
2001,2,4,M,201.0
2001,2,5,F,99.0
2001,2,5,M,119.0
2001,2,6,F,77.0
2001,2,6,M,101.0
2001,2,7,F,52.0
2001,2,7,M,79.0
2001,2,8,F,56.0
2001,2,8,M,88.0
2001,2,9,F,56.0
2001,2,9,M,80.0
2001,2,10,F,64.0
2001,2,10,M,79.0
2001,2,11,F,68.0
2001,2,11,M,83.0
2001,2,12,F,70.0
2001,2,12,M,72.0
2001,2,13,F,69.0
2001,2,13,M,67.0
2001,2,14,F,49.0
2001,2,14,M,78.0
2001,2,15,F,63.0
2001,2,15,M,61.0
2001,2,16,F,56.0
2001,2,16,M,69.0
2001,2,17,F,62.0
2001,2,17,M,77.0
2001,2,18,F,58.0
2001,2,18,M,48.0
2001,2,19,F,75.0
2001,2,19,M,44.0
2001,2,20,F,75.0
2001,2,20,M,31.0
2001,2,21,F,65.0
2001,2,21,M,48.0
2001,2,22,F,66.0
2001,2,22,M,40.0
2001,2,23,F,93.0
2001,2,23,M,38.0
2001,2,24,F,80.0
2001,2,24,M,38.0
2001,2,25,F,63.0
2001,2,25,M,58.0
2001,2,26,F,64.0
2001,2,26,M,15.0
2001,2,27,F,57.0
2001,2,27,M,42.0
2001,2,28,F,46.0
2001,2,28,M,34.0
2001,2,29,F,66.0
2001,2,29,M,21.0
2001,2,30,F,65.0
2001,2,30,M,31.0
2001,2,31,F,57.0
2001,2,31,M,32.0
2001,2,32,F,54.0
2001,2,32,M,28.0
2001,2,33,F,62.0
2001,2,33,M,30.0
2001,2,34,F,42.0
2001,2,34,M,22.0
2001,2,35,F,70.0
2001,2,35,M,38.0
2001,2,36,F,75.0
2001,2,36,M,38.0
2001,2,37,F,59.0
2001,2,37,M,22.0
2001,2,38,F,42.0
2001,2,38,M,20.0
2001,2,39,F,59.0
2001,2,39,M,16.0
2001,2,40,F,46.0
2001,2,40,M,15.0
2001,2,41,F,54.0
2001,2,41,M,26.0
2001,2,42,F,62.0
2001,2,42,M,17.0
2001,2,43,F,53.0
2001,2,43,M,31.0
2001,2,44,F,48.0
2001,2,44,M,17.0
2001,2,45,F,51.0
2001,2,45,M,15.0
2001,2,46,F,75.0
2001,2,46,M,16.0
2001,2,47,F,44.0
2001,2,47,M,19.0
2001,2,48,F,60.0
2001,2,48,M,18.0
2001,2,49,F,60.0
2001,2,49,M,24.0
2001,2,50,F,57.0
2001,2,50,M,17.0
2001,2,51,F,41.0
2001,2,51,M,27.0
2001,2,52,F,75.0
2001,2,52,M,30.0
2001,2,53,F,73.0
2001,2,53,M,24.0
2001,2,54,F,69.0
2001,2,54,M,24.0
2001,2,55,F,54.0
2001,2,55,M,25.0
2001,2,56,F,46.0
2001,2,56,M,30.0
2001,2,57,F,50.0
2001,2,57,M,18.0
2001,2,58,F,46.0
2001,2,58,M,25.0
2001,2,59,F,62.0
2001,2,59,M,34.0
2001,2,60,F,58.0
2001,2,60,M,17.0
2001,2,61,F,65.0
2001,2,61,M,22.0
2001,2,62,F,51.0
2001,2,62,M,19.0
2001,2,63,F,63.0
2001,2,63,M,25.0
2001,2,64,F,53.0
2001,2,64,M,18.0
2001,2,65,F,52.0
2001,2,65,M,11.0
2001,2,66,F,42.0
2001,2,66,M,13.0
2001,2,67,F,47.0
2001,2,67,M,18.0
2001,2,68,F,41.0
2001,2,68,M,16.0
2001,2,69,F,47.0
2001,2,69,M,22.0
2001,2,70,F,46.0
2001,2,70,M,27.0
2001,2,71,F,48.0
2001,2,71,M,23.0
2001,2,72,F,45.0
2001,2,72,M,31.0
2001,2,73,F,42.0
2001,2,73,M,22.0
2001,2,74,F,54.0
2001,2,74,M,11.0
2001,2,75,F,44.0
2001,2,75,M,14.0
2001,2,76,F,50.0
2001,2,76,M,24.0
2001,2,77,F,42.0
2001,2,77,M,20.0
2001,2,78,F,52.0
2001,2,78,M,23.0
2001,2,79,F,38.0
2001,2,79,M,16.0
2001,2,80,F,44.0
2001,2,80,M,24.0
2001,2,81,F,40.0
2001,2,81,M,14.0
2001,2,82,F,42.0
2001,2,82,M,8.0
2001,2,83,F,33.0
2001,2,83,M,16.0
2001,2,84,F,31.0
2001,2,84,M,12.0
2001,2,85,F,25.0
2001,2,85,M,4.0
2001,2,86,F,26.0
2001,2,86,M,8.0
2001,2,87,F,21.0
2001,2,87,M,7.0
2001,2,88,F,22.0
2001,2,88,M,8.0
2001,2,89,F,11.0
2001,2,89,M,5.0
2001,2,90,F,17.0
2001,2,90,M,3.0
2001,2,91,F,6.0
2001,2,91,M,4.0
2001,2,92,F,4.0
2001,2,92,M,2.0
2001,2,93,F,5.0
2001,2,93,M,0.0
2001,2,94,F,3.0
2001,2,94,M,0.0
2001,2,95,F,2.0
2001,2,95,M,0.0
2001,2,96,F,4.0
2001,2,96,M,0.0
2001,2,97,F,1.0
2001,2,97,M,0.0
2001,2,98,F,0.0
2001,2,98,M,0.0
2001,2,99,F,2.0
2001,2,99,M,0.0
2001,2,100,F,0.0
2001,2,100,M,0.0
2001,2,101,F,0.0
2001,2,101,M,0.0
2001,2,102,F,0.0
2001,2,102,M,0.0
2001,2,103,F,0.0
2001,2,103,M,0.0
2001,2,104,F,0.0
2001,2,104,M,0.0
2001,2,105,F,0.0
2001,2,105,M,0.0
2001,2,106,F,0.0
2001,2,106,M,0.0
2001,2,107,F,0.0
2001,2,107,M,0.0
2001,2,108,F,0.0
2001,2,108,M,0.0
2001,2,109,F,0.0
2001,2,109,M,0.0
2001,2,110,F,0.0
2001,2,110,M,0.0
2001,3,0,F,0.0
2001,3,0,M,0.0
2001,3,1,F,0.0
2001,3,1,M,0.0
2001,3,2,F,0.0
2001,3,2,M,0.0
2001,3,3,F,15.0
2001,3,3,M,23.0
2001,3,4,F,12.0
2001,3,4,M,16.0
2001,3,5,F,6.0
2001,3,5,M,9.0
2001,3,6,F,8.0
2001,3,6,M,9.0
2001,3,7,F,12.0
2001,3,7,M,7.0
2001,3,8,F,4.0
2001,3,8,M,7.0
2001,3,9,F,5.0
2001,3,9,M,9.0
2001,3,10,F,5.0
2001,3,10,M,8.0
2001,3,11,F,4.0
2001,3,11,M,7.0
2001,3,12,F,6.0
2001,3,12,M,7.0
2001,3,13,F,9.0
2001,3,13,M,9.0
2001,3,14,F,5.0
2001,3,14,M,8.0
2001,3,15,F,4.0
2001,3,15,M,5.0
2001,3,16,F,10.0
2001,3,16,M,3.0
2001,3,17,F,8.0
2001,3,17,M,10.0
2001,3,18,F,6.0
2001,3,18,M,13.0
2001,3,19,F,6.0
2001,3,19,M,4.0
2001,3,20,F,6.0
2001,3,20,M,2.0
2001,3,21,F,11.0
2001,3,21,M,2.0
2001,3,22,F,5.0
2001,3,22,M,4.0
2001,3,23,F,14.0
2001,3,23,M,4.0
2001,3,24,F,4.0
2001,3,24,M,3.0
2001,3,25,F,11.0
2001,3,25,M,5.0
2001,3,26,F,2.0
2001,3,26,M,1.0
2001,3,27,F,3.0
2001,3,27,M,6.0
2001,3,28,F,6.0
2001,3,28,M,0.0
2001,3,29,F,5.0
2001,3,29,M,4.0
2001,3,30,F,5.0
2001,3,30,M,3.0
2001,3,31,F,5.0
2001,3,31,M,3.0
2001,3,32,F,4.0
2001,3,32,M,1.0
2001,3,33,F,7.0
2001,3,33,M,3.0
2001,3,34,F,6.0
2001,3,34,M,0.0
2001,3,35,F,7.0
2001,3,35,M,1.0
2001,3,36,F,9.0
2001,3,36,M,1.0
2001,3,37,F,7.0
2001,3,37,M,1.0
2001,3,38,F,3.0
2001,3,38,M,0.0
2001,3,39,F,5.0
2001,3,39,M,0.0
2001,3,40,F,5.0
2001,3,40,M,1.0
2001,3,41,F,0.0
2001,3,41,M,1.0
2001,3,42,F,6.0
2001,3,42,M,2.0
2001,3,43,F,5.0
2001,3,43,M,1.0
2001,3,44,F,6.0
2001,3,44,M,4.0
2001,3,45,F,5.0
2001,3,45,M,1.0
2001,3,46,F,5.0
2001,3,46,M,3.0
2001,3,47,F,3.0
2001,3,47,M,2.0
2001,3,48,F,11.0
2001,3,48,M,1.0
2001,3,49,F,11.0
2001,3,49,M,2.0
2001,3,50,F,9.0
2001,3,50,M,3.0
2001,3,51,F,4.0
2001,3,51,M,1.0
2001,3,52,F,8.0
2001,3,52,M,2.0
2001,3,53,F,4.0
2001,3,53,M,5.0
2001,3,54,F,3.0
2001,3,54,M,2.0
2001,3,55,F,1.0
2001,3,55,M,6.0
2001,3,56,F,6.0
2001,3,56,M,1.0
2001,3,57,F,5.0
2001,3,57,M,3.0
2001,3,58,F,5.0
2001,3,58,M,4.0
2001,3,59,F,8.0
2001,3,59,M,4.0
2001,3,60,F,4.0
2001,3,60,M,0.0
2001,3,61,F,8.0
2001,3,61,M,2.0
2001,3,62,F,4.0
2001,3,62,M,4.0
2001,3,63,F,1.0
2001,3,63,M,5.0
2001,3,64,F,5.0
2001,3,64,M,0.0
2001,3,65,F,3.0
2001,3,65,M,1.0
2001,3,66,F,2.0
2001,3,66,M,3.0
2001,3,67,F,1.0
2001,3,67,M,2.0
2001,3,68,F,1.0
2001,3,68,M,3.0
2001,3,69,F,4.0
2001,3,69,M,5.0
2001,3,70,F,3.0
2001,3,70,M,1.0
2001,3,71,F,10.0
2001,3,71,M,0.0
2001,3,72,F,3.0
2001,3,72,M,4.0
2001,3,73,F,1.0
2001,3,73,M,1.0
2001,3,74,F,4.0
2001,3,74,M,1.0
2001,3,75,F,4.0
2001,3,75,M,3.0
2001,3,76,F,2.0
2001,3,76,M,1.0
2001,3,77,F,4.0
2001,3,77,M,1.0
2001,3,78,F,5.0
2001,3,78,M,4.0
2001,3,79,F,5.0
2001,3,79,M,6.0
2001,3,80,F,6.0
2001,3,80,M,1.0
2001,3,81,F,3.0
2001,3,81,M,2.0
2001,3,82,F,5.0
2001,3,82,M,2.0
2001,3,83,F,4.0
2001,3,83,M,0.0
2001,3,84,F,2.0
2001,3,84,M,0.0
2001,3,85,F,0.0
2001,3,85,M,0.0
2001,3,86,F,2.0
2001,3,86,M,0.0
2001,3,87,F,3.0
2001,3,87,M,0.0
2001,3,88,F,5.0
2001,3,88,M,2.0
2001,3,89,F,0.0
2001,3,89,M,2.0
2001,3,90,F,0.0
2001,3,90,M,0.0
2001,3,91,F,0.0
2001,3,91,M,0.0
2001,3,92,F,0.0
2001,3,92,M,0.0
2001,3,93,F,1.0
2001,3,93,M,0.0
2001,3,94,F,1.0
2001,3,94,M,0.0
2001,3,95,F,0.0
2001,3,95,M,0.0
2001,3,96,F,0.0
2001,3,96,M,0.0
2001,3,97,F,0.0
2001,3,97,M,0.0
2001,3,98,F,0.0
2001,3,98,M,0.0
2001,3,99,F,0.0
2001,3,99,M,0.0
2001,3,100,F,0.0
2001,3,100,M,0.0
2001,3,101,F,0.0
2001,3,101,M,0.0
2001,3,102,F,0.0
2001,3,102,M,0.0
2001,3,103,F,0.0
2001,3,103,M,0.0
2001,3,104,F,0.0
2001,3,104,M,0.0
2001,3,105,F,0.0
2001,3,105,M,0.0
2001,3,106,F,0.0
2001,3,106,M,0.0
2001,3,107,F,0.0
2001,3,107,M,0.0
2001,3,108,F,0.0
2001,3,108,M,0.0
2001,3,109,F,0.0
2001,3,109,M,0.0
2001,3,110,F,0.0
2001,3,110,M,0.0
2002,0,0,F,0.0
2002,0,0,M,0.0
2002,0,1,F,0.0
2002,0,1,M,0.0
2002,0,2,F,0.0
2002,0,2,M,0.0
2002,0,3,F,248.0
2002,0,3,M,341.0
2002,0,4,F,191.0
2002,0,4,M,290.0
2002,0,5,F,146.0
2002,0,5,M,308.0
2002,0,6,F,134.0
2002,0,6,M,249.0
2002,0,7,F,110.0
2002,0,7,M,157.0
2002,0,8,F,97.0
2002,0,8,M,123.0
2002,0,9,F,64.0
2002,0,9,M,104.0
2002,0,10,F,70.0
2002,0,10,M,127.0
2002,0,11,F,62.0
2002,0,11,M,141.0
2002,0,12,F,77.0
2002,0,12,M,96.0
2002,0,13,F,87.0
2002,0,13,M,109.0
2002,0,14,F,72.0
2002,0,14,M,98.0
2002,0,15,F,79.0
2002,0,15,M,72.0
2002,0,16,F,78.0
2002,0,16,M,93.0
2002,0,17,F,83.0
2002,0,17,M,84.0
2002,0,18,F,69.0
2002,0,18,M,47.0
2002,0,19,F,73.0
2002,0,19,M,39.0
2002,0,20,F,89.0
2002,0,20,M,59.0
2002,0,21,F,80.0
2002,0,21,M,48.0
2002,0,22,F,91.0
2002,0,22,M,76.0
2002,0,23,F,73.0
2002,0,23,M,73.0
