year,age,sex,has_family_history
2001,0,F,1401
2001,0,M,1493
2001,1,F,1536
2001,1,M,1620
2001,2,F,1474
2001,2,M,1621
2001,3,F,1567
2001,3,M,1581
2001,4,F,1648
2001,4,M,1729
2001,5,F,1685
2001,5,M,1810
2001,6,F,1763
2001,6,M,1801
2001,7,F,1734
2001,7,M,1850
2001,8,F,1730
2001,8,M,1947
2001,9,F,1850
2001,9,M,1904
2001,10,F,1857
2001,10,M,1902
2001,11,F,1856
2001,11,M,1958
2001,12,F,1780
2001,12,M,1965
2001,13,F,1732
2001,13,M,1872
2001,14,F,1759
2001,14,M,1885
2001,15,F,1803
2001,15,M,1959
2001,16,F,1815
2001,16,M,1974
2001,17,F,1843
2001,17,M,1983
2001,18,F,1856
2001,18,M,1935
2001,19,F,1879
2001,19,M,1954
2001,20,F,1863
2001,20,M,2025
2001,21,F,1839
2001,21,M,2019
2001,22,F,1826
2001,22,M,1930
2001,23,F,1822
2001,23,M,1892
2001,24,F,1756
2001,24,M,1922
2001,25,F,1823
2001,25,M,1824
2001,26,F,1764
2001,26,M,1927
2001,27,F,1807
2001,27,M,1829
2001,28,F,1770
2001,28,M,1952
2001,29,F,1852
2001,29,M,1899
2001,30,F,2010
2001,30,M,1907
2001,31,F,1975
2001,31,M,2087
2001,32,F,1983
2001,32,M,1942
2001,33,F,2057
2001,33,M,2011
2001,34,F,2030
2001,34,M,2030
2001,35,F,2170
2001,35,M,2228
2001,36,F,2285
2001,36,M,2276
2001,37,F,2448
2001,37,M,2297
2001,38,F,2394
2001,38,M,2491
2001,39,F,2427
2001,39,M,2439
2001,40,F,2389
2001,40,M,2365
2001,41,F,2301
2001,41,M,2548
2001,42,F,2318
2001,42,M,2400
2001,43,F,2392
2001,43,M,2323
2001,44,F,2303
2001,44,M,2251
2001,45,F,2259
2001,45,M,2245
2001,46,F,2242
2001,46,M,2246
2001,47,F,2163
2001,47,M,2129
2001,48,F,2035
2001,48,M,2099
2001,49,F,2013
2001,49,M,2004
2001,50,F,1949
2001,50,M,1907
2001,51,F,1960
2001,51,M,1945
2001,52,F,1905
2001,52,M,1791
2001,53,F,1834
2001,53,M,1871
2001,54,F,1766
2001,54,M,1823
2001,55,F,1646
2001,55,M,1572
2001,56,F,1563
2001,56,M,1605
2001,57,F,1459
2001,57,M,1445
2001,58,F,1363
2001,58,M,1406
2001,59,F,1261
2001,59,M,1315
2001,60,F,1228
2001,60,M,1210
2001,61,F,1173
2001,61,M,1124
2001,62,F,1155
2001,62,M,1116
2001,63,F,1099
2001,63,M,1065
2001,64,F,1133
2001,64,M,1089
2001,65,F,1127
2001,65,M,974
2001,66,F,1120
2001,66,M,974
2001,67,F,1038
2001,67,M,966
2001,68,F,1034
2001,68,M,932
2001,69,F,1037
2001,69,M,949
2001,70,F,1029
2001,70,M,960
2001,71,F,967
2001,71,M,883
2001,72,F,1005
2001,72,M,778
2001,73,F,972
2001,73,M,790
2001,74,F,985
2001,74,M,749
2001,75,F,941
2001,75,M,698
2001,76,F,891
2001,76,M,689
2001,77,F,833
2001,77,M,603
2001,78,F,773
2001,78,M,569
2001,79,F,761
2001,79,M,528
2001,80,F,724
2001,80,M,479
2001,81,F,634
2001,81,M,415
2001,82,F,585
2001,82,M,309
2001,83,F,457
2001,83,M,304
2001,84,F,477
2001,84,M,269
2001,85,F,413
2001,85,M,218
2001,86,F,398
2001,86,M,188
2001,87,F,332
2001,87,M,137
2001,88,F,291
2001,88,M,136
2001,89,F,241
2001,89,M,90
2001,90,F,198
2001,90,M,98
2001,91,F,156
2001,91,M,53
2001,92,F,130
2001,92,M,41
2001,93,F,102
2001,93,M,30
2001,94,F,86
2001,94,M,30
2001,95,F,64
2001,95,M,15
2001,96,F,52
2001,96,M,9
2001,97,F,37
2001,97,M,6
2001,98,F,23
2001,98,M,7
2001,99,F,15
2001,99,M,0
2001,100,F,26
2001,100,M,7
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
