year,age,sex,utility
2001,0,F,4898.0
2001,0,M,5102.0
2001,1,F,5138.800722222715
2001,1,M,5299.937500000424
2001,2,F,5039.4741111113035
2001,2,M,5457.138888889543
2001,3,F,5218.369278763313
2001,3,M,5420.858736956521
2001,4,F,5270.68381735741
2001,4,M,5677.892905359464
2001,5,F,5519.237509166743
2001,5,M,5865.77980727456
2001,6,F,5660.442777701035
2001,6,M,5872.402941499769
2001,7,F,5627.196545869868
2001,7,M,5891.281831755069
2001,8,F,5664.2998550778275
2001,8,M,5987.948471763881
2001,9,F,5805.316230761839
2001,9,M,6029.756804402671
2001,10,F,5879.819970679753
2001,10,M,6036.871422182261
2001,11,F,5846.24542718992
2001,11,M,6023.672720158839
2001,12,F,5521.541997767634
2001,12,M,5875.908325504011
2001,13,F,5486.080390846034
2001,13,M,5552.31364933399
2001,14,F,5390.813318644774
2001,14,M,5707.204850261568
2001,15,F,5520.885604418223
2001,15,M,5757.903974352566
2001,16,F,5489.901764710861
2001,16,M,5816.814815699952
2001,17,F,5377.462446490102
2001,17,M,5855.761226627099
2001,18,F,5478.30445966171
2001,18,M,5652.614923375339
2001,19,F,5419.059195545175
2001,19,M,5776.446274606659
2001,20,F,5590.808626815046
2001,20,M,5754.836085453985
2001,21,F,5497.658471617342
2001,21,M,5801.611360365132
2001,22,F,5450.428158457811
2001,22,M,5643.2768426798275
2001,23,F,5364.171884285151
2001,23,M,5530.758429360977
2001,24,F,5319.502860769582
2001,24,M,5649.395081112556
2001,25,F,5493.530951332106
2001,25,M,5477.448605614394
2001,26,F,5466.281223617219
2001,26,M,5539.098427526787
2001,27,F,5442.465547279901
2001,27,M,5345.586814702814
2001,28,F,5415.517790851752
2001,28,M,5537.8134177308275
2001,29,F,5736.917707795659
2001,29,M,5505.585960060171
2001,30,F,5961.97982518068
2001,30,M,5843.474776945395
2001,31,F,6003.47263041327
2001,31,M,5886.729637949474
2001,32,F,6035.530496299581
2001,32,M,5790.102775621283
2001,33,F,5994.90929826099
2001,33,M,5882.328295554159
2001,34,F,6060.080619357657
2001,34,M,6095.033706123042
2001,35,F,6371.165080210605
2001,35,M,6509.9319694241385
2001,36,F,6961.95191659182
2001,36,M,6925.572435549974
2001,37,F,7194.696353911458
2001,37,M,7209.638322890487
2001,38,F,7235.71480413193
2001,38,M,7370.569246770785
2001,39,F,7140.240354535396
2001,39,M,7260.978054886888
2001,40,F,7239.3984686871145
2001,40,M,7312.135955704325
2001,41,F,6999.982442267871
2001,41,M,7391.6850192622815
2001,42,F,6942.9337276017195
2001,42,M,7134.383026105805
2001,43,F,6975.10874934293
2001,43,M,6982.897442975715
2001,44,F,6815.842346751341
2001,44,M,6878.272570150363
2001,45,F,6510.015836526606
2001,45,M,6413.386164733699
2001,46,F,6475.3895498627235
2001,46,M,6371.312917214957
2001,47,F,6280.953269976619
2001,47,M,6138.441076301943
2001,48,F,6074.088167794484
2001,48,M,5823.4814105438845
2001,49,F,5795.835417647727
2001,49,M,5692.4743319756335
2001,50,F,5776.925788970706
2001,50,M,5515.893916041476
2001,51,F,5612.120163790102
2001,51,M,5419.425444740107
2001,52,F,5591.134680045983
2001,52,M,5246.809834661601
2001,53,F,5486.118179678149
2001,53,M,5345.5100260391955
2001,54,F,5461.136812646219
2001,54,M,5322.977763985905
2001,55,F,4678.563720381167
2001,55,M,4408.579748263494
2001,56,F,4306.577223867305
2001,56,M,4174.06886361187
2001,57,F,4194.5627360470135
2001,57,M,4064.463320412968
2001,58,F,4057.8682297747678
2001,58,M,3940.0111276593702
2001,59,F,3808.219885979461
2001,59,M,3634.311057912546
2001,60,F,3710.499497018455
2001,60,M,3426.2853456007388
2001,61,F,3470.2624873406885
2001,61,M,3230.2925917837138
2001,62,F,3408.5595260326245
2001,62,M,3103.5386772140578
2001,63,F,3265.639742768899
2001,63,M,3006.720704294807
2001,64,F,3147.1125650545696
2001,64,M,2879.5798024447895
2001,65,F,3202.391967159782
2001,65,M,3029.596301877791
2001,66,F,3128.267523212424
2001,66,M,2921.1148373400456
2001,67,F,3009.3943601903834
2001,67,M,2859.9993172053923
2001,68,F,3107.6093030998054
2001,68,M,2820.5798054277257
2001,69,F,3022.507087400701
2001,69,M,2865.6436551030656
2001,70,F,3009.263797118768
2001,70,M,2786.1553468758098
2001,71,F,2942.9284874686728
2001,71,M,2653.0393974371173
2001,72,F,2899.044353013735
2001,72,M,2382.730725225833
2001,73,F,2838.6193149610094
2001,73,M,2325.572434069207
2001,74,F,2759.868808700155
2001,74,M,2151.483222028622
2001,75,F,2706.0665636922545
2001,75,M,2030.354595566297
2001,76,F,2565.242235190174
2001,76,M,1939.0661434346055
2001,77,F,2531.484298600154
2001,77,M,1736.0376479724107
2001,78,F,2386.9652602958276
2001,78,M,1613.5374408461848
2001,79,F,2298.9520166838934
2001,79,M,1517.3058319550141
2001,80,F,2134.751637152206
2001,80,M,1358.3695693578497
2001,81,F,1932.1082063082217
2001,81,M,1211.8458754971664
2001,82,F,1673.6621193332726
2001,82,M,921.4094636721907
2001,83,F,1469.556294544262
2001,83,M,832.6392427134366
2001,84,F,1342.7496787625053
2001,84,M,744.7600755092859
2001,85,F,1258.0622316234794
2001,85,M,637.1074399797571
2001,86,F,1162.4184775451952
2001,86,M,576.0701973095695
2001,87,F,991.1600219714269
2001,87,M,502.1167665965863
2001,88,F,866.0938634131081
2001,88,M,386.1961906598036
2001,89,F,742.5246570374867
2001,89,M,278.4880360111728
2001,90,F,581.9916634642165
2001,90,M,249.732154617818
2001,91,F,508.39550902549354
2001,91,M,163.54681521348036
2001,92,F,398.45285824302204
2001,92,M,127.78934950004785
2001,93,F,299.7291797791578
2001,93,M,118.80587654790108
2001,94,F,231.405863999683
2001,94,M,77.54148976522909
2001,95,F,187.68281153563177
2001,95,M,43.70699999999997
2001,96,F,128.9655833252824
2001,96,M,34.27999999999998
2001,97,F,98.15358148775206
2001,97,M,20.493144662860225
2001,98,F,65.36905931095667
2001,98,M,16.282999999999994
2001,99,F,48.927023422893605
2001,99,M,5.9990000000000006
2001,100,F,80.26630549318877
2001,100,M,11.935479264242288
2001,101,F,0.0
2001,101,M,0.0
2001,102,F,0.0
2001,102,M,0.0
2001,103,F,0.0
2001,103,M,0.0
2001,104,F,0.0
2001,104,M,0.0
2001,105,F,0.0
2001,105,M,0.0
2001,106,F,0.0
2001,106,M,0.0
2001,107,F,0.0
2001,107,M,0.0
2001,108,F,0.0
2001,108,M,0.0
2001,109,F,0.0
2001,109,M,0.0
2001,110,F,0.0
2001,110,M,0.0
2002,0,F,4920.0
2002,0,M,5064.0
2002,1,F,4911.314666667121
2002,1,M,5145.020833333741
2002,2,F,5161.83455555579
2002,2,M,5321.055555556181
2002,3,F,5016.539750220831
2002,3,M,5420.333969309121
2002,4,F,5211.724726734692
2002,4,M,5402.714125703424
2002,5,F,5268.513459672196
2002,5,M,5662.11082896813
2002,6,F,5532.902593920149
2002,6,M,5864.214001277745
2002,7,F,5669.677329204021
2002,7,M,5868.867143818413
2002,8,F,5639.473628811746
2002,8,M,5908.151627836567
2002,9,F,5687.529583135976
2002,9,M,5995.643796893497
2002,10,F,5827.266559694261
2002,10,M,6047.756006355479
2002,11,F,5901.530601954844
2002,11,M,6064.627884068883
2002,12,F,5870.36808728161
2002,12,M,6069.506368169465
2002,13,F,5532.596568923681
2002,13,M,5930.772404260794
2002,14,F,5483.18068142551
2002,14,M,5578.139923701732
2002,15,F,5399.6588543292655
2002,15,M,5721.569179209224
2002,16,F,5525.9217740952245
2002,16,M,5788.865848274872
2002,17,F,5503.8022129257015
2002,17,M,5841.774094655558
2002,18,F,5415.279986640244
2002,18,M,5881.782381465441
2002,19,F,5582.974968821525
2002,19,M,5766.704167018234
2002,20,F,5524.01519534723
2002,20,M,5863.168752240187
2002,21,F,5676.308278240477
2002,21,M,5817.8232818773095
2002,22,F,5557.549174442046
2002,22,M,5855.925306799264
2002,23,F,5502.312864153401
2002,23,M,5666.75323213976
2002,24,F,5411.331845531631
2002,24,M,5568.962135704052
2002,25,F,5432.979439928545
2002,25,M,5607.195372996582
2002,26,F,5565.455707943214
2002,26,M,5496.476495990326
2002,27,F,5534.711029124677
2002,27,M,5571.373315181125
2002,28,F,5506.701812123483
2002,28,M,5392.344738897504
2002,29,F,5483.572990644264
2002,29,M,5613.55705972196
2002,30,F,5801.708143892767
2002,30,M,5566.367696263888
2002,31,F,6018.221962801519
2002,31,M,5907.276473754362
2002,32,F,6065.559921887974
2002,32,M,5946.289285464846
2002,33,F,6099.555385783991
2002,33,M,5871.334392579482
2002,34,F,6047.920692848893
